Ver1.2	95574053	StartFile	4/17/2020	7:25:32 PM	E:\BehavioralExperiments\Tianqi\Horizon\RawData\041720\SoundData.txt	95574053
96088544	Triggered	4	 NoSound	50	2	96088544
96094029	Triggered	1	 Modulated Tone	25	2	96094029
96098639	Triggered	6	 NoSound	50	2	96098639
96102976	Triggered	7	 NoSound	50	2	96102976
96104383	Triggered	8	 NoSound	50	2	96104383
96111199	Triggered	1	 Modulated Tone	25	2	96111199
96114412	Triggered	6	 NoSound	50	2	96114412
96120490	Triggered	1	 Modulated Tone	25	2	96120490
96124368	Triggered	5	 Modulated Tone	25	2	96124368
96127175	Triggered	8	 NoSound	50	2	96127175
96138874	Triggered	5	 Modulated Tone	25	2	96138874
96141752	Triggered	8	 NoSound	50	2	96141752
96152110	Triggered	5	 Modulated Tone	25	2	96152110
96154656	Triggered	8	 NoSound	50	2	96154656
96164740	Triggered	5	 Modulated Tone	25	2	96164740
96167145	Triggered	8	 NoSound	50	2	96167145
96177638	Triggered	5	 Modulated Tone	25	2	96177638
96180111	Triggered	8	 NoSound	50	2	96180111
96190611	Triggered	5	 Modulated Tone	25	2	96190611
96193086	Triggered	8	 NoSound	50	2	96193086
96202772	Triggered	5	 Modulated Tone	25	2	96202772
96205318	Triggered	8	 NoSound	50	2	96205318
96214805	Triggered	5	 Modulated Tone	25	2	96214805
96217483	Triggered	8	 NoSound	50	2	96217483
96226771	Triggered	5	 Modulated Tone	25	2	96226771
96229445	Triggered	8	 NoSound	50	2	96229445
96238867	Triggered	5	 Modulated Tone	25	2	96238867
96245956	Triggered	1	 Modulated Tone	25	2	96245956
96249165	Triggered	4	 NoSound	50	2	96249165
96256511	Triggered	1	 Modulated Tone	25	2	96256511
96260062	Triggered	4	 NoSound	50	2	96260062
96265742	Triggered	1	 Modulated Tone	25	2	96265742
96268944	Triggered	4	 NoSound	50	2	96268944
96276295	Triggered	1	 Modulated Tone	25	2	96276295
96279035	Triggered	6	 NoSound	50	2	96279035
96288796	Triggered	1	 Modulated Tone	25	2	96288796
96291738	Triggered	6	 NoSound	50	2	96291738
96301563	Triggered	1	 Modulated Tone	25	2	96301563
96305438	Triggered	6	 NoSound	50	2	96305438
96314864	Triggered	1	 Modulated Tone	25	2	96314864
96317944	Triggered	6	 NoSound	50	2	96317944
96327365	Triggered	1	 Modulated Tone	25	2	96327365
96330637	Triggered	6	 NoSound	50	2	96330637
96340128	Triggered	1	 Modulated Tone	25	2	96340128
96343670	Triggered	6	 NoSound	50	2	96343670
96352830	Triggered	1	 Modulated Tone	25	2	96352830
96357576	Triggered	5	 Modulated Tone	25	2	96357576
96360588	Triggered	8	 NoSound	50	2	96360588
96370811	Triggered	5	 Modulated Tone	25	2	96370811
96373414	Triggered	8	 NoSound	50	2	96373414
96383174	Triggered	5	 Modulated Tone	25	2	96383174
96385918	Triggered	8	 NoSound	50	2	96385918
96395740	Triggered	5	 Modulated Tone	25	2	96395740
96398216	Triggered	8	 NoSound	50	2	96398216
96408574	Triggered	5	 Modulated Tone	25	2	96408574
96411179	Triggered	8	 NoSound	50	2	96411179
96420338	Triggered	5	 Modulated Tone	25	2	96420338
96423011	Triggered	8	 NoSound	50	2	96423011
96435578	Triggered	5	 Modulated Tone	25	2	96435578
96438592	Triggered	2	 NoSound	50	2	96438592
96443665	Triggered	5	 Modulated Tone	25	2	96443665
96447141	Triggered	8	 NoSound	50	2	96447141
96457434	Triggered	5	 Modulated Tone	25	2	96457434
96460454	Triggered	8	 NoSound	50	2	96460454
96469803	Triggered	5	 Modulated Tone	25	2	96469803
96473278	Triggered	1	 Modulated Tone	25	2	96473278
96476085	Triggered	6	 NoSound	50	2	96476085
96483976	Triggered	1	 Modulated Tone	25	2	96483976
96486985	Triggered	6	 NoSound	50	2	96486985
96494598	Triggered	1	 Modulated Tone	25	2	96494598
96497941	Triggered	6	 NoSound	50	2	96497941
96505562	Triggered	1	 Modulated Tone	25	2	96505562
96508969	Triggered	6	 NoSound	50	2	96508969
96516588	Triggered	1	 Modulated Tone	25	2	96516588
96519664	Triggered	6	 NoSound	50	2	96519664
96527824	Triggered	1	 Modulated Tone	25	2	96527824
96531226	Triggered	6	 NoSound	50	2	96531226
96538981	Triggered	1	 Modulated Tone	25	2	96538981
96542191	Triggered	6	 NoSound	50	2	96542191
96549613	Triggered	1	 Modulated Tone	25	2	96549613
96552822	Triggered	4	 NoSound	50	2	96552822
96558904	Triggered	1	 Modulated Tone	25	2	96558904
96562042	Triggered	6	 NoSound	50	2	96562042
