Ver1.3	860051185	StartFile	8/4/2020	10:58:29 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\080420A\SoundData.txt	860051185
860434221	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860434221
860434422	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	860434422
860447657	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860447657
860453204	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860453204
860453406	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860453406
860465436	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860465436
860468645	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860468645
860468847	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860468847
860478877	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860478877
860481746	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860481746
860481948	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860481948
860494646	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860494646
860494848	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860494848
860499123	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860499123
860499337	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860499337
860508882	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860508882
860509085	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860509085
860511423	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860511423
860511637	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860511637
860520914	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860520914
860521117	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860521117
860523721	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860523721
860523923	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860523923
860532946	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860532946
860533148	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860533148
860535485	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860535485
860535688	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860535688
860544576	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860544576
860544779	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860544779
860547116	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860547116
860547332	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860547332
860557608	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860557608
860557811	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860557811
860560149	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860560149
860560351	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860560351
860569173	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860569173
860569376	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860569376
860571513	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860571513
860571714	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860571714
860580402	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860580402
860580605	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860580605
860582942	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860582942
860583144	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860583144
860591296	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860591296
860591499	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860591499
860593837	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860593837
860594039	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860594039
860603797	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860603797
860603999	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860603999
860606338	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860606338
860606540	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860606540
860615160	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860615160
860615364	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860615364
860617699	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860617699
860617900	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860617900
860627125	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860627125
860627339	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860627339
860629530	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860629530
860629732	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860629732
860639089	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860639089
860639292	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860639292
860641628	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860641628
860641830	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860641830
860649716	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860649716
860649919	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	860649919
860652122	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860652122
860652325	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860652325
860660478	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860660478
860660680	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	860660680
860663084	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860663084
860663286	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860663286
860671774	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860671774
860671976	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	860671976
860674179	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860674179
860674381	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860674381
860682402	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860682402
860682605	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	860682605
860685414	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860685414
860685616	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860685616
860693765	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860693765
860693967	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	860693967
860696038	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860696038
860696240	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860696240
860704599	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860704599
860704801	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	860704801
860706733	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860706733
860706934	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860706934
860715171	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860715171
860715372	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	860715372
860718229	Triggered	6,47,48,49,50,51,	 NoSound	40	2	860718229
860718432	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	860718432
860726650	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	860726650
860726851	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	860726851
860739684	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860739684
860742959	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860742959
860743160	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860743160
860754526	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860754526
860758332	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860758332
860758533	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860758533
860765686	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860765686
860780322	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860780322
860780524	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860780524
860788150	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860788150
860788353	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860788353
860791352	Triggered	8,52,53,54,55,56,	 NoSound	40	2	860791352
860797635	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860797635
860797838	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860797838
860801178	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860801178
860801378	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860801378
860809734	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860809734
860809936	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860809936
860812754	Triggered	8,52,53,54,55,56,	 NoSound	40	2	860812754
860819225	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860819225
860819428	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860819428
860822567	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860822567
860822780	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860822780
860830588	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860830588
860830790	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860830790
860833729	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860833729
860833930	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860833930
860841550	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860841550
860841752	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860841752
860843956	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860843956
860844158	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860844158
860851976	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860851976
860852179	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860852179
860854583	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860854583
860854784	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860854784
860863540	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860863540
860863743	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860863743
860866348	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860866348
860866550	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860866550
860876039	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860876039
860876242	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860876242
860878578	Triggered	2,37,38,39,40,41,	 NoSound	40	2	860878578
860878780	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	860878780
860886279	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	860886279
860886482	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	860886482
