Ver1.3	227861031	StartFile	7/1/2020	2:36:44 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\070120\SoundData.txt	227861031
228129774	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228129774
228129975	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	228129975
228146684	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228146684
228151297	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228151297
228151511	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	228151511
228161055	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228161055
228165800	Triggered	6,47,48,49,50,51,	 NoSound	40	2	228165800
228166001	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	228166001
228172285	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228172285
228176495	Triggered	6,47,48,49,50,51,	 NoSound	40	2	228176495
228176696	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	228176696
228182512	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228182512
228186187	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228186187
228186389	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	228186389
228194342	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228194342
228194545	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	228194545
228198018	Triggered	6,47,48,49,50,51,	 NoSound	40	2	228198018
228198220	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	228198220
228207116	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228207116
228207321	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	228207321
228210718	Triggered	6,47,48,49,50,51,	 NoSound	40	2	228210718
228210919	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	228210919
228216601	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228216601
228216804	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	228216804
228221145	Triggered	6,47,48,49,50,51,	 NoSound	40	2	228221145
228221347	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	228221347
228227161	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228227161
228227363	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	228227363
228230637	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228230637
228230838	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	228230838
228238256	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228238256
228238459	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	228238459
228241532	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228241532
228241733	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	228241733
228248819	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228248819
228249020	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	228249020
228251825	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228251825
228252027	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	228252027
228258575	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228258575
228258776	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	228258776
228270808	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228270808
228274693	Triggered	8,52,53,54,55,56,	 NoSound	40	2	228274693
228279966	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228279966
228284578	Triggered	2,37,38,39,40,41,	 NoSound	40	2	228284578
228284778	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	228284778
228291062	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228291062
228294761	Triggered	2,37,38,39,40,41,	 NoSound	40	2	228294761
228294966	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	228294966
228302089	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228302089
228305781	Triggered	8,52,53,54,55,56,	 NoSound	40	2	228305781
228314522	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228314522
228314724	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	228314724
228317931	Triggered	2,37,38,39,40,41,	 NoSound	40	2	228317931
228318132	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	228318132
228325217	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228325217
