Ver1.3	298208936	StartFile	12/4/2020	1:33:25 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\120420\SoundData.txt	298208936
298410653	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298410653
298410855	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	298410855
298435786	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298435786
298443340	Triggered	4,42,43,44,45,46,	 NoSound	40	2	298443340
298443542	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	298443542
298454567	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298454567
298458911	Triggered	4,42,43,44,45,46,	 NoSound	40	2	298458911
298459112	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	298459112
298468136	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298468136
298472280	Triggered	4,42,43,44,45,46,	 NoSound	40	2	298472280
298472482	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	298472482
298485649	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298485649
298485850	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	298485850
298490729	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298490729
298490930	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	298490930
298505521	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298505521
298505722	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	298505722
298520205	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298520205
298520409	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	298520409
298531167	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298531167
298535044	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298535044
298535245	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	298535245
298545738	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298545738
298549214	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298549214
298549416	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	298549416
298560243	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298560243
298560444	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	298560444
298564720	Triggered	2,37,38,39,40,41,	 NoSound	40	2	298564720
298564922	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	298564922
298576356	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298576356
298576558	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	298576558
298590188	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298590188
298596672	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298596672
298606563	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298606563
298627217	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298627217
298631768	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298631768
298640652	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298640652
298640854	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	298640854
298644262	Triggered	4,42,43,44,45,46,	 NoSound	40	2	298644262
298644463	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	298644463
298654094	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298654094
298654295	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	298654295
298668324	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298668324
298668528	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	298668528
298678751	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298678751
298682368	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298682368
298682569	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	298682569
298693457	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298693457
298696799	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298696799
298697014	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	298697014
298708563	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298708563
298708764	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	298708764
298712105	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298712105
298712306	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	298712306
298724871	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298724871
298725072	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	298725072
298744390	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298744390
298747264	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298747264
298747464	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	298747464
298755351	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298755351
298759030	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298759030
298759231	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	298759231
298767316	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298767316
298770189	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298770189
298770390	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	298770390
298777275	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298777275
298777477	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	298777477
298780551	Triggered	4,42,43,44,45,46,	 NoSound	40	2	298780551
298780753	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	298780753
298791446	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298791446
298791658	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	298791658
298801738	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298801738
298805816	Triggered	2,37,38,39,40,41,	 NoSound	40	2	298805816
298806017	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	298806017
298814237	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298814237
298818050	Triggered	2,37,38,39,40,41,	 NoSound	40	2	298818050
298818252	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	298818252
298828080	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298828080
298831416	Triggered	2,37,38,39,40,41,	 NoSound	40	2	298831416
298831618	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	298831618
298839637	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298839637
298839839	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	298839839
298842979	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298842979
298843180	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	298843180
298852137	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298852137
298852350	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	298852350
298865906	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298865906
298866110	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	298866110
298878139	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298878139
298881279	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298881279
298881482	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	298881482
298895784	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298895784
298898658	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298898658
298898861	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	298898861
298911024	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298911024
298911226	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	298911226
298914166	Triggered	6,47,48,49,50,51,	 NoSound	40	2	298914166
298914368	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	298914368
298927801	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	298927801
298928003	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	298928003
298941303	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298941303
298943776	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298943776
298949993	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298949993
298956343	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298956343
298962224	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298962224
298980872	Triggered	8,52,53,54,55,56,	 NoSound	40	2	298980872
298992904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	298992904
298993106	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	298993106
298996446	Triggered	2,37,38,39,40,41,	 NoSound	40	2	298996446
298996648	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	298996648
299005410	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299005410
299005610	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	299005610
299016432	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299016432
299019174	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299019174
299019375	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299019375
299026391	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299026391
299029668	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299029668
299029868	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299029868
299037353	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299037353
299039834	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299039834
299040035	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299040035
299048248	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299048248
299048450	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	299048450
299051256	Triggered	6,47,48,49,50,51,	 NoSound	40	2	299051256
299051459	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	299051459
299062819	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299062819
299063020	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	299063020
299085746	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299085746
299088955	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299088955
299089155	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	299089155
299095906	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299095906
299100585	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299100585
299100787	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	299100787
299115825	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299115825
299118898	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299118898
299119099	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	299119099
299124646	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299124646
299124848	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	299124848
299128457	Triggered	8,52,53,54,55,56,	 NoSound	40	2	299128457
299128659	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	299128659
299135676	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299135676
299135876	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	299135876
299149645	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299149645
299149849	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299149849
299156732	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299156732
299159606	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299159606
299159807	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299159807
299167225	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299167225
299169772	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299169772
299169973	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299169973
299176448	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299176448
299176650	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	299176650
299179457	Triggered	6,47,48,49,50,51,	 NoSound	40	2	299179457
299179659	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	299179659
299195098	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299195098
299195309	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	299195309
299217823	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299217823
299225845	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299225845
299226047	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	299226047
299237541	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299237541
299240891	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299240891
299241093	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	299241093
299251711	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299251711
299254987	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299254987
299255192	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	299255192
299266484	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299266484
299266685	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	299266685
299269892	Triggered	8,52,53,54,55,56,	 NoSound	40	2	299269892
299270093	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	299270093
299277846	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299277846
299278057	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	299278057
299288206	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299288206
299292218	Triggered	6,47,48,49,50,51,	 NoSound	40	2	299292218
299292419	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	299292419
299303527	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299303527
299308203	Triggered	6,47,48,49,50,51,	 NoSound	40	2	299308203
299308405	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	299308405
299319823	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299319823
299322965	Triggered	6,47,48,49,50,51,	 NoSound	40	2	299322965
299323166	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	299323166
299333993	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299333993
299334195	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	299334195
299337069	Triggered	4,42,43,44,45,46,	 NoSound	40	2	299337069
299337269	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	299337269
299344087	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299344087
299344288	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	299344288
299361464	Triggered	8,52,53,54,55,56,	 NoSound	40	2	299361464
299361667	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	299361667
299371825	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299371825
299374899	Triggered	8,52,53,54,55,56,	 NoSound	40	2	299374899
299375100	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	299375100
299384725	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299384725
299387666	Triggered	8,52,53,54,55,56,	 NoSound	40	2	299387666
299387868	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	299387868
299396489	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299396489
299396691	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	299396691
299400567	Triggered	2,37,38,39,40,41,	 NoSound	40	2	299400567
299400768	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	299400768
299409791	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	299409791
299409992	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	299409992
299420218	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	299420218
299423158	Triggered	6,47,48,49,50,51,	 NoSound	40	2	299423158
299423360	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	299423360
