Ver1.3	1372004246	StartFile	1/9/2021	10:43:20 AM	E:\BehavioralExperiments\Coco\RawData\010921\SoundData.txt	1372004246
1376004763	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1376004763
1376024816	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1376024816
1376036847	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1376036847
1376047275	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1376047275
1376063718	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1376063718
1376074013	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1376074013
1376097272	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1376097272
1376115319	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1376115319
1377126554	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1377126554
1377137718	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1377137718
1377147409	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1377147409
1377158036	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1377158036
1377167260	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1377167260
1377178768	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1377178768
1377202420	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1377202420
1377215051	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1377215051
1377264580	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1377264580
