Ver1.3	2083181324	StartFile	8/18/2020	2:44:00 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\081820B\SoundData.txt	2083181324
2083498720	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083498720
2083498922	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	2083498922
2083513402	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2083513402
2083513605	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2083513605
2083519900	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2083519900
2083520102	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	2083520102
2083523991	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2083523991
2083524193	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2083524193
2083534761	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2083534761
2083534962	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	2083534962
2083545229	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083545229
2083549081	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2083549081
2083549282	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2083549282
2083556360	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083556360
2083556563	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	2083556563
2083559729	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2083559729
2083564063	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083564063
2083564276	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	2083564276
2083567371	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2083567371
2083567572	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2083567572
2083575493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083575493
2083575695	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	2083575695
2083578863	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2083578863
2083579063	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2083579063
2083586745	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083586745
2083586946	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	2083586946
2083589271	Triggered	2,37,38,39,40,41,	 NoSound	40	2	2083589271
2083589471	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	2083589471
2083597032	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2083597032
2083597233	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	2083597233
