Ver1.2	2229585149	StartFile	4/8/2020	1:54:00 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\040820\Run 2\SoundData.txt	2229585149
2230216532	Triggered	4	 NoSound	50	2	2230216532
2230225552	Triggered	1	 PureTone-5kHz	50	2	2230225552
2230228633	Triggered	4	 NoSound	50	2	2230228633
2230237584	Triggered	1	 PureTone-5kHz	50	2	2230237584
2230240726	Triggered	4	 NoSound	50	2	2230240726
2230248949	Triggered	1	 PureTone-5kHz	50	2	2230248949
2230252761	Triggered	5	 PureTone-5kHz	50	2	2230252761
2230256032	Triggered	2	 NoSound	50	2	2230256032
2230261512	Triggered	5	 PureTone-5kHz	50	2	2230261512
2230267467	Triggered	1	 PureTone-5kHz	50	2	2230267467
2230272679	Triggered	2	 NoSound	50	2	2230272679
2230277624	Triggered	5	 PureTone-5kHz	50	2	2230277624
2230283709	Triggered	1	 PureTone-5kHz	50	2	2230283709
2230288850	Triggered	2	 NoSound	50	2	2230288850
2230296805	Triggered	5	 PureTone-5kHz	50	2	2230296805
2230300550	Triggered	8	 NoSound	50	2	2230300550
2230308701	Triggered	5	 PureTone-5kHz	50	2	2230308701
2230313247	Triggered	1	 PureTone-5kHz	50	2	2230313247
2230316321	Triggered	4	 NoSound	50	2	2230316321
2230329088	Triggered	1	 PureTone-5kHz	50	2	2230329088
2230332030	Triggered	4	 NoSound	50	2	2230332030
2230342524	Triggered	1	 PureTone-5kHz	50	2	2230342524
2230344870	Triggered	4	 NoSound	50	2	2230344870
2230356962	Triggered	1	 PureTone-5kHz	50	2	2230356962
2230360102	Triggered	4	 NoSound	50	2	2230360102
2230370864	Triggered	1	 PureTone-5kHz	50	2	2230370864
2230374941	Triggered	5	 PureTone-5kHz	50	2	2230374941
2230378015	Triggered	8	 NoSound	50	2	2230378015
2230384767	Triggered	5	 PureTone-5kHz	50	2	2230384767
2230387973	Triggered	8	 NoSound	50	2	2230387973
2230394130	Triggered	5	 PureTone-5kHz	50	2	2230394130
2230397405	Triggered	8	 NoSound	50	2	2230397405
2230404687	Triggered	5	 PureTone-5kHz	50	2	2230404687
2230409437	Triggered	8	 NoSound	50	2	2230409437
2230415920	Triggered	5	 PureTone-5kHz	50	2	2230415920
2230419924	Triggered	1	 PureTone-5kHz	50	2	2230419924
2230423132	Triggered	6	 NoSound	50	2	2230423132
2230430290	Triggered	1	 PureTone-5kHz	50	2	2230430290
2230433694	Triggered	6	 NoSound	50	2	2230433694
2230439911	Triggered	1	 PureTone-5kHz	50	2	2230439911
2230444590	Triggered	6	 NoSound	50	2	2230444590
2230452478	Triggered	1	 PureTone-5kHz	50	2	2230452478
2230455824	Triggered	4	 NoSound	50	2	2230455824
2230467582	Triggered	1	 PureTone-5kHz	50	2	2230467582
2230471124	Triggered	5	 PureTone-5kHz	50	2	2230471124
2230474550	Triggered	2	 NoSound	50	2	2230474550
2230482489	Triggered	5	 PureTone-5kHz	50	2	2230482489
2230486501	Triggered	2	 NoSound	50	2	2230486501
2230492848	Triggered	5	 PureTone-5kHz	50	2	2230492848
2230496523	Triggered	2	 NoSound	50	2	2230496523
2230503412	Triggered	5	 PureTone-5kHz	50	2	2230503412
2230506618	Triggered	8	 NoSound	50	2	2230506618
2230512904	Triggered	5	 PureTone-5kHz	50	2	2230512904
2230532288	Triggered	1	 PureTone-5kHz	50	2	2230532288
