Ver1.3	1091456755	StartFile	12/22/2020	9:35:35 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122220A\SoundData.txt	1091456755
1091903217	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091903217
1091906773	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091906773
1091906974	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091906974
1091915670	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091915670
1091919039	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091919039
1091919240	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091919240
1091927824	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091927824
1091928027	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1091928027
1091931193	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091931193
1091931395	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091931395
1091939856	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091939856
1091940060	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1091940060
1091943286	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091943286
1091943487	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091943487
1091952011	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091952011
1091952215	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1091952215
1091955560	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091955560
1091955762	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091955762
1091964345	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091964345
1091964547	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1091964547
1091967894	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091967894
1091968095	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091968095
1091978003	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091978003
1091978217	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1091978217
1091982394	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091982394
1091982594	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091982594
1091992923	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091992923
1091993126	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1091993126
1091997135	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091997135
1091997337	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1091997337
1092005257	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092005257
1092005457	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1092005457
1092019336	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092019336
1092022886	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092022886
1092023088	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1092023088
1092030781	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092030781
1092034979	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092034979
1092035181	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1092035181
1092043042	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092043042
1092047133	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092047133
1092047335	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1092047335
1092055134	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092055134
1092055337	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1092055337
1092058384	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092058384
1092058586	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1092058586
1092066265	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092066265
1092066469	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1092066469
1092069997	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092069997
1092070200	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092070200
1092080585	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092080585
1092080788	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1092080788
1092084316	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1092084316
1092084518	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1092084518
1092092136	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092092136
1092092339	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1092092339
1092095873	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092095873
1092096076	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092096076
1092107900	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092107900
1092108113	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1092108113
1092111691	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092111691
1092111893	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092111893
1092124205	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092124205
1092124407	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1092124407
1092128115	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092128115
1092128318	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092128318
1092140690	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092140690
1092140890	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1092140890
1092162230	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092162230
1092165540	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1092165540
