Ver1.3	1870599494	StartFile	7/20/2020	2:55:43 PM	E:\BehavioralExperiments\Gerald\RawData\072020\SoundData.txt	1870599494
1870858114	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1870858114
1870898017	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1870898017
1871018062	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1871018062
1871066991	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1871066991
1871077284	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1871077284
1871677048	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1871677048
1871687942	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1871687942
1871694627	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1871694627
1871716684	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1871716684
1871735667	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1871735667
1871747164	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1871747164
1871755119	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1871755119
1871762337	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1871762337
1871778646	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1871778646
1871787135	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1871787135
1872017602	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1872017602
1872029501	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1872029501
1872361298	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1872361298
1872372661	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1872372661
1872383223	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1872383223
1872391244	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1872391244
1872400935	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1872400935
1872409425	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1872409425
1872418582	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1872418582
1872430211	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1872430211
1872440908	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1872440908
1872529007	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1872529007
1872791821	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1872791821
1872924367	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1872924367
