Ver1.2	1283459520	StartFile	3/28/2020	3:05:15 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\032820\SoundData.txt	1283459520
1283858893	Triggered	5	 Modulated Tone	25	2	1283858893
1283872986	Triggered	2	 NoSound	50	2	1283872986
1283883953	Triggered	3	 NoSound	50	2	1283883953
1283886159	Triggered	4	 NoSound	50	2	1283886159
1283912425	Triggered	8	 NoSound	50	2	1283912425
1283943568	Triggered	5	 Modulated Tone	25	2	1283943568
1283953395	Triggered	2	 NoSound	50	2	1283953395
1283967967	Triggered	5	 Modulated Tone	25	2	1283967967
1283971375	Triggered	2	 NoSound	50	2	1283971375
1283978731	Triggered	5	 Modulated Tone	25	2	1283978731
1283982339	Triggered	8	 NoSound	50	2	1283982339
1283988419	Triggered	5	 Modulated Tone	25	2	1283988419
1283993298	Triggered	2	 NoSound	50	2	1283993298
1284012956	Triggered	5	 Modulated Tone	25	2	1284012956
1284016960	Triggered	2	 NoSound	50	2	1284016960
1284024315	Triggered	5	 Modulated Tone	25	2	1284024315
1284029400	Triggered	2	 NoSound	50	2	1284029400
1284040489	Triggered	5	 Modulated Tone	25	2	1284040489
1284045240	Triggered	2	 NoSound	50	2	1284045240
1284052655	Triggered	5	 Modulated Tone	25	2	1284052655
1284056278	Triggered	8	 NoSound	50	2	1284056278
1284060875	Triggered	6	 NoSound	50	2	1284060875
1284070901	Triggered	5	 Modulated Tone	25	2	1284070901
1284074978	Triggered	1	 Modulated Tone	25	2	1284074978
1284086341	Triggered	4	 NoSound	50	2	1284086341
1284106733	Triggered	1	 Modulated Tone	25	2	1284106733
1284109267	Triggered	4	 NoSound	50	2	1284109267
1284130269	Triggered	1	 Modulated Tone	25	2	1284130269
1284133397	Triggered	4	 NoSound	50	2	1284133397
1284148641	Triggered	1	 Modulated Tone	25	2	1284148641
1284151444	Triggered	4	 NoSound	50	2	1284151444
1284167692	Triggered	1	 Modulated Tone	25	2	1284167692
1284170495	Triggered	4	 NoSound	50	2	1284170495
1284188282	Triggered	1	 Modulated Tone	25	2	1284188282
1284191149	Triggered	6	 NoSound	50	2	1284191149
1284203246	Triggered	1	 Modulated Tone	25	2	1284203246
1284206125	Triggered	4	 NoSound	50	2	1284206125
1284220424	Triggered	1	 Modulated Tone	25	2	1284220424
1284223305	Triggered	4	 NoSound	50	2	1284223305
1284238271	Triggered	1	 Modulated Tone	25	2	1284238271
1284241081	Triggered	4	 NoSound	50	2	1284241081
1284254856	Triggered	1	 Modulated Tone	25	2	1284254856
1284258462	Triggered	5	 Modulated Tone	25	2	1284258462
1284261198	Triggered	2	 NoSound	50	2	1284261198
1284266545	Triggered	5	 Modulated Tone	25	2	1284266545
1284269092	Triggered	2	 NoSound	50	2	1284269092
1284274236	Triggered	5	 Modulated Tone	25	2	1284274236
1284278179	Triggered	1	 Modulated Tone	25	2	1284278179
1284283328	Triggered	6	 NoSound	50	2	1284283328
1284287339	Triggered	2	 NoSound	50	2	1284287339
1284292280	Triggered	5	 Modulated Tone	25	2	1284292280
1284294958	Triggered	8	 NoSound	50	2	1284294958
1284307522	Triggered	5	 Modulated Tone	25	2	1284307522
1284310334	Triggered	8	 NoSound	50	2	1284310334
1284316144	Triggered	5	 Modulated Tone	25	2	1284316144
1284319148	Triggered	8	 NoSound	50	2	1284319148
1284324962	Triggered	5	 Modulated Tone	25	2	1284324962
1284327839	Triggered	8	 NoSound	50	2	1284327839
1284334121	Triggered	5	 Modulated Tone	25	2	1284334121
1284336927	Triggered	8	 NoSound	50	2	1284336927
1284344213	Triggered	5	 Modulated Tone	25	2	1284344213
1284348291	Triggered	8	 NoSound	50	2	1284348291
1284353906	Triggered	5	 Modulated Tone	25	2	1284353906
1284357114	Triggered	1	 Modulated Tone	25	2	1284357114
1284359456	Triggered	4	 NoSound	50	2	1284359456
1284372888	Triggered	1	 Modulated Tone	25	2	1284372888
1284375364	Triggered	4	 NoSound	50	2	1284375364
1284390467	Triggered	1	 Modulated Tone	25	2	1284390467
1284393212	Triggered	4	 NoSound	50	2	1284393212
1284409518	Triggered	1	 Modulated Tone	25	2	1284409518
1284412734	Triggered	4	 NoSound	50	2	1284412734
1284427774	Triggered	1	 Modulated Tone	25	2	1284427774
1284430372	Triggered	4	 NoSound	50	2	1284430372
1284445143	Triggered	1	 Modulated Tone	25	2	1284445143
1284448018	Triggered	4	 NoSound	50	2	1284448018
1284463865	Triggered	1	 Modulated Tone	25	2	1284463865
1284466534	Triggered	4	 NoSound	50	2	1284466534
1284492466	Triggered	1	 Modulated Tone	25	2	1284492466
1284498690	Triggered	4	 NoSound	50	2	1284498690
1284513861	Triggered	1	 Modulated Tone	25	2	1284513861
1284516601	Triggered	4	 NoSound	50	2	1284516601
1284531504	Triggered	1	 Modulated Tone	25	2	1284531504
1284535177	Triggered	5	 Modulated Tone	25	2	1284535177
1284538118	Triggered	2	 NoSound	50	2	1284538118
1284543872	Triggered	5	 Modulated Tone	25	2	1284543872
1284547888	Triggered	2	 NoSound	50	2	1284547888
1284552631	Triggered	5	 Modulated Tone	25	2	1284552631
1284556166	Triggered	8	 NoSound	50	2	1284556166
1284561112	Triggered	2	 NoSound	50	2	1284561112
1284565992	Triggered	5	 Modulated Tone	25	2	1284565992
1284570204	Triggered	2	 NoSound	50	2	1284570204
1284576086	Triggered	5	 Modulated Tone	25	2	1284576086
1284579361	Triggered	8	 NoSound	50	2	1284579361
1284585107	Triggered	6	 NoSound	50	2	1284585107
1284602231	Triggered	5	 Modulated Tone	25	2	1284602231
1284605901	Triggered	2	 NoSound	50	2	1284605901
1284611977	Triggered	5	 Modulated Tone	25	2	1284611977
1284616389	Triggered	2	 NoSound	50	2	1284616389
1284623406	Triggered	5	 Modulated Tone	25	2	1284623406
1284629030	Triggered	8	 NoSound	50	2	1284629030
1284632968	Triggered	1	 Modulated Tone	25	2	1284632968
1284638047	Triggered	5	 Modulated Tone	25	2	1284638047
1284641528	Triggered	2	 NoSound	50	2	1284641528
1284647138	Triggered	5	 Modulated Tone	25	2	1284647138
1284653968	Triggered	1	 Modulated Tone	25	2	1284653968
1284656494	Triggered	4	 NoSound	50	2	1284656494
1284664247	Triggered	1	 Modulated Tone	25	2	1284664247
1284667126	Triggered	4	 NoSound	50	2	1284667126
1284673406	Triggered	1	 Modulated Tone	25	2	1284673406
1284676815	Triggered	4	 NoSound	50	2	1284676815
1284682833	Triggered	1	 Modulated Tone	25	2	1284682833
1284685839	Triggered	4	 NoSound	50	2	1284685839
1284691518	Triggered	1	 Modulated Tone	25	2	1284691518
1284694664	Triggered	6	 NoSound	50	2	1284694664
1284701015	Triggered	1	 Modulated Tone	25	2	1284701015
1284705623	Triggered	6	 NoSound	50	2	1284705623
1284710976	Triggered	1	 Modulated Tone	25	2	1284710976
1284717652	Triggered	4	 NoSound	50	2	1284717652
1284724604	Triggered	1	 Modulated Tone	25	2	1284724604
1284727752	Triggered	4	 NoSound	50	2	1284727752
1284734565	Triggered	1	 Modulated Tone	25	2	1284734565
1284739043	Triggered	4	 NoSound	50	2	1284739043
1284747866	Triggered	5	 Modulated Tone	25	2	1284747866
1284753612	Triggered	1	 Modulated Tone	25	2	1284753612
1284758431	Triggered	5	 Modulated Tone	25	2	1284758431
1284762571	Triggered	8	 NoSound	50	2	1284762571
1284773667	Triggered	5	 Modulated Tone	25	2	1284773667
1284776807	Triggered	8	 NoSound	50	2	1284776807
