Ver1.3	1297352499	StartFile	1/8/2021	1:59:08 PM	E:\BehavioralExperiments\Bobo\RawData\010821\SoundData.txt	1297352499
1297448756	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297448756
1297448957	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297448957
1297458504	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297458504
1297458705	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297458705
1297467167	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297467167
1297472703	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297472703
1297472904	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297472904
1297482269	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297482269
1297482469	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1297482469
1297490091	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297490091
1297490292	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297490292
1297499297	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297499297
1297499497	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1297499497
1297505372	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297505372
1297510246	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297510246
1297510446	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1297510446
1297517773	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297517773
1297522037	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297522037
1297522239	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1297522239
1297529198	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297529198
1297529398	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297529398
1297534673	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297534673
1297534874	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1297534874
1297541472	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297541472
1297541674	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297541674
1297549354	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297549354
1297553745	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297553745
1297553945	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1297553945
1297564997	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297564997
1297570292	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297570292
1297570492	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297570492
1297579978	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297579978
1297580179	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297580179
1297585694	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297585694
1297585895	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1297585895
1297594972	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297594972
1297598094	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297598094
1297598294	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297598294
1297602721	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297602721
1297602921	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297602921
1297609278	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297609278
1297616024	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297616024
1297616225	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1297616225
1297623427	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297623427
1297626365	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297626365
1297626567	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297626567
1297632564	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297632564
1297632765	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297632765
1297636713	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297636713
1297636914	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297636914
1297644836	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297644836
1297645037	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297645037
1297650732	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297650732
1297650933	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297650933
1297656208	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297656208
1297656409	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297656409
1297660901	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297660901
1297665725	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297665725
1297665926	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1297665926
1297671430	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297671430
1297671631	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297671631
1297676243	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297676243
1297676444	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1297676444
1297681357	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297681357
1297686410	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297686410
1297686611	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1297686611
1297693391	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297693391
1297697362	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297697362
1297697562	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1297697562
1297705785	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297705785
1297705986	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1297705986
1297714148	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297714148
1297714348	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1297714348
1297720466	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297720466
1297720667	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1297720667
1297727445	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297727445
1297727645	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1297727645
1297734122	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297734122
1297734323	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1297734323
1297740200	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297740200
1297740401	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1297740401
1297747360	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297747360
1297747560	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297747560
1297752533	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297752533
1297756864	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297756864
1297760777	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297760777
1297760977	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1297760977
1297769620	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297769620
1297769821	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297769821
1297775336	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297775336
1297775538	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1297775538
1297784601	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297784601
1297784802	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297784802
1297788764	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297788764
1297788965	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1297788965
1297797298	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1297797298
1297797499	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1297797499
1297802953	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297802953
1297803153	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297803153
1297808186	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1297808186
1297813422	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1297813422
1297813623	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1297813623
1297818535	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1297818535
1297818735	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1297818735
