Ver1.3	1050454778	StartFile	8/6/2020	3:51:53 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\080620B\SoundData.txt	1050454778
1050668665	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1050668665
1050668867	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1050668867
1050681662	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050681662
1050685753	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050685753
1050685954	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050685954
1050696042	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050696042
1050699350	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050699350
1050699552	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050699552
1050709819	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050709819
1050712954	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050712954
1050713156	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050713156
1050722575	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050722575
1050722778	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050722778
1050725463	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050725463
1050725665	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050725665
1050735450	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050735450
1050735653	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050735653
1050738338	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050738338
1050738540	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050738540
1050748446	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050748446
1050748650	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050748650
1050751093	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050751093
1050751294	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050751294
1050762404	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050762404
1050762620	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050762620
1050765112	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050765112
1050765313	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050765313
1050774919	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050774919
1050775121	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050775121
1050777566	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050777566
1050777768	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050777768
1050787313	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050787313
1050787516	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050787516
1050789900	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050789900
1050790102	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050790102
1050801753	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050801753
1050801956	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050801956
1050804280	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050804280
1050804482	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050804482
1050814757	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050814757
1050814959	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050814959
1050817517	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050817517
1050817719	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050817719
1050827202	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050827202
1050827406	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050827406
1050829789	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050829789
1050829991	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050829991
1050839656	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050839656
1050839860	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050839860
1050842184	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050842184
1050842385	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050842385
1050851510	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050851510
1050851713	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050851713
1050853984	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050853984
1050854185	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050854185
1050863302	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050863302
1050863504	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050863504
1050865889	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050865889
1050866091	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050866091
1050875154	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050875154
1050875356	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050875356
1050877682	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050877682
1050877885	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050877885
1050888090	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050888090
1050888293	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1050888293
1050890619	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050890619
1050890821	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050890821
1050898921	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050898921
1050899123	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1050899123
1050902959	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050902959
1050903161	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050903161
1050911675	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050911675
1050911878	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1050911878
1050914323	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050914323
1050914526	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050914526
1050922445	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050922445
1050922647	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1050922647
1050925093	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050925093
1050925294	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050925294
1050933695	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050933695
1050933898	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1050933898
1050936223	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050936223
1050936424	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050936424
1050944345	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050944345
1050944547	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1050944547
1050946813	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050946813
1050947015	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050947015
1050955957	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050955957
1050956159	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1050956159
1050959026	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1050959026
1050959228	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1050959228
1050967750	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1050967750
1050967963	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1050967963
1050979663	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1050979663
1050983272	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1050983272
1050992238	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1050992238
1050997110	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1050997110
1051004210	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051004210
1051015460	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1051015460
1051023824	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051023824
1051024029	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051024029
1051027315	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051027315
1051027530	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051027530
1051037542	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051037542
1051037745	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051037745
1051040489	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051040489
1051040691	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051040691
1051048673	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051048673
1051048875	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051048875
1051051320	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051051320
1051051522	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051051522
1051061368	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051061368
1051061587	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051061587
1051064015	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051064015
1051064217	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051064217
1051073520	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051073520
1051073722	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051073722
1051076228	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051076228
1051076446	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051076446
1051087601	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051087601
1051087803	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051087803
1051090246	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051090246
1051090448	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051090448
1051099331	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051099331
1051099535	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051099535
1051101979	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051101979
1051102182	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051102182
1051111485	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051111485
1051111689	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051111689
1051114558	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051114558
1051114760	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051114760
1051125143	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051125143
1051125348	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051125348
1051128090	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051128090
1051128293	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051128293
1051137483	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051137483
1051137687	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051137687
1051140245	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051140245
1051140446	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051140446
1051149029	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051149029
1051149234	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051149234
1051151807	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051151807
1051152010	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051152010
1051162333	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051162333
1051162545	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051162545
1051165032	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051165032
1051165235	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051165235
1051173997	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051173997
1051174200	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051174200
1051176886	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051176886
1051177087	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051177087
1051188738	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051188738
1051188943	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1051188943
1051191686	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1051191686
1051191888	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1051191888
1051201493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1051201493
1051201697	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1051201697
