Ver1.2	188296525	StartFile	4/18/2020	9:10:55 PM	E:\BehavioralExperiments\Tianqi\Horizon\RawData\041820C\SoundData.txt	188296525
189020300	Triggered	5	 Modulated Tone	25	2	189020300
189022837	Triggered	2	 NoSound	50	2	189022837
189036007	Triggered	5	 Modulated Tone	25	2	189036007
189038684	Triggered	2	 NoSound	50	2	189038684
189050909	Triggered	5	 Modulated Tone	25	2	189050909
189053657	Triggered	2	 NoSound	50	2	189053657
189067017	Triggered	5	 Modulated Tone	25	2	189067017
189069694	Triggered	2	 NoSound	50	2	189069694
189081256	Triggered	5	 Modulated Tone	25	2	189081256
189084402	Triggered	2	 NoSound	50	2	189084402
189097230	Triggered	5	 Modulated Tone	25	2	189097230
189099971	Triggered	2	 NoSound	50	2	189099971
189112203	Triggered	5	 Modulated Tone	25	2	189112203
189115141	Triggered	2	 NoSound	50	2	189115141
189126840	Triggered	5	 Modulated Tone	25	2	189126840
189130587	Triggered	1	 Modulated Tone	25	2	189130587
189133724	Triggered	4	 NoSound	50	2	189133724
189143283	Triggered	1	 Modulated Tone	25	2	189143283
189145422	Triggered	4	 NoSound	50	2	189145422
189154382	Triggered	1	 Modulated Tone	25	2	189154382
189157125	Triggered	4	 NoSound	50	2	189157125
189166009	Triggered	1	 Modulated Tone	25	2	189166009
189168617	Triggered	4	 NoSound	50	2	189168617
189178181	Triggered	1	 Modulated Tone	25	2	189178181
189181116	Triggered	4	 NoSound	50	2	189181116
189189945	Triggered	1	 Modulated Tone	25	2	189189945
189192817	Triggered	4	 NoSound	50	2	189192817
189203850	Triggered	1	 Modulated Tone	25	2	189203850
189206522	Triggered	4	 NoSound	50	2	189206522
189218015	Triggered	1	 Modulated Tone	25	2	189218015
189220891	Triggered	4	 NoSound	50	2	189220891
189229239	Triggered	1	 Modulated Tone	25	2	189229239
189232381	Triggered	4	 NoSound	50	2	189232381
189240737	Triggered	1	 Modulated Tone	25	2	189240737
189244414	Triggered	5	 Modulated Tone	25	2	189244414
189247489	Triggered	2	 NoSound	50	2	189247489
189253041	Triggered	5	 Modulated Tone	25	2	189253041
189261057	Triggered	2	 NoSound	50	2	189261057
189266948	Triggered	5	 Modulated Tone	25	2	189266948
189272757	Triggered	8	 NoSound	50	2	189272757
189285119	Triggered	2	 NoSound	50	2	189285119
189292806	Triggered	6	 NoSound	50	2	189292806
189296751	Triggered	5	 Modulated Tone	25	2	189296751
189299697	Triggered	8	 NoSound	50	2	189299697
189313927	Triggered	5	 Modulated Tone	25	2	189313927
189316870	Triggered	8	 NoSound	50	2	189316870
189328712	Triggered	5	 Modulated Tone	25	2	189328712
189331779	Triggered	8	 NoSound	50	2	189331779
189343740	Triggered	5	 Modulated Tone	25	2	189343740
189346617	Triggered	8	 NoSound	50	2	189346617
189359180	Triggered	5	 Modulated Tone	25	2	189359180
189362187	Triggered	8	 NoSound	50	2	189362187
189373148	Triggered	5	 Modulated Tone	25	2	189373148
189376564	Triggered	2	 NoSound	50	2	189376564
189382445	Triggered	5	 Modulated Tone	25	2	189382445
189411783	Triggered	1	 Modulated Tone	25	2	189411783
189415125	Triggered	4	 NoSound	50	2	189415125
189424423	Triggered	1	 Modulated Tone	25	2	189424423
189427489	Triggered	4	 NoSound	50	2	189427489
189438251	Triggered	1	 Modulated Tone	25	2	189438251
189441134	Triggered	4	 NoSound	50	2	189441134
189449414	Triggered	1	 Modulated Tone	25	2	189449414
189454227	Triggered	6	 NoSound	50	2	189454227
189460977	Triggered	1	 Modulated Tone	25	2	189460977
189467261	Triggered	6	 NoSound	50	2	189467261
189473882	Triggered	1	 Modulated Tone	25	2	189473882
189477160	Triggered	4	 NoSound	50	2	189477160
189486181	Triggered	1	 Modulated Tone	25	2	189486181
189489385	Triggered	4	 NoSound	50	2	189489385
189497010	Triggered	1	 Modulated Tone	25	2	189497010
189500012	Triggered	4	 NoSound	50	2	189500012
189509571	Triggered	1	 Modulated Tone	25	2	189509571
189513047	Triggered	6	 NoSound	50	2	189513047
189518259	Triggered	1	 Modulated Tone	25	2	189518259
189521943	Triggered	5	 Modulated Tone	25	2	189521943
189525348	Triggered	8	 NoSound	50	2	189525348
189530632	Triggered	5	 Modulated Tone	25	2	189530632
189536373	Triggered	1	 Modulated Tone	25	2	189536373
189540985	Triggered	8	 NoSound	50	2	189540985
189546132	Triggered	5	 Modulated Tone	25	2	189546132
189553621	Triggered	8	 NoSound	50	2	189553621
189559100	Triggered	5	 Modulated Tone	25	2	189559100
189562308	Triggered	2	 NoSound	50	2	189562308
189577012	Triggered	5	 Modulated Tone	25	2	189577012
189579888	Triggered	2	 NoSound	50	2	189579888
189594129	Triggered	5	 Modulated Tone	25	2	189594129
189596872	Triggered	2	 NoSound	50	2	189596872
189609310	Triggered	5	 Modulated Tone	25	2	189609310
189612108	Triggered	2	 NoSound	50	2	189612108
189625878	Triggered	5	 Modulated Tone	25	2	189625878
189628754	Triggered	2	 NoSound	50	2	189628754
189642583	Triggered	5	 Modulated Tone	25	2	189642583
189645531	Triggered	2	 NoSound	50	2	189645531
189659298	Triggered	5	 Modulated Tone	25	2	189659298
189663442	Triggered	1	 Modulated Tone	25	2	189663442
189666446	Triggered	4	 NoSound	50	2	189666446
189678411	Triggered	1	 Modulated Tone	25	2	189678411
189681017	Triggered	4	 NoSound	50	2	189681017
189695595	Triggered	1	 Modulated Tone	25	2	189695595
189698738	Triggered	4	 NoSound	50	2	189698738
189710964	Triggered	1	 Modulated Tone	25	2	189710964
