Ver1.2	1776932946	StartFile	3/6/2020	4:16:25 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\030620\SoundData.txt	1776932946
1777191784	Triggered	1	 Modulated Tone	25	2	1777191784
1777198452	Triggered	5	 Modulated Tone	25	2	1777198452
1777202461	Triggered	8	 NoSound	50	2	1777202461
1777209213	Triggered	5	 Modulated Tone	25	2	1777209213
1777214626	Triggered	8	 NoSound	50	2	1777214626
1777220174	Triggered	5	 Modulated Tone	25	2	1777220174
1777225789	Triggered	8	 NoSound	50	2	1777225789
1777231537	Triggered	5	 Modulated Tone	25	2	1777231537
1777235752	Triggered	2	 NoSound	50	2	1777235752
1777245240	Triggered	4	 NoSound	50	2	1777245240
1777249254	Triggered	5	 Modulated Tone	25	2	1777249254
1777253394	Triggered	2	 NoSound	50	2	1777253394
1777261621	Triggered	5	 Modulated Tone	25	2	1777261621
1777265292	Triggered	2	 NoSound	50	2	1777265292
1777272178	Triggered	5	 Modulated Tone	25	2	1777272178
1777275791	Triggered	2	 NoSound	50	2	1777275791
1777283807	Triggered	5	 Modulated Tone	25	2	1777283807
1777287488	Triggered	2	 NoSound	50	2	1777287488
1777295371	Triggered	5	 Modulated Tone	25	2	1777295371
1777298713	Triggered	2	 NoSound	50	2	1777298713
1777307000	Triggered	5	 Modulated Tone	25	2	1777307000
1777311145	Triggered	2	 NoSound	50	2	1777311145
1777319099	Triggered	5	 Modulated Tone	25	2	1777319099
1777322909	Triggered	2	 NoSound	50	2	1777322909
1777339087	Triggered	5	 Modulated Tone	25	2	1777339087
1777343562	Triggered	2	 NoSound	50	2	1777343562
1777351583	Triggered	6	 NoSound	50	2	1777351583
1777357800	Triggered	8	 NoSound	50	2	1777357800
1777362879	Triggered	5	 Modulated Tone	25	2	1777362879
1777367292	Triggered	2	 NoSound	50	2	1777367292
1777375780	Triggered	1	 Modulated Tone	25	2	1777375780
1777379456	Triggered	6	 NoSound	50	2	1777379456
1777387744	Triggered	1	 Modulated Tone	25	2	1777387744
1777391890	Triggered	6	 NoSound	50	2	1777391890
1777398843	Triggered	1	 Modulated Tone	25	2	1777398843
1777402249	Triggered	6	 NoSound	50	2	1777402249
1777408602	Triggered	1	 Modulated Tone	25	2	1777408602
1777412545	Triggered	6	 NoSound	50	2	1777412545
1777419159	Triggered	1	 Modulated Tone	25	2	1777419159
1777423309	Triggered	6	 NoSound	50	2	1777423309
1777429320	Triggered	1	 Modulated Tone	25	2	1777429320
1777433407	Triggered	6	 NoSound	50	2	1777433407
1777440288	Triggered	1	 Modulated Tone	25	2	1777440288
1777443959	Triggered	4	 NoSound	50	2	1777443959
1777458060	Triggered	1	 Modulated Tone	25	2	1777458060
1777461336	Triggered	4	 NoSound	50	2	1777461336
1777473702	Triggered	1	 Modulated Tone	25	2	1777473702
1777476843	Triggered	4	 NoSound	50	2	1777476843
1777489076	Triggered	1	 Modulated Tone	25	2	1777489076
1777492151	Triggered	4	 NoSound	50	2	1777492151
1777503780	Triggered	1	 Modulated Tone	25	2	1777503780
1777506854	Triggered	4	 NoSound	50	2	1777506854
1777519354	Triggered	1	 Modulated Tone	25	2	1777519354
1777522296	Triggered	4	 NoSound	50	2	1777522296
1777533993	Triggered	1	 Modulated Tone	25	2	1777533993
1777538003	Triggered	5	 Modulated Tone	25	2	1777538003
1777540944	Triggered	8	 NoSound	50	2	1777540944
1777553843	Triggered	5	 Modulated Tone	25	2	1777553843
1777556790	Triggered	8	 NoSound	50	2	1777556790
1777570019	Triggered	5	 Modulated Tone	25	2	1777570019
1777572895	Triggered	8	 NoSound	50	2	1777572895
1777584994	Triggered	5	 Modulated Tone	25	2	1777584994
1777587604	Triggered	8	 NoSound	50	2	1777587604
1777599898	Triggered	5	 Modulated Tone	25	2	1777599898
1777603174	Triggered	8	 NoSound	50	2	1777603174
1777615270	Triggered	5	 Modulated Tone	25	2	1777615270
1777618550	Triggered	8	 NoSound	50	2	1777618550
1777630911	Triggered	5	 Modulated Tone	25	2	1777630911
1777634123	Triggered	2	 NoSound	50	2	1777634123
1777641939	Triggered	5	 Modulated Tone	25	2	1777641939
1777645884	Triggered	2	 NoSound	50	2	1777645884
1777652234	Triggered	5	 Modulated Tone	25	2	1777652234
1777655843	Triggered	2	 NoSound	50	2	1777655843
1777661796	Triggered	5	 Modulated Tone	25	2	1777661796
1777665067	Triggered	8	 NoSound	50	2	1777665067
1777677439	Triggered	5	 Modulated Tone	25	2	1777677439
1777680440	Triggered	8	 NoSound	50	2	1777680440
1777691937	Triggered	5	 Modulated Tone	25	2	1777691937
1777695014	Triggered	8	 NoSound	50	2	1777695014
1777708981	Triggered	5	 Modulated Tone	25	2	1777708981
1777712859	Triggered	1	 Modulated Tone	25	2	1777712859
1777716334	Triggered	6	 NoSound	50	2	1777716334
1777723084	Triggered	1	 Modulated Tone	25	2	1777723084
1777727229	Triggered	6	 NoSound	50	2	1777727229
1777734915	Triggered	1	 Modulated Tone	25	2	1777734915
1777738994	Triggered	6	 NoSound	50	2	1777738994
1777745276	Triggered	1	 Modulated Tone	25	2	1777745276
1777748952	Triggered	4	 NoSound	50	2	1777748952
