Ver1.2	147377372	StartFile	2/14/2020	1:24:04 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\SoundData.txt	147377372
148262442	Triggered	2	 NoSound	50	2	148262442
148272931	Triggered	5	 Modulated Tone	25	2	148272931
148276137	Triggered	8	 NoSound	50	2	148276137
148278417	Triggered	6	 NoSound	50	2	148278417
148281227	Triggered	5	 Modulated Tone	25	2	148281227
148284761	Triggered	2	 NoSound	50	2	148284761
148298462	Triggered	5	 Modulated Tone	25	2	148298462
148301740	Triggered	2	 NoSound	50	2	148301740
148313303	Triggered	6	 NoSound	50	2	148313303
148321257	Triggered	5	 Modulated Tone	25	2	148321257
148324732	Triggered	2	 NoSound	50	2	148324732
148333220	Triggered	5	 Modulated Tone	25	2	148333220
148337701	Triggered	8	 NoSound	50	2	148337701
148342645	Triggered	5	 Modulated Tone	25	2	148342645
148346193	Triggered	2	 NoSound	50	2	148346193
148355078	Triggered	5	 Modulated Tone	25	2	148355078
148360225	Triggered	1	 Modulated Tone	25	2	148360225
148364708	Triggered	8	 NoSound	50	2	148364708
148366977	Triggered	6	 NoSound	50	2	148366977
148369723	Triggered	5	 Modulated Tone	25	2	148369723
148375065	Triggered	1	 Modulated Tone	25	2	148375065
148378405	Triggered	4	 NoSound	50	2	148378405
148388972	Triggered	1	 Modulated Tone	25	2	148388972
148397454	Triggered	4	 NoSound	50	2	148397454
148407413	Triggered	1	 Modulated Tone	25	2	148407413
148410762	Triggered	6	 NoSound	50	2	148410762
148415302	Triggered	1	 Modulated Tone	25	2	148415302
148418779	Triggered	6	 NoSound	50	2	148418779
148423123	Triggered	1	 Modulated Tone	25	2	148423123
148439765	Triggered	6	 NoSound	50	2	148439765
148449391	Triggered	1	 Modulated Tone	25	2	148449391
148453132	Triggered	4	 NoSound	50	2	148453132
148467707	Triggered	1	 Modulated Tone	25	2	148467707
148472986	Triggered	6	 NoSound	50	2	148472986
148477068	Triggered	1	 Modulated Tone	25	2	148477068
148513160	Triggered	4	 NoSound	50	2	148513160
148524259	Triggered	1	 Modulated Tone	25	2	148524259
148531738	Triggered	5	 Modulated Tone	25	2	148531738
148536218	Triggered	4	 NoSound	50	2	148536218
148544438	Triggered	2	 NoSound	50	2	148544438
