Ver1.3	1083257650	StartFile	1/25/2021	12:24:50 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\012521\SoundData.txt	1083257650
1083492313	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1083492313
1083492515	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1083492515
1083507175	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083507175
1083511326	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083511326
1083511529	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1083511529
1083527330	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083527330
1083531121	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083531121
1083531323	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1083531323
1083543997	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083543997
1083547612	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083547612
1083547815	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1083547815
1083559519	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083559519
1083559723	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1083559723
1083563550	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083563550
1083563764	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1083563764
1083575764	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083575764
1083575968	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1083575968
1083579675	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1083579675
1083579875	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1083579875
1083587497	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083587497
1083587699	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1083587699
1083591407	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083591407
1083591610	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1083591610
1083603320	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083603320
1083603522	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1083603522
1083606869	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083606869
1083607071	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1083607071
1083620167	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1083620167
1083620370	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1083620370
1083623301	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1083623301
