Ver1.3	1021071007	StartFile	12/21/2020	2:02:29 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122120B\SoundData.txt	1021071007
1021696674	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1021696674
1021717191	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021717191
1021722786	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1021722786
1021783915	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021783915
1021789631	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1021789631
1021799799	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021799799
1021800004	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1021800004
1021872419	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021872419
1021872622	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1021872622
1021895762	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021895762
1021895966	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1021895966
1021906352	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1021906352
1021915558	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021915558
1021915760	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1021915760
1021932406	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021932406
1021932608	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1021932608
1021950394	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021950394
1021950597	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1021950597
1021953402	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021953402
1021953604	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1021953604
1021970194	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021970194
1021970397	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1021970397
1021973738	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021973738
1021973939	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1021973939
1021987636	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021987636
