Ver1.3	926550372	StartFile	7/9/2020	4:41:34 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\070920\SoundData.txt	926550372
926891983	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	926891983
926892195	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	926892195
927542546	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	927542546
927591206	Triggered	4,42,43,44,45,46,	 NoSound	40	2	927591206
927591408	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	927591408
927619747	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	927619747
927623824	Triggered	4,42,43,44,45,46,	 NoSound	40	2	927623824
927624027	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	927624027
927649896	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	927649896
927653375	Triggered	4,42,43,44,45,46,	 NoSound	40	2	927653375
927653577	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	927653577
927670949	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	927670949
927671151	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	927671151
927675693	Triggered	4,42,43,44,45,46,	 NoSound	40	2	927675693
927675896	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	927675896
927689595	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	927689595
927689797	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	927689797
927702631	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927702631
927707041	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927707041
927707242	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927707242
927731517	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927731517
927736785	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927736785
927736987	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927736987
927746611	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927746611
927753563	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927753563
927753764	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927753765
927802556	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927802556
927802759	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	927802759
927805899	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927805899
927806101	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927806101
927814526	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927814526
927814728	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	927814728
927818135	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927818135
927818336	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927818336
927828559	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927828559
927828762	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	927828762
927832102	Triggered	8,52,53,54,55,56,	 NoSound	40	2	927832102
927832303	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	927832303
927843001	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927843001
927843204	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	927843204
927847075	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927847075
927847276	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927847276
927858570	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927858570
927858773	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	927858773
927861980	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927861980
927862181	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927862181
927873943	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927873943
927874145	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	927874145
927877218	Triggered	2,37,38,39,40,41,	 NoSound	40	2	927877218
927877420	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	927877420
927887378	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	927887378
927887578	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	927887578
927910313	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	927910313
