Ver1.2	2499208045	StartFile	4/11/2020	4:47:43 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\041120B\SoundData.txt	2499208045
2500005869	Triggered	4	 NoSound	50	2	2500005869
2500020701	Triggered	1	 PureTone-5kHz	50	2	2500020701
2500024711	Triggered	5	 PureTone-5kHz	50	2	2500024711
2500028056	Triggered	8	 NoSound	50	2	2500028056
2500041890	Triggered	5	 PureTone-5kHz	50	2	2500041890
2500044763	Triggered	7	 NoSound	50	2	2500044763
2500114083	Triggered	8	 NoSound	50	2	2500114083
2500130188	Triggered	5	 PureTone-5kHz	50	2	2500130188
2500134135	Triggered	8	 NoSound	50	2	2500134135
2500151516	Triggered	5	 PureTone-5kHz	50	2	2500151516
2500155862	Triggered	2	 NoSound	50	2	2500155862
2500168085	Triggered	5	 PureTone-5kHz	50	2	2500168085
2500173233	Triggered	1	 PureTone-5kHz	50	2	2500173233
2500176173	Triggered	4	 NoSound	50	2	2500176173
2500189345	Triggered	3	 NoSound	50	2	2500189345
2500190882	Triggered	2	 NoSound	50	2	2500190882
2500195422	Triggered	1	 PureTone-5kHz	50	2	2500195422
2500199166	Triggered	4	 NoSound	50	2	2500199166
2500213814	Triggered	1	 PureTone-5kHz	50	2	2500213814
2500218083	Triggered	6	 NoSound	50	2	2500218083
2500231658	Triggered	5	 PureTone-5kHz	50	2	2500231658
2500235864	Triggered	4	 NoSound	50	2	2500235864
2500237602	Triggered	5	 PureTone-5kHz	50	2	2500237602
2500239680	Triggered	4	 NoSound	50	2	2500239680
2500240683	Triggered	5	 PureTone-5kHz	50	2	2500240683
2500267744	Triggered	4	 NoSound	50	2	2500267744
2500268747	Triggered	5	 PureTone-5kHz	50	2	2500268747
2500271154	Triggered	4	 NoSound	50	2	2500271154
2500272156	Triggered	5	 PureTone-5kHz	50	2	2500272156
2500279180	Triggered	4	 NoSound	50	2	2500279180
2500280182	Triggered	5	 PureTone-5kHz	50	2	2500280182
2500287399	Triggered	2	 NoSound	50	2	2500287399
2500296892	Triggered	1	 PureTone-5kHz	50	2	2500296892
2500301836	Triggered	6	 NoSound	50	2	2500301836
2500308518	Triggered	1	 PureTone-5kHz	50	2	2500308518
2500313933	Triggered	5	 PureTone-5kHz	50	2	2500313933
2500317881	Triggered	2	 NoSound	50	2	2500317881
2500333519	Triggered	5	 PureTone-5kHz	50	2	2500333519
2500337327	Triggered	2	 NoSound	50	2	2500337327
2500352966	Triggered	5	 PureTone-5kHz	50	2	2500352966
2500357112	Triggered	2	 NoSound	50	2	2500357112
2500372149	Triggered	5	 PureTone-5kHz	50	2	2500372149
2500375829	Triggered	2	 NoSound	50	2	2500375829
2500393471	Triggered	5	 PureTone-5kHz	50	2	2500393471
2500397351	Triggered	2	 NoSound	50	2	2500397351
2500405039	Triggered	1	 PureTone-5kHz	50	2	2500405039
2500409451	Triggered	4	 NoSound	50	2	2500409451
2500423623	Triggered	1	 PureTone-5kHz	50	2	2500423623
2500426157	Triggered	4	 NoSound	50	2	2500426157
2500436123	Triggered	1	 PureTone-5kHz	50	2	2500436123
2500440802	Triggered	4	 NoSound	50	2	2500440802
2500453362	Triggered	1	 PureTone-5kHz	50	2	2500453362
2500457642	Triggered	6	 NoSound	50	2	2500457642
2500467071	Triggered	1	 PureTone-5kHz	50	2	2500467071
2500471074	Triggered	6	 NoSound	50	2	2500471074
2500476423	Triggered	5	 PureTone-5kHz	50	2	2500476423
2500481435	Triggered	8	 NoSound	50	2	2500481435
2500496073	Triggered	5	 PureTone-5kHz	50	2	2500496073
2500499819	Triggered	2	 NoSound	50	2	2500499819
2500510050	Triggered	8	 NoSound	50	2	2500510050
2500531565	Triggered	5	 PureTone-5kHz	50	2	2500531565
2500535644	Triggered	8	 NoSound	50	2	2500535644
2500546479	Triggered	5	 PureTone-5kHz	50	2	2500546479
2500550154	Triggered	2	 NoSound	50	2	2500550154
2500564654	Triggered	5	 PureTone-5kHz	50	2	2500564654
2500568863	Triggered	2	 NoSound	50	2	2500568863
2500578090	Triggered	1	 PureTone-5kHz	50	2	2500578090
2500581963	Triggered	6	 NoSound	50	2	2500581963
2500591860	Triggered	1	 PureTone-5kHz	50	2	2500591860
2500596001	Triggered	6	 NoSound	50	2	2500596001
2500606501	Triggered	1	 PureTone-5kHz	50	2	2500606501
2500610504	Triggered	6	 NoSound	50	2	2500610504
2500619939	Triggered	1	 PureTone-5kHz	50	2	2500619939
2500624474	Triggered	4	 NoSound	50	2	2500624474
2500640649	Triggered	1	 PureTone-5kHz	50	2	2500640649
2500645737	Triggered	5	 PureTone-5kHz	50	2	2500645737
2500649942	Triggered	8	 NoSound	50	2	2500649942
2500659435	Triggered	5	 PureTone-5kHz	50	2	2500659435
2500664579	Triggered	8	 NoSound	50	2	2500664579
2500675006	Triggered	5	 PureTone-5kHz	50	2	2500675006
2500679819	Triggered	8	 NoSound	50	2	2500679819
2500693321	Triggered	5	 PureTone-5kHz	50	2	2500693321
2500698000	Triggered	2	 NoSound	50	2	2500698000
2500714646	Triggered	5	 PureTone-5kHz	50	2	2500714646
2500719260	Triggered	2	 NoSound	50	2	2500719260
2500725002	Triggered	1	 PureTone-5kHz	50	2	2500725002
2500729621	Triggered	6	 NoSound	50	2	2500729621
2500740376	Triggered	1	 PureTone-5kHz	50	2	2500740376
2500744993	Triggered	6	 NoSound	50	2	2500744993
2500755683	Triggered	1	 PureTone-5kHz	50	2	2500755683
2500760095	Triggered	6	 NoSound	50	2	2500760095
2500771055	Triggered	1	 PureTone-5kHz	50	2	2500771055
2500776339	Triggered	6	 NoSound	50	2	2500776339
2500787970	Triggered	1	 PureTone-5kHz	50	2	2500787970
2500792988	Triggered	6	 NoSound	50	2	2500792988
2500799663	Triggered	5	 PureTone-5kHz	50	2	2500799663
2500806283	Triggered	2	 NoSound	50	2	2500806283
2500816582	Triggered	5	 PureTone-5kHz	50	2	2500816582
2500822930	Triggered	2	 NoSound	50	2	2500822930
2500841106	Triggered	5	 PureTone-5kHz	50	2	2500841106
2500846725	Triggered	2	 NoSound	50	2	2500846725
2500856077	Triggered	5	 PureTone-5kHz	50	2	2500856077
2500861433	Triggered	8	 NoSound	50	2	2500861434
2500876868	Triggered	5	 PureTone-5kHz	50	2	2500876868
2500881882	Triggered	2	 NoSound	50	2	2500881882
2500887296	Triggered	1	 PureTone-5kHz	50	2	2500887296
2500892042	Triggered	4	 NoSound	50	2	2500892042
2500904404	Triggered	1	 PureTone-5kHz	50	2	2500904404
2500909819	Triggered	4	 NoSound	50	2	2500909819
2500918107	Triggered	1	 PureTone-5kHz	50	2	2500918107
2500923522	Triggered	4	 NoSound	50	2	2500923522
2500933820	Triggered	1	 PureTone-5kHz	50	2	2500933820
2500938497	Triggered	6	 NoSound	50	2	2500938497
2500951935	Triggered	1	 PureTone-5kHz	50	2	2500951935
2500956407	Triggered	6	 NoSound	50	2	2500956407
2500972583	Triggered	8	 NoSound	50	2	2500972583
2500987290	Triggered	7	 NoSound	50	2	2500987290
2500989166	Triggered	6	 NoSound	50	2	2500989166
2501015293	Triggered	5	 PureTone-5kHz	50	2	2501015293
2501021173	Triggered	2	 NoSound	50	2	2501021173
2501035211	Triggered	1	 PureTone-5kHz	50	2	2501035211
2501039157	Triggered	4	 NoSound	50	2	2501039157
2501040159	Triggered	1	 PureTone-5kHz	50	2	2501040159
2501044172	Triggered	4	 NoSound	50	2	2501044172
2501045173	Triggered	7	 NoSound	50	2	2501045173
2501047980	Triggered	4	 NoSound	50	2	2501047980
2501054998	Triggered	7	 NoSound	50	2	2501054998
2501056001	Triggered	4	 NoSound	50	2	2501056001
2501057604	Triggered	7	 NoSound	50	2	2501057604
2501063016	Triggered	4	 NoSound	50	2	2501063016
2501068032	Triggered	7	 NoSound	50	2	2501068032
2501069034	Triggered	1	 PureTone-5kHz	50	2	2501069034
2501097309	Triggered	4	 NoSound	50	2	2501097309
2501098313	Triggered	1	 PureTone-5kHz	50	2	2501098313
