Ver1.3	1982552867	StartFile	8/17/2020	10:46:51 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\081720A\SoundData.txt	1982552867
1982869903	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1982869903
1982870104	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1982870104
1982880598	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982880598
1982884207	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1982884207
1982884408	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1982884408
1982899915	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982899915
1982900117	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1982900117
1982903926	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1982903926
1982904128	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1982904128
1982916426	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982916426
1982916642	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1982916642
1982920836	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1982920836
1982921038	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1982921038
1982935007	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982935007
1982935209	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1982935209
1982938762	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1982938762
1982938964	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1982938964
1982953388	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982953388
1982953590	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1982953590
1982956797	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1982956797
1982956999	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1982956999
1982972712	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982972712
1982972914	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1982972914
1982976648	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1982976648
1982976849	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1982976849
1982990217	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1982990217
1982990419	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1982990419
1982993559	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1982993559
1982993761	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1982993761
1983008464	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983008464
1983008665	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1983008665
1983020897	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1983020897
1983024773	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1983024773
1983024974	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1983024974
1983035668	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1983035668
1983035871	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1983035871
1983039153	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1983039153
1983039354	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1983039354
1983052981	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1983052981
1983053183	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1983053183
1983066883	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983066883
1983069892	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1983069892
1983070092	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1983070092
1983077978	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983077978
1983078181	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1983078181
1983080519	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1983080519
1983080719	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1983080719
1983088674	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983088674
1983088877	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1983088877
1983091347	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1983091347
1983091548	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1983091548
1983099302	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983099302
1983099503	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1983099503
1983102776	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1983102776
1983108658	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983108658
1983108859	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1983108859
1983112469	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1983112469
1983112670	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1983112670
1983121025	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983121025
1983121227	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1983121227
1983124833	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1983124833
1983137939	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1983137939
1983138141	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1983138141
1983141411	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1983141411
1983141612	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1983141612
