Ver1.3	502113465	StartFile	12/15/2020	1:53:12 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\121520\SoundData.txt	502113465
502752507	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	502752507
502755191	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502755191
502755393	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	502755393
502764517	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502764517
502764720	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	502764720
502767346	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502767346
502767549	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	502767549
502776009	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502776009
502776213	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	502776213
502778600	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502778600
502778803	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	502778803
502787081	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502787081
502787285	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	502787285
502789729	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502789729
502789931	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	502789931
502798932	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502798932
502799134	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	502799134
502801761	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502801761
502801962	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	502801962
502810424	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502810424
502810625	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	502810625
502813266	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502813266
502813467	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	502813467
502822817	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502822817
502823018	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	502823018
502845560	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502845560
502848448	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502848448
502848650	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502848650
502857172	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502857172
502860182	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502860182
502860383	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502860383
502868364	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502868364
502872274	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502872274
502872475	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502872475
502881601	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502881601
502881803	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	502881803
502884968	Triggered	8,52,53,54,55,56,	 NoSound	40	2	502884968
502885170	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	502885170
502890325	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502890325
502890527	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	502890527
502896101	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502896101
502896302	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502896302
502904465	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502904465
502904666	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	502904666
502906869	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502906869
502907071	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502907071
502942789	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502942789
502942992	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	502942992
502945977	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502945977
502946179	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502946179
502956145	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502956145
502956348	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	502956348
502958852	Triggered	8,52,53,54,55,56,	 NoSound	40	2	502958852
502959053	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	502959053
502967276	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502967276
502967477	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	502967477
502970345	Triggered	2,37,38,39,40,41,	 NoSound	40	2	502970345
502970558	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	502970558
502987442	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502987442
502987644	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	502987644
503003136	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503003136
503003339	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503003339
503012219	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503012219
503014987	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503014987
503015189	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503015189
503023110	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503023110
503025998	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503025998
503026199	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503026199
503033759	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503033759
503033963	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	503033963
503036346	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503036346
503036547	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503036547
503043206	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503043206
503043407	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	503043407
