Ver1.3	759436075	StartFile	12/18/2020	1:21:54 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\121820\SoundData.txt	759436075
759756148	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	759756148
759756350	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	759756350
759771722	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759771722
759775734	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759775734
759775935	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759775935
759788366	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759788366
759791842	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759791842
759792042	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759792042
759801669	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759801669
759804876	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759804876
759805077	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759805077
759815035	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759815035
759815239	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	759815239
759818111	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759818111
759818312	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759818312
759827267	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759827267
759827470	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	759827470
759830610	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759830610
759830811	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759830811
759841103	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759841103
759841305	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	759841305
759844847	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759844847
759845049	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759845049
759854338	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759854338
759854540	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	759854540
759857814	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759857814
759858015	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759858015
759868647	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759868647
759868849	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	759868849
759871856	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759871856
759872057	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759872057
759884750	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759884750
759884952	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	759884952
759888234	Triggered	6,47,48,49,50,51,	 NoSound	40	2	759888234
759888437	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	759888437
759897784	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	759897784
759897985	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	759897985
759913024	Triggered	8,52,53,54,55,56,	 NoSound	40	2	759913024
759913226	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	759913226
759936887	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	759936887
759939693	Triggered	8,52,53,54,55,56,	 NoSound	40	2	759939693
759939896	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	759939896
759951925	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	759951925
759956137	Triggered	8,52,53,54,55,56,	 NoSound	40	2	759956137
759956338	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	759956338
759967231	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	759967231
759967434	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	759967434
759969772	Triggered	8,52,53,54,55,56,	 NoSound	40	2	759969772
759969974	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	759969974
759982538	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	759982538
759982741	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	759982741
759986148	Triggered	2,37,38,39,40,41,	 NoSound	40	2	759986148
759986350	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	759986350
759995773	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	759995773
759995975	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	759995975
759999383	Triggered	8,52,53,54,55,56,	 NoSound	40	2	759999384
759999585	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	759999585
760010546	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760010546
760010747	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	760010747
760014222	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760014222
760014425	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	760014425
760027523	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760027523
760027727	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	760027727
760030532	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760030532
760030733	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	760030733
760044970	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760044970
760045171	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	760045171
760048310	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760048310
760048512	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	760048512
760058537	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760058537
760058738	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	760058738
760072506	Triggered	4,42,43,44,45,46,	 NoSound	40	2	760072506
760072710	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	760072710
760084939	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760084939
760088014	Triggered	4,42,43,44,45,46,	 NoSound	40	2	760088014
760088215	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	760088215
760098573	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760098573
760101716	Triggered	4,42,43,44,45,46,	 NoSound	40	2	760101716
760101928	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	760101928
760112812	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760112812
760113014	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	760113014
760116153	Triggered	6,47,48,49,50,51,	 NoSound	40	2	760116153
760116355	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	760116355
760128053	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760128053
760128256	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	760128256
760131661	Triggered	6,47,48,49,50,51,	 NoSound	40	2	760131661
760131862	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	760131862
760140483	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760140483
760140687	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	760140687
760144293	Triggered	6,47,48,49,50,51,	 NoSound	40	2	760144293
760144495	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	760144495
760153183	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760153183
760153385	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	760153385
760156592	Triggered	4,42,43,44,45,46,	 NoSound	40	2	760156592
760156794	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	760156794
760168824	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760168824
760169027	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	760169027
760171898	Triggered	4,42,43,44,45,46,	 NoSound	40	2	760171898
760172100	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	760172100
760183529	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760183529
760183731	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	760183731
760186744	Triggered	4,42,43,44,45,46,	 NoSound	40	2	760186744
760186947	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	760186947
760197500	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760197500
760197700	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	760197700
760219221	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760219221
760244889	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760244889
760245090	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	760245090
760287601	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760287601
760292144	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760292144
760292346	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	760292346
760305514	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760305514
760310193	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760310193
760310394	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	760310394
760318079	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760318079
760318285	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	760318285
760321889	Triggered	2,37,38,39,40,41,	 NoSound	40	2	760321889
760335860	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760335860
760336063	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	760336063
760340341	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760340341
760340544	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	760340544
760354646	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760354646
760354850	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	760354850
760391002	Triggered	2,37,38,39,40,41,	 NoSound	40	2	760391002
760395682	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760395682
760395884	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	760395884
760400026	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760400026
760400228	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	760400228
760407111	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760407111
760407323	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	760407323
760411122	Triggered	8,52,53,54,55,56,	 NoSound	40	2	760411122
760411323	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	760411323
760426763	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760426763
760426965	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	760426965
760430439	Triggered	2,37,38,39,40,41,	 NoSound	40	2	760430439
760434516	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	760434516
760434718	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	760434718
760446013	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760446013
760449088	Triggered	6,47,48,49,50,51,	 NoSound	40	2	760449088
760485186	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760485186
760489460	Triggered	6,47,48,49,50,51,	 NoSound	40	2	760489460
760494806	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760494806
760508582	Triggered	6,47,48,49,50,51,	 NoSound	40	2	760508582
760517944	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	760517944
