Ver1.3	1446878147	StartFile	11/7/2020	9:58:30 AM	E:\BehavioralExperiments\Bobo\RawData\110720\SoundData.txt	1446878147
1447295306	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1447295306
1447295509	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1447295509
1447320344	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1447320344
1447459740	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1447459740
1447459941	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1447459941
1447579890	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1447579890
1447809663	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1447809663
1447809864	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1447809864
1447916759	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1447916759
1447941127	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1447941127
1447941327	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1447941327
1447963026	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1447963026
1447970848	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1447970848
1447971050	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1447971050
1448001472	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448001472
1448001676	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1448001676
1448011339	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1448011339
1448011541	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1448011541
1448024096	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448024096
1448024300	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1448024300
1448039978	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1448039978
1448040179	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1448040179
1448063502	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448063502
1448063705	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1448063705
1448080409	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1448080409
1448080611	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1448080611
1448099903	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448099903
1448100105	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1448100105
1448136968	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1448136968
1448137182	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1448137182
1448148221	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448148221
1448148424	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1448148424
1448154113	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1448154113
1448154315	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1448154315
1448168973	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448168973
1448169175	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1448169175
1448175471	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1448175471
1448175673	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1448175673
1448189970	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448189970
1448190172	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1448190172
1448247971	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448247971
1448254168	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448254168
1448254370	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448254370
1448610771	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448610771
1448635979	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448635979
1448636181	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448636181
1448657578	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448657578
1448663054	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448663054
1448663256	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448663256
1448730259	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448730259
1448736757	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1448736757
1448736959	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1448736959
1448766660	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448766660
1448766865	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1448766865
1448774300	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448774300
1448774502	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448774502
1448790185	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448790185
1448790390	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1448790390
1448795298	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448795298
1448795500	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448795500
1448811363	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448811363
1448811566	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1448811566
1448816417	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448816417
1448816619	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448816619
1448832662	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448832662
1448832865	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1448832865
1448837474	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448837474
1448837675	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448837675
1448851193	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448851193
1448851396	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1448851396
1448855645	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448855645
1448855846	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448855846
1448870207	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448870207
1448870409	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1448870409
1448874717	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1448874717
1448874919	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1448874919
1448889999	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1448889999
1448890200	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1448890200
1448907026	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448907026
1448912140	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1448912140
1448912341	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1448912341
1448941862	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448941862
1448956193	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1448956193
1448956395	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1448956395
1448977240	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1448977240
1448994687	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1448994687
1448994889	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1448994889
1449041376	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449041376
1449046551	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1449046551
1449046753	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1449046753
1449065503	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449065503
1449065708	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1449065708
1449070435	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1449070435
1449070637	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1449070637
1449089809	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449089809
1449090013	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1449090013
1449095345	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1449095345
1449095545	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1449095545
1449105754	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449105754
1449105959	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1449105959
1449110506	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1449110506
1449110707	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1449110707
1449119111	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449119111
1449119313	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1449119313
1449123443	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1449123443
1449123657	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1449123657
1449138435	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449138435
1449138637	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1449138637
1449143297	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1449143297
1449143500	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1449143500
1449163332	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449163332
1449163534	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1449163534
1449167786	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1449167786
1449167988	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1449167988
1449176089	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1449176089
1449176306	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1449176306
1449214534	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449214534
1449218986	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1449218986
1449219188	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1449219188
1449237937	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449237937
1449242211	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1449242211
1449242428	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1449242428
1449252497	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449252497
1449256469	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1449256469
1449256671	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1449256671
1449274219	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449274219
1449278490	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1449278490
1449278691	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1449278691
1449298772	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449298772
1449298976	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1449298976
1449303279	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1449303279
1449303480	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1449303480
1449317479	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449317479
1449317697	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1449317697
1449324637	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1449324637
1449324839	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1449324839
1449343047	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1449343047
1449343251	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1449343251
