Ver1.3	172868133	StartFile	7/27/2020	12:05:26 PM	E:\BehavioralExperiments\Twenty\RawData\072720\SoundData.txt	172868133
173108174	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	173108174
173108375	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	173108376
173161119	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173161119
173181937	Triggered	6,47,48,49,50,51,	 NoSound	40	2	173181937
173182140	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	173182140
173230132	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173230132
173265446	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173265446
173265648	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173265648
173283135	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173283135
173291380	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173291380
173291581	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173291581
173326214	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173326214
173337886	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173337886
173338087	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173338087
173540466	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173540466
173540669	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	173540669
173771441	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173771441
173771642	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173771642
173840030	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173840030
173840234	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	173840234
173870836	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173870836
173871050	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173871050
173891351	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173891351
173891553	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	173891553
173906515	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173906515
173906715	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173906715
173920473	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173920473
173920676	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	173920676
173939787	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173939787
173939988	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173939988
173958137	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	173958137
173958339	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	173958339
173965296	Triggered	4,42,43,44,45,46,	 NoSound	40	2	173965296
173965497	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	173965497
174076302	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174076302
174076504	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	174076504
174083763	Triggered	4,42,43,44,45,46,	 NoSound	40	2	174083763
174083964	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	174083964
174171002	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174171002
174171204	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	174171204
174222143	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	174222143
174239050	Triggered	2,37,38,39,40,41,	 NoSound	40	2	174239050
174239251	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	174239251
174609072	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	174609072
174623147	Triggered	2,37,38,39,40,41,	 NoSound	40	2	174623147
174623348	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	174623348
174653357	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	174653357
174661294	Triggered	2,37,38,39,40,41,	 NoSound	40	2	174661294
174661494	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	174661494
174712616	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	174712616
174720803	Triggered	2,37,38,39,40,41,	 NoSound	40	2	174720803
174721004	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	174721004
174736080	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	174736080
174736282	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	174736282
174745711	Triggered	8,52,53,54,55,56,	 NoSound	40	2	174745711
174745912	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	174745912
174765320	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	174765320
174765535	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	174765535
174813271	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174813271
174830781	Triggered	4,42,43,44,45,46,	 NoSound	40	2	174830781
174830985	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	174830985
174857554	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174857554
174867601	Triggered	4,42,43,44,45,46,	 NoSound	40	2	174867601
174867803	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	174867803
174899248	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174899248
174905987	Triggered	6,47,48,49,50,51,	 NoSound	40	2	174905987
174906200	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	174906200
174920496	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174920496
174958634	Triggered	6,47,48,49,50,51,	 NoSound	40	2	174958634
174958834	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	174958834
174973615	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	174973615
174973817	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	174973817
174978968	Triggered	4,42,43,44,45,46,	 NoSound	40	2	174978968
174979170	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	174979170
175009713	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175009713
175009916	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	175009916
175014106	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175014106
175014307	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	175014307
175045161	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175045161
175045364	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	175045364
175049369	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175049369
175049570	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	175049570
175077403	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175077403
175077607	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	175077607
175081371	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175081371
175081573	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	175081573
175117650	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175117650
175117853	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	175117853
175145626	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175145626
175145829	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	175145829
175176432	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175176432
175176633	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	175176633
175180344	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175180344
175180546	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	175180546
175204228	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175204228
175204429	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	175204429
175222280	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175222280
175226191	Triggered	8,52,53,54,55,56,	 NoSound	40	2	175226191
175226392	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	175226392
175309278	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175309278
175356334	Triggered	2,37,38,39,40,41,	 NoSound	40	2	175356334
175356551	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	175356551
175426301	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175426301
