Ver1.3	1300389321	StartFile	1/8/2021	2:49:45 PM	E:\BehavioralExperiments\Coco\RawData\010821\SoundData.txt	1300389321
1302774355	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1302774355
1302795209	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1302795209
1302808177	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1302808177
1302836383	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1302836383
1302849083	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1302849083
1302859243	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1302859243
1302870606	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1302870606
1302884375	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1302884375
1302892797	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1302892797
1302901620	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1302901620
1302909842	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1302909842
1302925894	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1302925894
1302936043	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1302936043
1302962646	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1302962646
1302971073	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1302971073
1302989249	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1302989249
1302998138	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1302998138
1303006360	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1303006360
1303013379	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1303013379
1303041517	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1303041517
1303058763	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1303058763
1303077613	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1303077613
1303088306	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1303088306
1303096137	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1303096137
1303107958	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1303107958
1303123131	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1303123131
1303135831	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1303135831
1303150536	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1303150536
