Ver1.3	493835047	StartFile	9/24/2020	11:36:04 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\092420\SoundData.txt	493835047
494163696	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494163696
494167307	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494167307
494167508	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	494167508
494184036	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494184036
494188184	Triggered	6,47,48,49,50,51,	 NoSound	40	2	494188184
494188385	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	494188385
494196185	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494196185
494199735	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494199735
494199936	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	494199936
494210324	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494210324
494214236	Triggered	6,47,48,49,50,51,	 NoSound	40	2	494214236
494214437	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	494214437
494248831	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494248831
494249032	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	494249032
494252802	Triggered	6,47,48,49,50,51,	 NoSound	40	2	494252802
494253002	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	494253002
494262729	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494262729
494262930	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	494262930
494277170	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494277170
494280177	Triggered	2,37,38,39,40,41,	 NoSound	40	2	494280177
494280380	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	494280380
494290586	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494290586
494293834	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494293834
494294036	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494294036
494305627	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494305627
494308455	Triggered	2,37,38,39,40,41,	 NoSound	40	2	494308455
494308656	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	494308656
494318683	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494318683
494321876	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494321876
494322077	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494322077
494330656	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494330656
494330860	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	494330860
494334145	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494334145
494334359	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494334359
494342750	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494342750
494342953	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	494342953
494346179	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494346179
494346381	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494346381
494357430	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494357430
494357632	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	494357632
494360678	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494360678
494360879	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494360879
494370848	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494370848
494371051	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	494371051
494374097	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494374097
494374298	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494374298
494384926	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494384926
494385128	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	494385128
494387813	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494387813
494388015	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494388015
494398283	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494398283
494398484	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	494398484
494402314	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494402314
494402515	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	494402515
494411939	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494411939
494412140	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	494412140
494493525	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494493525
494496353	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494496353
494496554	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	494496554
494523608	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494523608
494527520	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494527520
494527721	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	494527721
494571620	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494571620
494576375	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494576375
494576576	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	494576576
494645685	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494645685
494650558	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494650558
494650759	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	494650759
494778953	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494778953
494779155	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	494779155
494783464	Triggered	4,42,43,44,45,46,	 NoSound	40	2	494783464
494783679	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	494783679
494796038	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	494796038
494796241	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	494796241
494812103	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494812103
494816014	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494816014
494816216	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494816216
494830581	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494830581
494833884	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494833884
494834085	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494834085
494848925	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494848925
494851451	Triggered	2,37,38,39,40,41,	 NoSound	40	2	494851451
494851665	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	494851665
494863846	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494863846
494867639	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494867639
494867841	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494867841
494881595	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494881595
494881799	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	494881799
494884361	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494884361
494884563	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494884563
494896636	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494896636
494896840	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	494896840
494899463	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494899463
494899665	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494899665
494912099	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494912099
494912301	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	494912301
494915167	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494915167
494915369	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494915369
494927381	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494927381
494927584	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	494927584
494930210	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494930210
494930412	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494930412
494942964	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494942964
494943166	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	494943166
494945972	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494945972
494946187	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494946187
494958367	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494958367
494958570	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	494958570
494961014	Triggered	8,52,53,54,55,56,	 NoSound	40	2	494961014
494961215	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	494961215
494972397	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	494972397
494972597	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	494972597
495007039	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495007039
495010170	Triggered	6,47,48,49,50,51,	 NoSound	40	2	495010170
495010371	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	495010371
495022743	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495022743
495025451	Triggered	4,42,43,44,45,46,	 NoSound	40	2	495025451
495025652	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	495025652
495036461	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495036461
495039288	Triggered	6,47,48,49,50,51,	 NoSound	40	2	495039288
495039490	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	495039490
495050361	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495050361
495052946	Triggered	6,47,48,49,50,51,	 NoSound	40	2	495052946
495053147	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	495053147
495063174	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495063174
495063376	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	495063376
495065766	Triggered	4,42,43,44,45,46,	 NoSound	40	2	495065766
495065969	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	495065969
495096567	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495096567
495096768	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	495096768
495109629	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495109629
495112572	Triggered	8,52,53,54,55,56,	 NoSound	40	2	495112572
495112773	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	495112773
495125762	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495125762
495129418	Triggered	2,37,38,39,40,41,	 NoSound	40	2	495129418
495129630	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	495129630
495142475	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495142475
495145181	Triggered	2,37,38,39,40,41,	 NoSound	40	2	495145181
495145381	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	495145381
495152461	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495152461
495155349	Triggered	2,37,38,39,40,41,	 NoSound	40	2	495155349
495155550	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	495155550
495161728	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495161728
495161931	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	495161931
495166312	Triggered	8,52,53,54,55,56,	 NoSound	40	2	495166312
495166514	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	495166514
495177249	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495177249
495177453	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	495177453
495180198	Triggered	8,52,53,54,55,56,	 NoSound	40	2	495180198
495180400	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	495180400
495191268	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495191268
495191472	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	495191472
495193855	Triggered	8,52,53,54,55,56,	 NoSound	40	2	495193855
495194056	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	495194056
