1	1	20
1	1	1	0
4	9	1	0
1	1	1	0
6	1	1	0
1	1	1	0
4	9	1	0
1	1	1	0
6	1	1	0
1	1	1	0
4	9	1	0
1	1	1	0
6	1	1	0
1	1	1	0
4	9	1	0
1	1	1	0
6	1	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
5	1	1	0
2	9	1	0
5	1	1	0
2	9	1	0
5	1	1	0
8	1	1	0
5	1	1	0
8	1	1	0
5	1	1	0
8	1	1	0
5	1	1	0
2	9	1	0
5	1	1	0
2	9	1	0
5	1	1	0
8	1	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
5	1	1	0
28	91	1	0
1	1	1	0
6	9	1	0
1	1	1	0
6	9	1	0
1	1	1	0
6	9	1	0
1	1	1	0
6	9	1	0
1	1	1	0
4	1	1	0
1	1	1	0
4	1	1	0
1	1	1	0
4	1	1	0
1	1	1	0
4	1	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
1	1	1	0
64	91	1	0
5	1	1	0
2	9	1	0
5	1	1	0
8	1	1	0
5	1	1	0
2	9	1	0
5	1	1	0
8	1	1	0
5	1	1	0
8	1	1	0
5	1	1	0
8	1	1	0
5	1	1	0
2	9	1	0
5	1	1	0
2	9	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
5	1	1	0
82	19	1	0
1	1	1	0
6	1	1	0
1	1	1	0
4	9	1	0
1	1	1	0
4	9	1	0
1	1	1	0
6	1	1	0
1	1	1	0
6	1	1	0
1	1	1	0
4	9	1	0
1	1	1	0
4	9	1	0
1	1	1	0
6	1	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
1	1	1	0
46	91	1	0
5	1	1	0
2	1	1	0
5	1	1	0
2	1	1	0
5	1	1	0
8	9	1	0
5	1	1	0
8	9	1	0
5	1	1	0
8	9	1	0
5	1	1	0
2	1	1	0
5	1	1	0
2	1	1	0
5	1	1	0
8	9	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
5	1	1	0
82	91	1	0
