Ver1.3	223212283	StartFile	7/1/2020	1:19:15 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\070120\SoundData.txt	223212283
223397621	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223397621
223397822	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	223397822
223421619	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223421619
223425895	Triggered	6,47,48,49,50,51,	 NoSound	40	2	223425895
223426095	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	223426095
223443407	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223443407
223449624	Triggered	6,47,48,49,50,51,	 NoSound	40	2	223449624
223449825	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	223449825
223460453	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223460453
223464596	Triggered	6,47,48,49,50,51,	 NoSound	40	2	223464596
223464797	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	223464797
223477430	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223477430
223481320	Triggered	6,47,48,49,50,51,	 NoSound	40	2	223481320
223481521	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	223481521
223489329	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223489329
223489531	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	223489531
223492870	Triggered	4,42,43,44,45,46,	 NoSound	40	2	223492870
223493071	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	223493071
223500356	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223500357
223500558	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	223500558
223519687	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223519687
223523216	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223523216
223523418	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223523418
223533249	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223533249
223536317	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223536317
223536519	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223536519
223546076	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223546076
223549417	Triggered	8,52,53,54,55,56,	 NoSound	40	2	223549417
223557104	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223557104
223561649	Triggered	8,52,53,54,55,56,	 NoSound	40	2	223561649
223566262	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223566262
223566465	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	223566465
223569274	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223569274
223569476	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223569476
223579296	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223579296
223579498	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	223579498
223582170	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223582170
223582372	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223582372
223591329	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223591329
223591531	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	223591531
223594000	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223594000
223594201	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223594201
223608972	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223608972
223609175	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	223609175
223612849	Triggered	8,52,53,54,55,56,	 NoSound	40	2	223612849
223617863	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223617863
223618065	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	223618065
223621137	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223621137
223621340	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223621340
223630027	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223630027
223630229	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	223630229
223633107	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223633107
223633308	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	223633308
223644398	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223644398
223644599	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	223644599
223656971	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223656971
223659906	Triggered	4,42,43,44,45,46,	 NoSound	40	2	223659906
223660123	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	223660123
223669130	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223669130
223672539	Triggered	4,42,43,44,45,46,	 NoSound	40	2	223672539
223672740	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	223672740
223683901	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223683901
223686776	Triggered	6,47,48,49,50,51,	 NoSound	40	2	223686776
223686976	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	223686976
223693067	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223693067
223696200	Triggered	4,42,43,44,45,46,	 NoSound	40	2	223696200
223696402	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	223696402
223708566	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223708566
223708779	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	223708779
223712242	Triggered	4,42,43,44,45,46,	 NoSound	40	2	223712242
223712445	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	223712445
223722135	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	223722135
223722335	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	223722335
223735904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223735904
223738710	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223738710
223738912	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	223738912
223748270	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223748270
223751211	Triggered	8,52,53,54,55,56,	 NoSound	40	2	223751211
223751413	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	223751413
223763850	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223763850
223766784	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223766784
223766986	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	223766986
223774805	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223774805
223777947	Triggered	8,52,53,54,55,56,	 NoSound	40	2	223777947
223778150	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	223778150
223786576	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223786576
223786781	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	223786781
223789244	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223789244
223789458	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	223789458
223795934	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223795934
223796137	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	223796137
223798869	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223798869
223799070	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	223799070
223806019	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223806019
223806223	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	223806223
223809029	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223809029
223809230	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	223809230
223815912	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223815912
223816114	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	223816114
223818920	Triggered	2,37,38,39,40,41,	 NoSound	40	2	223818920
223819122	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	223819122
223825805	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	223825805
223826008	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	223826008
223830016	Triggered	8,52,53,54,55,56,	 NoSound	40	2	223830016
223830218	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	223830218
