Ver1.2	396286945	StartFile	2/19/2020	4:45:39 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\021920\SoundData.txt	396286945
396683431	Triggered	1	 Modulated Tone	25	2	396683431
396687699	Triggered	6	 NoSound	50	2	396687699
396696655	Triggered	1	 Modulated Tone	25	2	396696655
396700404	Triggered	4	 NoSound	50	2	396700404
396711228	Triggered	1	 Modulated Tone	25	2	396711228
396714638	Triggered	6	 NoSound	50	2	396714638
396719048	Triggered	1	 Modulated Tone	25	2	396719048
396724735	Triggered	6	 NoSound	50	2	396724735
396732956	Triggered	1	 Modulated Tone	25	2	396732956
396736698	Triggered	4	 NoSound	50	2	396736698
396746054	Triggered	1	 Modulated Tone	25	2	396746054
396749662	Triggered	4	 NoSound	50	2	396749662
396757549	Triggered	1	 Modulated Tone	25	2	396757549
396762828	Triggered	4	 NoSound	50	2	396762828
396771052	Triggered	1	 Modulated Tone	25	2	396771052
396774727	Triggered	4	 NoSound	50	2	396774727
396781945	Triggered	1	 Modulated Tone	25	2	396781945
396785556	Triggered	4	 NoSound	50	2	396785556
396792778	Triggered	1	 Modulated Tone	25	2	396792778
396796317	Triggered	4	 NoSound	50	2	396796317
396803668	Triggered	1	 Modulated Tone	25	2	396803668
396807078	Triggered	4	 NoSound	50	2	396807078
396814029	Triggered	1	 Modulated Tone	25	2	396814029
396817840	Triggered	4	 NoSound	50	2	396817840
396825665	Triggered	1	 Modulated Tone	25	2	396825665
396829603	Triggered	5	 Modulated Tone	25	2	396829603
396833819	Triggered	2	 NoSound	50	2	396833819
396844910	Triggered	5	 Modulated Tone	25	2	396844910
396848052	Triggered	2	 NoSound	50	2	396848052
396854468	Triggered	5	 Modulated Tone	25	2	396854468
396858144	Triggered	8	 NoSound	50	2	396858144
396867835	Triggered	5	 Modulated Tone	25	2	396867835
396870713	Triggered	8	 NoSound	50	2	396870713
396881939	Triggered	5	 Modulated Tone	25	2	396881939
396885951	Triggered	2	 NoSound	50	2	396885951
396898115	Triggered	5	 Modulated Tone	25	2	396898115
396901996	Triggered	8	 NoSound	50	2	396901996
396912487	Triggered	6	 NoSound	50	2	396912487
396926322	Triggered	1	 Modulated Tone	25	2	396926322
396937018	Triggered	4	 NoSound	50	2	396937018
396945572	Triggered	1	 Modulated Tone	25	2	396945572
396949449	Triggered	5	 Modulated Tone	25	2	396949449
396953260	Triggered	8	 NoSound	50	2	396953260
396967567	Triggered	5	 Modulated Tone	25	2	396967567
396971707	Triggered	2	 NoSound	50	2	396971707
396977721	Triggered	5	 Modulated Tone	25	2	396977721
396981933	Triggered	8	 NoSound	50	2	396981933
396990495	Triggered	5	 Modulated Tone	25	2	396990495
396993497	Triggered	8	 NoSound	50	2	396993497
397005061	Triggered	1	 Modulated Tone	25	2	397005061
397011544	Triggered	5	 Modulated Tone	25	2	397011544
