Ver1.2	2600020219	StartFile	4/12/2020	8:47:55 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\041220C\SoundData.txt	2600020219
2600507526	Triggered	6	 NoSound	50	2	2600507526
2600513413	Triggered	1	 PureTone-5kHz	50	2	2600513413
2600516349	Triggered	6	 NoSound	50	2	2600516349
2600522569	Triggered	1	 PureTone-5kHz	50	2	2600522569
2600525707	Triggered	4	 NoSound	50	2	2600525707
2600531523	Triggered	1	 PureTone-5kHz	50	2	2600531523
2600535470	Triggered	5	 PureTone-5kHz	50	2	2600535470
2600538746	Triggered	2	 NoSound	50	2	2600538746
2600550374	Triggered	5	 PureTone-5kHz	50	2	2600550374
2600553383	Triggered	2	 NoSound	50	2	2600553383
2600567549	Triggered	5	 PureTone-5kHz	50	2	2600567549
2600570759	Triggered	2	 NoSound	50	2	2600570759
2600584130	Triggered	5	 PureTone-5kHz	50	2	2600584130
2600588006	Triggered	8	 NoSound	50	2	2600588007
2600594352	Triggered	5	 PureTone-5kHz	50	2	2600594352
2600598638	Triggered	1	 PureTone-5kHz	50	2	2600598638
2600601571	Triggered	4	 NoSound	50	2	2600601571
2600613679	Triggered	1	 PureTone-5kHz	50	2	2600613679
2600616615	Triggered	4	 NoSound	50	2	2600616615
2600625168	Triggered	1	 PureTone-5kHz	50	2	2600625168
2600627975	Triggered	4	 NoSound	50	2	2600627975
2600637133	Triggered	1	 PureTone-5kHz	50	2	2600637133
2600640141	Triggered	4	 NoSound	50	2	2600640141
2600648093	Triggered	1	 PureTone-5kHz	50	2	2600648093
2600651244	Triggered	5	 PureTone-5kHz	50	2	2600651244
2600654578	Triggered	2	 NoSound	50	2	2600654578
2600662397	Triggered	5	 PureTone-5kHz	50	2	2600662397
2600665806	Triggered	2	 NoSound	50	2	2600665806
2600672763	Triggered	5	 PureTone-5kHz	50	2	2600672763
2600676165	Triggered	2	 NoSound	50	2	2600676165
2600683518	Triggered	5	 PureTone-5kHz	50	2	2600683518
2600686861	Triggered	8	 NoSound	50	2	2600686861
2600691940	Triggered	6	 NoSound	50	2	2600691940
2600697689	Triggered	5	 PureTone-5kHz	50	2	2600697689
2600701966	Triggered	1	 PureTone-5kHz	50	2	2600701966
2600704974	Triggered	6	 NoSound	50	2	2600704974
2600711459	Triggered	1	 PureTone-5kHz	50	2	2600711459
2600714739	Triggered	6	 NoSound	50	2	2600714740
2600720616	Triggered	1	 PureTone-5kHz	50	2	2600720616
2600723971	Triggered	6	 NoSound	50	2	2600723971
2600729577	Triggered	1	 PureTone-5kHz	50	2	2600729577
2600732646	Triggered	4	 NoSound	50	2	2600732646
2600740669	Triggered	1	 PureTone-5kHz	50	2	2600740669
2600744209	Triggered	5	 PureTone-5kHz	50	2	2600744209
2600747289	Triggered	2	 NoSound	50	2	2600747289
2600755777	Triggered	5	 PureTone-5kHz	50	2	2600755777
2600758981	Triggered	2	 NoSound	50	2	2600758981
2600765535	Triggered	5	 PureTone-5kHz	50	2	2600765535
2600768540	Triggered	2	 NoSound	50	2	2600768540
2600774489	Triggered	5	 PureTone-5kHz	50	2	2600774489
2600777696	Triggered	8	 NoSound	50	2	2600777696
2600787336	Triggered	5	 PureTone-5kHz	50	2	2600787336
2600791334	Triggered	1	 PureTone-5kHz	50	2	2600791334
2600794282	Triggered	6	 NoSound	50	2	2600794282
2600800495	Triggered	1	 PureTone-5kHz	50	2	2600800495
2600803701	Triggered	6	 NoSound	50	2	2600803701
2600810985	Triggered	1	 PureTone-5kHz	50	2	2600810985
2600814131	Triggered	6	 NoSound	50	2	2600814131
2600819545	Triggered	1	 PureTone-5kHz	50	2	2600819545
2600822548	Triggered	4	 NoSound	50	2	2600822548
2600832978	Triggered	1	 PureTone-5kHz	50	2	2600832978
2600836317	Triggered	5	 PureTone-5kHz	50	2	2600836317
2600839728	Triggered	8	 NoSound	50	2	2600839728
2600848146	Triggered	5	 PureTone-5kHz	50	2	2600848146
2600851557	Triggered	8	 NoSound	50	2	2600851557
2600860580	Triggered	5	 PureTone-5kHz	50	2	2600860580
2600864056	Triggered	8	 NoSound	50	2	2600864056
2600873011	Triggered	5	 PureTone-5kHz	50	2	2600873011
2600876627	Triggered	8	 NoSound	50	2	2600876627
2600885911	Triggered	5	 PureTone-5kHz	50	2	2600885911
2600889990	Triggered	1	 PureTone-5kHz	50	2	2600889990
2600893331	Triggered	6	 NoSound	50	2	2600893331
2600898210	Triggered	1	 PureTone-5kHz	50	2	2600898210
2600903090	Triggered	6	 NoSound	50	2	2600903090
2600909774	Triggered	1	 PureTone-5kHz	50	2	2600909774
2600913521	Triggered	6	 NoSound	50	2	2600913521
2600919201	Triggered	1	 PureTone-5kHz	50	2	2600919201
2600922345	Triggered	4	 NoSound	50	2	2600922345
2600933510	Triggered	1	 PureTone-5kHz	50	2	2600933510
2600936853	Triggered	5	 PureTone-5kHz	50	2	2600936853
2600940196	Triggered	2	 NoSound	50	2	2600940196
2600945544	Triggered	5	 PureTone-5kHz	50	2	2600945544
2600949745	Triggered	2	 NoSound	50	2	2600949745
2600955494	Triggered	5	 PureTone-5kHz	50	2	2600955494
2600959973	Triggered	2	 NoSound	50	2	2600959973
2600966056	Triggered	5	 PureTone-5kHz	50	2	2600966056
2600969065	Triggered	8	 NoSound	50	2	2600969065
2600975010	Triggered	5	 PureTone-5kHz	50	2	2600975010
2600978822	Triggered	1	 PureTone-5kHz	50	2	2600978822
2600981762	Triggered	6	 NoSound	50	2	2600981762
2600987578	Triggered	1	 PureTone-5kHz	50	2	2600987578
2601009038	Triggered	6	 NoSound	50	2	2601009038
2601015452	Triggered	1	 PureTone-5kHz	50	2	2601015452
2601021332	Triggered	4	 NoSound	50	2	2601021332
2601027021	Triggered	6	 NoSound	50	2	2601027021
2601032163	Triggered	1	 PureTone-5kHz	50	2	2601032163
2601035439	Triggered	4	 NoSound	50	2	2601035439
2601042862	Triggered	1	 PureTone-5kHz	50	2	2601042862
2601046209	Triggered	5	 PureTone-5kHz	50	2	2601046209
2601049277	Triggered	2	 NoSound	50	2	2601049277
2601054088	Triggered	5	 PureTone-5kHz	50	2	2601054088
2601059765	Triggered	2	 NoSound	50	2	2601059765
2601065379	Triggered	5	 PureTone-5kHz	50	2	2601065379
2601071331	Triggered	2	 NoSound	50	2	2601071331
2601080886	Triggered	5	 PureTone-5kHz	50	2	2601080886
2601084302	Triggered	8	 NoSound	50	2	2601084302
2601095263	Triggered	5	 PureTone-5kHz	50	2	2601095263
2601099336	Triggered	1	 PureTone-5kHz	50	2	2601099336
2601102479	Triggered	6	 NoSound	50	2	2601102479
2601110365	Triggered	1	 PureTone-5kHz	50	2	2601110365
2601114107	Triggered	6	 NoSound	50	2	2601114107
2601121592	Triggered	1	 PureTone-5kHz	50	2	2601121592
2601124867	Triggered	6	 NoSound	50	2	2601124867
2601134436	Triggered	1	 PureTone-5kHz	50	2	2601134436
2601137635	Triggered	4	 NoSound	50	2	2601137635
2601147861	Triggered	1	 PureTone-5kHz	50	2	2601147861
2601151809	Triggered	5	 PureTone-5kHz	50	2	2601151809
2601155082	Triggered	2	 NoSound	50	2	2601155082
2601160495	Triggered	5	 PureTone-5kHz	50	2	2601160495
2601168046	Triggered	8	 NoSound	50	2	2601168046
2601175136	Triggered	2	 NoSound	50	2	2601175136
2601179610	Triggered	3	 NoSound	50	2	2601179610
2601180882	Triggered	4	 NoSound	50	2	2601180882
2601186296	Triggered	5	 PureTone-5kHz	50	2	2601186296
2601189971	Triggered	2	 NoSound	50	2	2601189971
2601196390	Triggered	5	 PureTone-5kHz	50	2	2601196390
2601199998	Triggered	8	 NoSound	50	2	2601199998
2601211498	Triggered	5	 PureTone-5kHz	50	2	2601211498
2601215638	Triggered	1	 PureTone-5kHz	50	2	2601215638
2601218913	Triggered	6	 NoSound	50	2	2601218913
2601225597	Triggered	1	 PureTone-5kHz	50	2	2601225597
2601229273	Triggered	6	 NoSound	50	2	2601229273
2601235356	Triggered	1	 PureTone-5kHz	50	2	2601235356
2601239032	Triggered	6	 NoSound	50	2	2601239032
2601245448	Triggered	1	 PureTone-5kHz	50	2	2601245448
2601248726	Triggered	4	 NoSound	50	2	2601248726
2601258818	Triggered	1	 PureTone-5kHz	50	2	2601258818
2601262564	Triggered	5	 PureTone-5kHz	50	2	2601262564
2601265970	Triggered	8	 NoSound	50	2	2601265970
2601276730	Triggered	5	 PureTone-5kHz	50	2	2601276730
2601280277	Triggered	8	 NoSound	50	2	2601280277
2601293105	Triggered	5	 PureTone-5kHz	50	2	2601293105
2601296316	Triggered	8	 NoSound	50	2	2601296316
2601310085	Triggered	5	 PureTone-5kHz	50	2	2601310085
2601313429	Triggered	8	 NoSound	50	2	2601313429
2601326059	Triggered	5	 PureTone-5kHz	50	2	2601326059
2601330671	Triggered	1	 PureTone-5kHz	50	2	2601330671
2601334089	Triggered	6	 NoSound	50	2	2601334089
2601340898	Triggered	1	 PureTone-5kHz	50	2	2601340898
2601344440	Triggered	6	 NoSound	50	2	2601344440
2601350791	Triggered	1	 PureTone-5kHz	50	2	2601350791
2601354200	Triggered	6	 NoSound	50	2	2601354200
2601360619	Triggered	1	 PureTone-5kHz	50	2	2601360619
2601366966	Triggered	4	 NoSound	50	2	2601366966
2601373519	Triggered	1	 PureTone-5kHz	50	2	2601373519
2601378066	Triggered	5	 PureTone-5kHz	50	2	2601378066
2601381270	Triggered	2	 NoSound	50	2	2601381270
2601389024	Triggered	5	 PureTone-5kHz	50	2	2601389024
2601392903	Triggered	2	 NoSound	50	2	2601392903
2601401188	Triggered	5	 PureTone-5kHz	50	2	2601401188
2601404999	Triggered	2	 NoSound	50	2	2601404999
2601413637	Triggered	5	 PureTone-5kHz	50	2	2601413637
2601416764	Triggered	8	 NoSound	50	2	2601416764
2601427055	Triggered	5	 PureTone-5kHz	50	2	2601427055
2601431199	Triggered	1	 PureTone-5kHz	50	2	2601431199
2601434610	Triggered	6	 NoSound	50	2	2601434610
2601441228	Triggered	1	 PureTone-5kHz	50	2	2601441228
2601444902	Triggered	6	 NoSound	50	2	2601444902
2601451452	Triggered	1	 PureTone-5kHz	50	2	2601451452
2601455062	Triggered	6	 NoSound	50	2	2601455062
2601461486	Triggered	5	 PureTone-5kHz	50	2	2601461486
2601465223	Triggered	1	 PureTone-5kHz	50	2	2601465223
2601468498	Triggered	4	 NoSound	50	2	2601468498
2601479192	Triggered	1	 PureTone-5kHz	50	2	2601479192
2601483406	Triggered	5	 PureTone-5kHz	50	2	2601483406
2601486612	Triggered	2	 NoSound	50	2	2601486612
2601494230	Triggered	5	 PureTone-5kHz	50	2	2601494230
2601497508	Triggered	2	 NoSound	50	2	2601497508
2601504193	Triggered	5	 PureTone-5kHz	50	2	2601504193
2601507799	Triggered	2	 NoSound	50	2	2601507799
2601515289	Triggered	5	 PureTone-5kHz	50	2	2601515289
2601518560	Triggered	8	 NoSound	50	2	2601518560
2601532131	Triggered	5	 PureTone-5kHz	50	2	2601532131
2601536943	Triggered	1	 PureTone-5kHz	50	2	2601536943
2601540621	Triggered	6	 NoSound	50	2	2601540621
2601550912	Triggered	1	 PureTone-5kHz	50	2	2601550912
2601554460	Triggered	6	 NoSound	50	2	2601554460
2601566020	Triggered	1	 PureTone-5kHz	50	2	2601566020
2601569767	Triggered	6	 NoSound	50	2	2601569767
2601581131	Triggered	1	 PureTone-5kHz	50	2	2601581131
2601585083	Triggered	4	 NoSound	50	2	2601585083
2601597701	Triggered	1	 PureTone-5kHz	50	2	2601597701
2601602781	Triggered	5	 PureTone-5kHz	50	2	2601602781
2601606189	Triggered	8	 NoSound	50	2	2601606189
2601618024	Triggered	5	 PureTone-5kHz	50	2	2601618024
2601621103	Triggered	8	 NoSound	50	2	2601621103
2601632189	Triggered	5	 PureTone-5kHz	50	2	2601632189
2601635263	Triggered	8	 NoSound	50	2	2601635263
2601646029	Triggered	5	 PureTone-5kHz	50	2	2601646029
2601649234	Triggered	8	 NoSound	50	2	2601649234
2601659729	Triggered	5	 PureTone-5kHz	50	2	2601659729
2601666278	Triggered	2	 NoSound	50	2	2601666278
2601670497	Triggered	1	 PureTone-5kHz	50	2	2601670497
2601673832	Triggered	6	 NoSound	50	2	2601673832
2601683324	Triggered	1	 PureTone-5kHz	50	2	2601683324
2601687140	Triggered	6	 NoSound	50	2	2601687140
2601697160	Triggered	1	 PureTone-5kHz	50	2	2601697160
2601700776	Triggered	6	 NoSound	50	2	2601700776
2601711263	Triggered	1	 PureTone-5kHz	50	2	2601711263
2601716148	Triggered	4	 NoSound	50	2	2601716148
2601723961	Triggered	1	 PureTone-5kHz	50	2	2601723961
2601728977	Triggered	5	 PureTone-5kHz	50	2	2601728977
2601732451	Triggered	8	 NoSound	50	2	2601732451
2601746430	Triggered	5	 PureTone-5kHz	50	2	2601746430
2601750035	Triggered	8	 NoSound	50	2	2601750035
2601764338	Triggered	5	 PureTone-5kHz	50	2	2601764338
2601767812	Triggered	8	 NoSound	50	2	2601767812
2601780780	Triggered	5	 PureTone-5kHz	50	2	2601780780
2601784186	Triggered	8	 NoSound	50	2	2601784186
2601796351	Triggered	5	 PureTone-5kHz	50	2	2601796351
2601801233	Triggered	1	 PureTone-5kHz	50	2	2601801233
2601805046	Triggered	6	 NoSound	50	2	2601805046
2601811523	Triggered	1	 PureTone-5kHz	50	2	2601811523
2601818675	Triggered	4	 NoSound	50	2	2601818675
2601826167	Triggered	6	 NoSound	50	2	2601826167
2601832312	Triggered	1	 PureTone-5kHz	50	2	2601832312
2601836528	Triggered	6	 NoSound	50	2	2601836528
2601841608	Triggered	1	 PureTone-5kHz	50	2	2601841608
2601845482	Triggered	4	 NoSound	50	2	2601845482
2601871947	Triggered	1	 PureTone-5kHz	50	2	2601871947
2601876034	Triggered	5	 PureTone-5kHz	50	2	2601876034
