Ver1.2	1017789331	StartFile	4/28/2020	11:35:48 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\042820\SoundData.txt	1017789331
1018120834	Triggered	1	 Modulated Tone	25	2	1018120834
1018125286	Triggered	6	 NoSound	50	2	1018125286
1018138215	Triggered	7	 NoSound	50	2	1018138215
1018140741	Triggered	8	 NoSound	50	2	1018140741
1018146459	Triggered	1	 Modulated Tone	25	2	1018146459
1018150008	Triggered	6	 NoSound	50	2	1018150008
1018160600	Triggered	1	 Modulated Tone	25	2	1018160600
1018163435	Triggered	6	 NoSound	50	2	1018163435
1018173531	Triggered	1	 Modulated Tone	25	2	1018173531
1018176726	Triggered	6	 NoSound	50	2	1018176726
1018187495	Triggered	1	 Modulated Tone	25	2	1018187495
1018190380	Triggered	6	 NoSound	50	2	1018190380
1018201146	Triggered	1	 Modulated Tone	25	2	1018201146
1018204463	Triggered	6	 NoSound	50	2	1018204463
1018213906	Triggered	1	 Modulated Tone	25	2	1018213906
1018217277	Triggered	4	 NoSound	50	2	1018217277
1018225755	Triggered	1	 Modulated Tone	25	2	1018225755
1018229966	Triggered	6	 NoSound	50	2	1018229966
1018239844	Triggered	1	 Modulated Tone	25	2	1018239844
1018242728	Triggered	6	 NoSound	50	2	1018242728
1018252415	Triggered	1	 Modulated Tone	25	2	1018252415
1018255722	Triggered	5	 Modulated Tone	25	2	1018255722
1018259030	Triggered	8	 NoSound	50	2	1018259030
1018271783	Triggered	5	 Modulated Tone	25	2	1018271783
1018274248	Triggered	8	 NoSound	50	2	1018274248
1018286592	Triggered	5	 Modulated Tone	25	2	1018286592
1018288870	Triggered	8	 NoSound	50	2	1018288870
1018302104	Triggered	5	 Modulated Tone	25	2	1018302104
1018304633	Triggered	8	 NoSound	50	2	1018304633
1018317635	Triggered	5	 Modulated Tone	25	2	1018317635
1018319976	Triggered	8	 NoSound	50	2	1018319976
1018332735	Triggered	5	 Modulated Tone	25	2	1018332735
1018335076	Triggered	8	 NoSound	50	2	1018335076
1018348013	Triggered	5	 Modulated Tone	25	2	1018348013
1018372685	Triggered	8	 NoSound	50	2	1018372685
1018386404	Triggered	5	 Modulated Tone	25	2	1018386404
1018389227	Triggered	8	 NoSound	50	2	1018389227
1018401320	Triggered	5	 Modulated Tone	25	2	1018401320
1018403426	Triggered	8	 NoSound	50	2	1018403426
1018414795	Triggered	5	 Modulated Tone	25	2	1018414795
1018417506	Triggered	8	 NoSound	50	2	1018417506
1018422804	Triggered	1	 Modulated Tone	25	2	1018422804
1018425512	Triggered	6	 NoSound	50	2	1018425512
1018431766	Triggered	1	 Modulated Tone	25	2	1018431766
1018434652	Triggered	6	 NoSound	50	2	1018434652
1018440125	Triggered	1	 Modulated Tone	25	2	1018440125
1018443019	Triggered	6	 NoSound	50	2	1018443019
1018449399	Triggered	1	 Modulated Tone	25	2	1018449399
1018452402	Triggered	4	 NoSound	50	2	1018452402
1018458780	Triggered	1	 Modulated Tone	25	2	1018458780
1018461967	Triggered	4	 NoSound	50	2	1018461967
1018467444	Triggered	1	 Modulated Tone	25	2	1018467444
1018471477	Triggered	6	 NoSound	50	2	1018471477
1018477308	Triggered	1	 Modulated Tone	25	2	1018477308
1018480258	Triggered	4	 NoSound	50	2	1018480258
1018485492	Triggered	1	 Modulated Tone	25	2	1018485492
