1	1	0
9	0	0	0	0
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	15
L1	90	1	0	10
64	90	1	0	15
K1	90	1	0	10
64	90	1	0	15
J1	90	1	0	10
64	90	1	0	15
I1	90	1	0	10
64	90	1	0	15
H1	90	1	0	10
64	90	1	0	15
G1	90	1	0	10
64	90	1	0	15
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	13
P5	90	1	0	10
82	90	1	0	13
O5	90	1	0	00
M1	90	1	0	10
46	90	1	0	32
L1	90	1	0	10
46	90	1	0	32
K1	90	1	0	10
46	90	1	0	32
J1	90	1	0	10
46	90	1	0	32
I1	90	1	0	10
46	90	1	0	32
H1	90	1	0	10
46	90	1	0	32
G1	90	1	0	10
46	90	1	0	32
E1	90	1	0	00
Q5	90	1	0	10
28	90	1	0	50
P5	90	1	0	10
28	90	1	0	50
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	52
L1	90	1	0	10
64	90	1	0	52
K1	90	1	0	10
64	90	1	0	52
J1	90	1	0	10
64	90	1	0	52
I1	90	1	0	10
64	90	1	0	52
H1	90	1	0	10
64	90	1	0	52
G1	90	1	0	10
64	90	1	0	52
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	20
P5	90	1	0	10
82	90	1	0	20
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	30
L1	90	1	0	10
64	90	1	0	30
K1	90	1	0	10
64	90	1	0	30
J1	90	1	0	10
64	90	1	0	30
I1	90	1	0	10
64	90	1	0	30
H1	90	1	0	10
64	90	1	0	30
G1	90	1	0	10
64	90	1	0	30
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	20
P5	90	1	0	10
82	90	1	0	20
O5	90	1	0	00
M1	90	1	0	10
46	90	1	0	53
L1	90	1	0	10
46	90	1	0	53
K1	90	1	0	10
46	90	1	0	53
J1	90	1	0	10
46	90	1	0	53
I1	90	1	0	10
46	90	1	0	53
H1	90	1	0	10
46	90	1	0	53
G1	90	1	0	10
46	90	1	0	53
E1	90	1	0	00
Q5	90	1	0	10
28	90	1	0	21
P5	90	1	0	10
28	90	1	0	21
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	30
L1	90	1	0	10
64	90	1	0	30
K1	90	1	0	10
64	90	1	0	30
J1	90	1	0	10
64	90	1	0	30
I1	90	1	0	10
64	90	1	0	30
H1	90	1	0	10
64	90	1	0	30
G1	90	1	0	10
64	90	1	0	30
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	30
P5	90	1	0	10
82	90	1	0	30
O5	90	1	0	00
M1	90	1	0	10
46	90	1	0	53
L1	90	1	0	10
46	90	1	0	53
K1	90	1	0	10
46	90	1	0	53
J1	90	1	0	10
46	90	1	0	53
I1	90	1	0	10
46	90	1	0	53
H1	90	1	0	10
46	90	1	0	53
G1	90	1	0	10
46	90	1	0	53
E1	90	1	0	00
Q5	90	1	0	10
28	90	1	0	15
P5	90	1	0	10
28	90	1	0	15
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	35
L1	90	1	0	10
64	90	1	0	35
K1	90	1	0	10
64	90	1	0	35
J1	90	1	0	10
64	90	1	0	35
I1	90	1	0	10
64	90	1	0	35
H1	90	1	0	10
64	90	1	0	35
G1	90	1	0	10
64	90	1	0	35
E1	90	1	0	00
Q5	90	1	0	10
28	90	1	0	20
P5	90	1	0	10
28	90	1	0	20
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	51
L1	90	1	0	10
64	90	1	0	51
K1	90	1	0	10
64	90	1	0	51
J1	90	1	0	10
64	90	1	0	51
I1	90	1	0	10
64	90	1	0	51
H1	90	1	0	10
64	90	1	0	51
G1	90	1	0	10
64	90	1	0	51
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	13
P5	90	1	0	10
82	90	1	0	13
O5	90	1	0	00
M1	90	1	0	10
46	90	1	0	23
L1	90	1	0	10
46	90	1	0	23
K1	90	1	0	10
46	90	1	0	23
J1	90	1	0	10
46	90	1	0	23
I1	90	1	0	10
46	90	1	0	23
H1	90	1	0	10
46	90	1	0	23
G1	90	1	0	10
46	90	1	0	23
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	32
P5	90	1	0	10
82	90	1	0	32
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	21
L1	90	1	0	10
64	90	1	0	21
K1	90	1	0	10
64	90	1	0	21
J1	90	1	0	10
64	90	1	0	21
I1	90	1	0	10
64	90	1	0	21
H1	90	1	0	10
64	90	1	0	21
G1	90	1	0	10
64	90	1	0	21
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	30
P5	90	1	0	10
82	90	1	0	30
O5	90	1	0	00
M1	90	1	0	10
46	90	1	0	20
L1	90	1	0	10
46	90	1	0	20
K1	90	1	0	10
46	90	1	0	20
J1	90	1	0	10
46	90	1	0	20
I1	90	1	0	10
46	90	1	0	20
H1	90	1	0	10
46	90	1	0	20
G1	90	1	0	10
46	90	1	0	20
E1	90	1	0	00
Q5	90	1	0	10
82	90	1	0	10
P5	90	1	0	10
82	90	1	0	10
O5	90	1	0	00
M1	90	1	0	10
64	90	1	0	20
L1	90	1	0	10
64	90	1	0	20
K1	90	1	0	10
64	90	1	0	20
J1	90	1	0	10
64	90	1	0	20
I1	90	1	0	10
64	90	1	0	20
H1	90	1	0	10
64	90	1	0	20
G1	90	1	0	10
64	90	1	0	20
E1	90	1	0	00
Q5	90	1	0	10
28	90	1	0	52
P5	90	1	0	10
28	90	1	0	52
O5	90	1	0	00
M1	90	1	0	10
46	90	1	0	10
L1	90	1	0	10
46	90	1	0	10
K1	90	1	0	10
46	90	1	0	10
J1	90	1	0	10
46	90	1	0	10
I1	90	1	0	10
46	90	1	0	10
H1	90	1	0	10
46	90	1	0	10
G1	90	1	0	10
46	90	1	0	10
