Ver1.2	237673835	StartFile	2/17/2020	8:42:06 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\021720\SoundData.txt	237673835
237921232	Triggered	1	 Modulated Tone	25	2	237921232
237925509	Triggered	5	 Modulated Tone	25	2	237925509
237929387	Triggered	8	 NoSound	50	2	237929387
237938745	Triggered	5	 Modulated Tone	25	2	237938745
237942694	Triggered	8	 NoSound	50	2	237942694
237949586	Triggered	5	 Modulated Tone	25	2	237949586
237953522	Triggered	2	 NoSound	50	2	237953522
237963278	Triggered	5	 Modulated Tone	25	2	237963278
237967018	Triggered	2	 NoSound	50	2	237967018
237977379	Triggered	5	 Modulated Tone	25	2	237977379
237981122	Triggered	2	 NoSound	50	2	237981122
237990881	Triggered	5	 Modulated Tone	25	2	237990881
237995159	Triggered	8	 NoSound	50	2	237995159
237999972	Triggered	5	 Modulated Tone	25	2	237999972
238006589	Triggered	8	 NoSound	50	2	238006589
238011132	Triggered	5	 Modulated Tone	25	2	238011132
238015277	Triggered	2	 NoSound	50	2	238015277
238026440	Triggered	5	 Modulated Tone	25	2	238026440
238030517	Triggered	2	 NoSound	50	2	238030517
238038871	Triggered	5	 Modulated Tone	25	2	238038871
238043082	Triggered	2	 NoSound	50	2	238043082
238050636	Triggered	5	 Modulated Tone	25	2	238050636
238055381	Triggered	2	 NoSound	50	2	238055381
238064740	Triggered	5	 Modulated Tone	25	2	238064740
238068615	Triggered	2	 NoSound	50	2	238068615
238077440	Triggered	5	 Modulated Tone	25	2	238077440
238081852	Triggered	1	 Modulated Tone	25	2	238081852
238085265	Triggered	6	 NoSound	50	2	238085265
238094751	Triggered	1	 Modulated Tone	25	2	238094751
238098229	Triggered	6	 NoSound	50	2	238098229
238105245	Triggered	1	 Modulated Tone	25	2	238105245
238108788	Triggered	4	 NoSound	50	2	238108788
238117276	Triggered	1	 Modulated Tone	25	2	238117276
238121155	Triggered	6	 NoSound	50	2	238121155
238131045	Triggered	1	 Modulated Tone	25	2	238131045
238134989	Triggered	4	 NoSound	50	2	238134989
238139536	Triggered	1	 Modulated Tone	25	2	238139536
238146084	Triggered	4	 NoSound	50	2	238146084
238150703	Triggered	1	 Modulated Tone	25	2	238150703
238154377	Triggered	6	 NoSound	50	2	238154377
238163062	Triggered	1	 Modulated Tone	25	2	238163062
238166672	Triggered	6	 NoSound	50	2	238166672
238174225	Triggered	1	 Modulated Tone	25	2	238174225
238177902	Triggered	6	 NoSound	50	2	238177902
238186055	Triggered	1	 Modulated Tone	25	2	238186055
238190335	Triggered	6	 NoSound	50	2	238190335
238198888	Triggered	1	 Modulated Tone	25	2	238198888
238202699	Triggered	6	 NoSound	50	2	238202699
238209851	Triggered	1	 Modulated Tone	25	2	238209851
238214532	Triggered	6	 NoSound	50	2	238214532
238222216	Triggered	1	 Modulated Tone	25	2	238222216
238226227	Triggered	5	 Modulated Tone	25	2	238226227
238229636	Triggered	8	 NoSound	50	2	238229636
238238860	Triggered	5	 Modulated Tone	25	2	238238860
238243003	Triggered	8	 NoSound	50	2	238243003
238250891	Triggered	5	 Modulated Tone	25	2	238250891
238254234	Triggered	2	 NoSound	50	2	238254234
238259649	Triggered	5	 Modulated Tone	25	2	238259649
238263124	Triggered	2	 NoSound	50	2	238263124
238265997	Triggered	3	 NoSound	50	2	238265997
238269942	Triggered	5	 Modulated Tone	25	2	238269942
238275891	Triggered	8	 NoSound	50	2	238275891
238284178	Triggered	5	 Modulated Tone	25	2	238284178
238287922	Triggered	2	 NoSound	50	2	238287922
238293869	Triggered	5	 Modulated Tone	25	2	238293869
238299291	Triggered	2	 NoSound	50	2	238299291
238304699	Triggered	5	 Modulated Tone	25	2	238304699
238311649	Triggered	8	 NoSound	50	2	238311649
238320874	Triggered	5	 Modulated Tone	25	2	238320874
238327224	Triggered	8	 NoSound	50	2	238327224
238334909	Triggered	5	 Modulated Tone	25	2	238334909
238339187	Triggered	8	 NoSound	50	2	238339187
238346874	Triggered	5	 Modulated Tone	25	2	238346874
238350818	Triggered	8	 NoSound	50	2	238350818
238358572	Triggered	5	 Modulated Tone	25	2	238358572
238361986	Triggered	8	 NoSound	50	2	238361986
238369736	Triggered	5	 Modulated Tone	25	2	238369736
238374079	Triggered	1	 Modulated Tone	25	2	238374079
238377160	Triggered	6	 NoSound	50	2	238377160
238383904	Triggered	1	 Modulated Tone	25	2	238383904
238387321	Triggered	6	 NoSound	50	2	238387321
238392995	Triggered	1	 Modulated Tone	25	2	238392995
238395936	Triggered	4	 NoSound	50	2	238395936
238404625	Triggered	1	 Modulated Tone	25	2	238404625
238409572	Triggered	4	 NoSound	50	2	238409572
238418528	Triggered	1	 Modulated Tone	25	2	238418528
238421872	Triggered	6	 NoSound	50	2	238421872
238426818	Triggered	1	 Modulated Tone	25	2	238426818
238429557	Triggered	4	 NoSound	50	2	238429557
238438515	Triggered	1	 Modulated Tone	25	2	238438515
238443196	Triggered	4	 NoSound	50	2	238443196
238452084	Triggered	1	 Modulated Tone	25	2	238452084
238457697	Triggered	4	 NoSound	50	2	238457697
238467323	Triggered	8	 NoSound	50	2	238467323
238471069	Triggered	1	 Modulated Tone	25	2	238471069
238475342	Triggered	4	 NoSound	50	2	238475342
238484967	Triggered	8	 NoSound	50	2	238484967
238488849	Triggered	1	 Modulated Tone	25	2	238488849
238492459	Triggered	4	 NoSound	50	2	238492459
238500483	Triggered	1	 Modulated Tone	25	2	238500483
238506691	Triggered	4	 NoSound	50	2	238506691
238515448	Triggered	1	 Modulated Tone	25	2	238515448
238519392	Triggered	4	 NoSound	50	2	238519392
238532092	Triggered	1	 Modulated Tone	25	2	238532092
238536442	Triggered	5	 Modulated Tone	25	2	238536442
238539578	Triggered	2	 NoSound	50	2	238539578
238548600	Triggered	5	 Modulated Tone	25	2	238548600
238552610	Triggered	8	 NoSound	50	2	238552610
238559496	Triggered	5	 Modulated Tone	25	2	238559496
238562837	Triggered	8	 NoSound	50	2	238562837
238566848	Triggered	5	 Modulated Tone	25	2	238566848
238569993	Triggered	2	 NoSound	50	2	238569993
238576746	Triggered	5	 Modulated Tone	25	2	238576746
238580554	Triggered	2	 NoSound	50	2	238580554
238589578	Triggered	5	 Modulated Tone	25	2	238589578
238592649	Triggered	8	 NoSound	50	2	238592649
238597929	Triggered	5	 Modulated Tone	25	2	238597929
238601606	Triggered	2	 NoSound	50	2	238601606
238608157	Triggered	5	 Modulated Tone	25	2	238608157
238614038	Triggered	2	 NoSound	50	2	238614038
238621395	Triggered	5	 Modulated Tone	25	2	238621395
238625201	Triggered	8	 NoSound	50	2	238625201
238629546	Triggered	5	 Modulated Tone	25	2	238629546
238634163	Triggered	8	 NoSound	50	2	238634163
238638239	Triggered	7	 NoSound	50	2	238638239
238640373	Triggered	6	 NoSound	50	2	238640373
238644584	Triggered	5	 Modulated Tone	25	2	238644584
238648327	Triggered	2	 NoSound	50	2	238648327
238655216	Triggered	5	 Modulated Tone	25	2	238655216
238659959	Triggered	2	 NoSound	50	2	238659959
238666977	Triggered	5	 Modulated Tone	25	2	238666977
238671259	Triggered	1	 Modulated Tone	25	2	238671259
238674204	Triggered	4	 NoSound	50	2	238674204
238679347	Triggered	1	 Modulated Tone	25	2	238679347
238682888	Triggered	4	 NoSound	50	2	238682888
238686292	Triggered	1	 Modulated Tone	25	2	238686292
238689702	Triggered	6	 NoSound	50	2	238689702
238698591	Triggered	1	 Modulated Tone	25	2	238698591
238702068	Triggered	6	 NoSound	50	2	238702068
238710221	Triggered	1	 Modulated Tone	25	2	238710221
238730475	Triggered	6	 NoSound	50	2	238730475
238738630	Triggered	1	 Modulated Tone	25	2	238738630
238742572	Triggered	4	 NoSound	50	2	238742572
238747854	Triggered	1	 Modulated Tone	25	2	238747854
238752070	Triggered	6	 NoSound	50	2	238752070
238761758	Triggered	1	 Modulated Tone	25	2	238761758
238765638	Triggered	6	 NoSound	50	2	238765638
238774527	Triggered	1	 Modulated Tone	25	2	238774527
238778199	Triggered	6	 NoSound	50	2	238778199
238786086	Triggered	1	 Modulated Tone	25	2	238786086
238792638	Triggered	6	 NoSound	50	2	238792638
238801199	Triggered	1	 Modulated Tone	25	2	238801199
238804600	Triggered	6	 NoSound	50	2	238804600
238812623	Triggered	1	 Modulated Tone	25	2	238812623
238816969	Triggered	6	 NoSound	50	2	238816969
238823984	Triggered	1	 Modulated Tone	25	2	238823984
238828464	Triggered	5	 Modulated Tone	25	2	238828464
238831608	Triggered	2	 NoSound	50	2	238831608
238838021	Triggered	5	 Modulated Tone	25	2	238838021
238841299	Triggered	2	 NoSound	50	2	238841299
238845509	Triggered	5	 Modulated Tone	25	2	238845509
238848649	Triggered	8	 NoSound	50	2	238848649
238857873	Triggered	5	 Modulated Tone	25	2	238857873
238862156	Triggered	2	 NoSound	50	2	238862156
238867572	Triggered	5	 Modulated Tone	25	2	238867572
238870981	Triggered	8	 NoSound	50	2	238870981
238879132	Triggered	5	 Modulated Tone	25	2	238879132
238882613	Triggered	8	 NoSound	50	2	238882613
238891631	Triggered	5	 Modulated Tone	25	2	238891631
238895303	Triggered	8	 NoSound	50	2	238895303
238903332	Triggered	5	 Modulated Tone	25	2	238903332
238911613	Triggered	8	 NoSound	50	2	238911613
238922183	Triggered	5	 Modulated Tone	25	2	238922183
238925651	Triggered	8	 NoSound	50	2	238925651
238933804	Triggered	5	 Modulated Tone	25	2	238933804
238938751	Triggered	8	 NoSound	50	2	238938751
238946773	Triggered	5	 Modulated Tone	25	2	238946773
238950315	Triggered	8	 NoSound	50	2	238950315
238958006	Triggered	5	 Modulated Tone	25	2	238958006
238961414	Triggered	8	 NoSound	50	2	238961414
238969697	Triggered	5	 Modulated Tone	25	2	238969697
238974243	Triggered	1	 Modulated Tone	25	2	238974243
238977521	Triggered	6	 NoSound	50	2	238977521
238983065	Triggered	1	 Modulated Tone	25	2	238983065
238986475	Triggered	6	 NoSound	50	2	238986475
238991156	Triggered	1	 Modulated Tone	25	2	238991156
238994497	Triggered	4	 NoSound	50	2	238994497
239009401	Triggered	1	 Modulated Tone	25	2	239009401
239012549	Triggered	4	 NoSound	50	2	239012549
239022569	Triggered	1	 Modulated Tone	25	2	239022569
239025511	Triggered	4	 NoSound	50	2	239025511
239034870	Triggered	1	 Modulated Tone	25	2	239034870
239038145	Triggered	6	 NoSound	50	2	239038145
239044025	Triggered	1	 Modulated Tone	25	2	239044025
239047768	Triggered	4	 NoSound	50	2	239047768
239056996	Triggered	1	 Modulated Tone	25	2	239056996
239061404	Triggered	4	 NoSound	50	2	239061404
239070159	Triggered	1	 Modulated Tone	25	2	239070159
239074573	Triggered	4	 NoSound	50	2	239074573
239084264	Triggered	1	 Modulated Tone	25	2	239084264
239088072	Triggered	4	 NoSound	50	2	239088072
239096697	Triggered	1	 Modulated Tone	25	2	239096697
239101106	Triggered	4	 NoSound	50	2	239101106
239110732	Triggered	1	 Modulated Tone	25	2	239110732
239114543	Triggered	4	 NoSound	50	2	239114543
239123169	Triggered	1	 Modulated Tone	25	2	239123169
239128112	Triggered	5	 Modulated Tone	25	2	239128112
239131455	Triggered	2	 NoSound	50	2	239131455
239138471	Triggered	5	 Modulated Tone	25	2	239138471
239141814	Triggered	8	 NoSound	50	2	239141814
239147962	Triggered	5	 Modulated Tone	25	2	239147962
239151373	Triggered	2	 NoSound	50	2	239151373
239159526	Triggered	5	 Modulated Tone	25	2	239159526
239162802	Triggered	8	 NoSound	50	2	239162802
239169359	Triggered	5	 Modulated Tone	25	2	239169359
239177774	Triggered	8	 NoSound	50	2	239177774
239183792	Triggered	5	 Modulated Tone	25	2	239183792
239187074	Triggered	2	 NoSound	50	2	239187074
239196824	Triggered	5	 Modulated Tone	25	2	239196824
239201770	Triggered	2	 NoSound	50	2	239201770
239209791	Triggered	5	 Modulated Tone	25	2	239209791
239214403	Triggered	2	 NoSound	50	2	239214403
239221821	Triggered	5	 Modulated Tone	25	2	239221821
239226568	Triggered	2	 NoSound	50	2	239226568
239235656	Triggered	5	 Modulated Tone	25	2	239235656
239240136	Triggered	2	 NoSound	50	2	239240136
239248491	Triggered	5	 Modulated Tone	25	2	239248491
239253041	Triggered	2	 NoSound	50	2	239253041
239265067	Triggered	5	 Modulated Tone	25	2	239265067
239269747	Triggered	2	 NoSound	50	2	239269747
239277768	Triggered	5	 Modulated Tone	25	2	239277768
239283787	Triggered	1	 Modulated Tone	25	2	239283787
239287597	Triggered	6	 NoSound	50	2	239287597
