Ver1.3	1306314091	StartFile	8/9/2020	2:56:12 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\080920\SoundData.txt	1306314091
1306436339	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306436339
1306444828	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306444828
1306445030	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306445030
1306457664	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306457664
1306457867	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1306457867
1306464578	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1306464578
1306471566	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306471566
1306471769	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1306471769
1306477182	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306477182
1306477383	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306477383
1306488477	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306488477
1306488680	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1306488680
1306491886	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306491886
1306492086	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306492086
1306503582	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306503582
1306503784	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1306503784
1306506657	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306506657
1306506857	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306506857
1306515680	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306515680
1306515883	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1306515883
1306518956	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306518956
1306519157	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306519157
1306527577	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306527577
1306527778	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1306527778
1306531187	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306531187
1306531388	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306531388
1306539208	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306539208
1306539410	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1306539410
1306553044	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306553044
1306556060	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306556060
1306556263	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306556263
1306567950	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306567950
1306568152	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1306568152
1306570892	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306570892
1306571092	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306571092
1306581853	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306581853
1306582056	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1306582056
1306584861	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306584861
1306585062	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306585062
1306596557	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306596557
1306596759	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1306596759
1306599633	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306599633
1306599835	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306599835
1306610393	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306610393
1306610596	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1306610596
1306613267	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306613267
1306613479	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306613479
1306625499	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306625499
1306625701	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1306625701
1306628173	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306628173
1306628375	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306628375
1306639135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306639135
1306639337	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1306639337
1306642410	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306642410
1306642612	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1306642612
1306653640	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306653640
1306653841	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1306653841
1306669148	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306669148
1306674561	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1306674561
1306674762	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1306674762
1306681714	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306681714
1306681917	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1306681917
1306685056	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306685056
1306690349	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306690349
1306690552	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1306690552
1306695481	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1306695481
1306695682	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1306695682
1306704372	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306704372
1306704573	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1306704573
1306707313	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306707313
1306715334	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306715334
1306715536	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1306715536
1306720749	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1306720749
1306720949	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1306720949
1306730441	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306730441
1306730644	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1306730644
1306733915	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306733915
1306743008	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306743008
1306743211	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1306743211
1306746950	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1306746950
1306747151	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1306747151
1306755639	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306755639
1306755854	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1306755854
1306767738	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306767738
1306781841	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306781841
1306782042	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306782042
1306795877	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306795877
1306796081	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1306796081
1306799018	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306799018
1306799219	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306799219
1306808578	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306808578
1306808782	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1306808782
1306812253	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306812253
1306812453	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306812453
1306823482	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306823482
1306823684	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1306823684
1306827291	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306827291
1306827492	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306827492
1306837454	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306837454
1306837657	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1306837657
1306841063	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306841063
1306841265	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306841265
1306856569	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306856569
1306856772	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1306856772
1306860178	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306860178
1306860379	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306860379
1306870471	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306870471
1306870673	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1306870673
1306873748	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1306873748
1306873948	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1306873948
1306884308	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1306884308
1306884508	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1306884508
1306895403	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1306895403
1306898812	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1306898812
1306899013	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1306899013
1306912514	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1306912514
1306912716	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1306912716
1306915656	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1306915656
1306915857	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1306915857
1306928556	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1306928556
1306928757	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1306928757
1307178474	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307178474
1307178677	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1307178677
1307193521	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307193521
1307197391	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1307197391
1307197604	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1307197604
1307206154	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307206154
1307206357	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1307206357
1307209957	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307209957
1307210159	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1307210159
1307224663	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307224663
1307224866	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1307224866
1307227269	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307227269
1307227470	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1307227470
1307245331	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307245331
1307245533	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1307245533
1307248123	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307248123
1307248337	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1307248337
1307264900	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307264900
1307265103	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1307265103
1307267575	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307267575
1307267777	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1307267777
1307285019	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307285019
1307285222	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1307285222
1307287695	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307287695
1307287897	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1307287897
1307306408	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307306408
1307306610	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1307306610
1307309348	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307309348
1307309550	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1307309550
1307326994	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307326994
1307327195	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1307327195
1307339493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307339494
1307342568	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1307342568
1307342770	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1307342770
1307360482	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307360482
1307360684	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1307360684
1307364024	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1307364024
1307364226	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1307364226
1307379998	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307379998
1307380201	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1307380201
1307390560	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307390560
1307394980	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1307394980
1307395183	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1307395183
1307403260	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307403260
1307403462	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1307403462
1307406803	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307406803
1307407003	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307407003
1307420103	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307420103
1307420317	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1307420317
1307423312	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307423312
1307423513	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307423513
1307436948	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307436948
1307437150	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1307437150
1307440693	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307440693
1307440894	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307440894
1307452935	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307452935
1307453136	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1307453136
1307456064	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307456064
1307456264	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307456264
1307467627	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307467627
1307467830	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1307467830
1307471103	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307471103
1307471305	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307471305
1307481663	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307481663
1307481865	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1307481865
1307485675	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307485675
1307485875	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307485875
1307499577	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307499577
1307499778	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1307499778
1307512009	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307512009
1307515687	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1307515687
1307515888	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1307515888
1307530257	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307530257
1307530469	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1307530469
1307534001	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1307534001
1307544031	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1307544031
1307544232	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1307544232
1307559868	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307559868
1307563886	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307563886
1307564086	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307564086
1307578918	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307578918
1307579120	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1307579120
1307583195	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307583195
1307583395	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307583395
1307593689	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307593689
1307593893	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1307593893
1307598168	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1307598168
1307605319	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307605319
1307605523	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1307605523
1307610868	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307610868
1307611069	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307611069
1307623769	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1307623769
1307623971	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1307623971
1307628045	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1307628045
1307628246	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1307628246
