Ver1.3	1279849864	StartFile	11/5/2020	11:34:41 AM	E:\BehavioralExperiments\Bobo\RawData\110520\SoundData.txt	1279849864
1280535027	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1280535027
1280535229	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1280535229
1280835495	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1280835495
1280835697	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1280835697
1280888862	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1280888862
1280895722	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1280895722
1280895923	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1280895923
1280944575	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1280944575
1280953424	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1280953424
1280953625	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1280953625
1280980797	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1280980797
1280987955	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1280987955
1280988156	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1280988156
1281130254	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1281130254
1281130458	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1281130458
1281156719	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1281156719
1281156920	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1281156920
1281203950	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1281203950
1281204154	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1281204154
1281225789	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1281225789
1281225990	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1281225990
1281255637	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1281255637
1281255839	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1281255839
1281268689	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1281268689
1281268890	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1281268890
1281290768	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1281290768
1281290969	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1281290969
1281302200	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1281302200
1281302403	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1281302403
1281309420	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1281309420
1281309633	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1281309633
1281328673	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1281328673
1281328874	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1281328874
1281340828	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1281340828
