Ver1.3	664197512	StartFile	8/27/2020	11:36:06 AM	E:\BehavioralExperiments\Gerald\RawData\082720\SoundData.txt	664197512
664643261	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	664643261
664722804	Triggered	4,42,43,44,45,46,	 NoSound	40	2	664722804
664749996	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	664749996
664766962	Triggered	6,47,48,49,50,51,	 NoSound	40	2	664766962
664767162	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	664767162
664782786	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	664782786
664825442	Triggered	4,42,43,44,45,46,	 NoSound	40	2	664825442
664831820	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	664831820
664918700	Triggered	4,42,43,44,45,46,	 NoSound	40	2	664918700
664934224	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	664934224
664934425	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	664934425
665438416	Triggered	6,47,48,49,50,51,	 NoSound	40	2	665438416
665438617	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	665438617
665453754	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	665453754
665453955	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	665453955
665483235	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	665483235
665499060	Triggered	2,37,38,39,40,41,	 NoSound	40	2	665499060
666690584	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	666690584
666700931	Triggered	2,37,38,39,40,41,	 NoSound	40	2	666700931
