Ver1.3	1125971317	StartFile	8/7/2020	12:50:30 PM	E:\BehavioralExperiments\Twenty\RawData\080720\SoundData.txt	1125971317
1126206391	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1126206391
1126206594	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1126206594
1126229613	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1126229613
1126270411	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1126270411
1126270614	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1126270614
1126342244	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1126342244
1126363845	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1126363845
1126364046	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1126364046
1126391882	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1126391882
1126415104	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1126415104
1126415305	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1126415305
1126834220	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1126834220
1126844759	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1126844759
1126844962	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1126844962
1126877298	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1126877298
1126877500	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1126877500
1126883917	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1126883917
1126884133	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1126884133
1126921098	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1126921098
1126921313	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1126921313
1126934999	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1126934999
1126939811	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1126939811
1126940012	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1126940012
1126955093	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1126955093
1126959846	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1126959846
1126960047	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1126960047
1127007918	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127007918
1127016100	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127016100
1127016301	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127016301
1127051299	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127051299
1127055701	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127055701
1127055921	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127055921
1127121511	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127121511
1127121715	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1127121715
1127124582	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1127124582
1127124784	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	1127124784
1127267655	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127267655
1127267857	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1127267857
1127279507	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127279507
1127279708	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127279708
1127310146	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127310146
1127310350	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1127310350
1127316088	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127316088
1127316288	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127316288
1127365663	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127365663
1127365865	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1127365865
1127370538	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127370538
1127370738	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127370738
1127392863	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127392863
1127393067	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1127393067
1127397131	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127397131
1127397344	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127397344
1127412775	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127412775
1127412977	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1127412977
1127417346	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127417346
1127417547	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1127417547
1127441773	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127441773
1127441974	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1127441974
1127455372	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1127455372
1127462350	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1127462350
1127462551	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1127462551
1127484010	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1127484010
1127494480	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1127494480
1127494681	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	1127494681
1127558137	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1127558137
1127562045	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1127562045
1127562246	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1127562246
1127571801	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1127571801
1127576725	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1127576725
1127576926	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1127576926
1127602777	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1127602777
1127602978	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1127602978
1127614331	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1127614331
1127614531	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1127614531
1127650067	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1127650067
1127650268	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1127650268
1127702232	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1127702232
1127710414	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1127710414
1127710616	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1127710616
