Ver1.3	506188844	StartFile	12/30/2020	10:13:04 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\123020\SoundData.txt	506188844
506908906	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506908906
506909109	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	506909109
506913472	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506913472
506913673	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	506913673
506924965	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506924965
506925168	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	506925168
506929899	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506929899
506930102	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	506930102
506943797	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506943797
506944000	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	506944000
506947587	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506947587
506947788	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	506947788
506962568	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506962568
506962769	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	506962769
506966118	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506966118
506966320	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	506966320
506975865	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506975865
506976068	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	506976068
506979836	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506979836
506980040	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	506980040
506993674	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506993674
506993876	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	506993876
506998128	Triggered	4,42,43,44,45,46,	 NoSound	40	2	506998128
507003902	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507003902
507004103	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	507004103
507020809	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507020809
507024118	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507024118
507024320	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	507024320
507033805	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507033805
507039172	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507039172
507039374	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	507039374
507049266	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507049266
507052877	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507052877
507053091	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	507053091
507063408	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507063408
507063612	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	507063612
507066956	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507066956
507072678	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507072678
507072882	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	507072882
507077545	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507077545
507077746	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	507077746
507122969	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507122969
507123173	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	507123173
507127542	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507127542
507127743	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	507127743
507136326	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507136326
507136541	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	507136541
507141081	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507141081
507141283	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	507141283
507150946	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507150946
507151150	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	507151150
507154497	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507154497
507159430	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507159430
507159632	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	507159632
507163582	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507163582
507168279	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507168279
507168479	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	507168479
507184940	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507184940
507189153	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507189153
507197033	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507197033
507202511	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507202511
507202713	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	507202713
507213942	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507213942
507217619	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507217619
507217822	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	507217822
507229944	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507229944
507230147	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	507230147
507233253	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507233253
507233455	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	507233455
507241917	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507241917
507242119	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	507242119
507245407	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507245407
507245609	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	507245609
507256478	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507256478
507256681	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	507256681
507259788	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507259788
507259989	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	507259989
507271038	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507271038
507271241	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	507271241
507274709	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507274709
507274911	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	507274911
507284935	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507284935
507285137	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	507285137
507288487	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507288487
507293541	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507293541
507293743	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	507293743
507305693	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507305693
507305896	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	507305896
507318028	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507318028
507318239	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	507318239
507328917	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507328917
507332769	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507332769
507332969	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	507332969
507338845	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507338845
507344622	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507344622
507349493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507349493
