Ver1.3	1190153210	StartFile	10/12/2020	1:46:54 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\101220\SoundData.txt	1190153210
1190550581	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1190550581
1190550798	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1190550798
1190568695	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1190568695
1190568899	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1190568899
1190589758	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190589758
1190594762	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1190594762
1190594964	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1190594964
1190608933	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190608933
1190613411	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1190613411
1190613614	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1190613614
1190625509	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190625509
1190625712	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190625712
1190630189	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1190630189
1190630402	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1190630402
1190642298	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190642298
1190642503	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190642503
1190645896	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1190645896
1190646099	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1190646099
1190659733	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190659733
1190659938	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190659938
1190664812	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1190664812
1190665015	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1190665015
1190678048	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190678048
1190678250	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190678250
1190681722	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190681722
1190681926	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190681926
1190696964	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190696964
1190697166	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190697166
1190700506	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190700506
1190700708	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190700708
1190714742	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190714742
1190714946	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190714946
1190718420	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190718420
1190718622	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190718622
1190734193	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190734193
1190734398	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190734398
1190738070	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190738070
1190738272	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190738272
1190750502	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190750502
1190750704	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190750704
1190754178	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190754178
1190754381	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190754381
1190781383	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190781383
1190781588	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1190781588
1190785660	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190785660
1190785864	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190785864
1190799240	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190799240
1190799445	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1190799445
1190802639	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190802639
1190802841	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190802841
1190814736	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190814736
1190814951	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1190814951
1190817877	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190817877
1190818080	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190818080
1190830177	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190830177
1190830381	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1190830381
1190833591	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190833591
1190833793	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190833793
1190847020	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190847020
1190847221	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1190847221
1190850366	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190850366
1190850582	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190850582
1190865135	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190865135
1190865336	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1190865336
1190868344	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190868344
1190868546	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190868546
1190880708	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190880708
1190880910	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1190880910
1190884185	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1190884185
1190884387	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1190884387
1190895083	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1190895083
