Ver1.2	2490595078	StartFile	4/11/2020	2:24:10 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041120A\SoundData.txt	2490595078
2491530994	Triggered	2	 NoSound	50	2	2491530994
2491543428	Triggered	5	 PureTone-5kHz	50	2	2491543428
2491547109	Triggered	1	 PureTone-5kHz	50	2	2491547109
2491549983	Triggered	6	 NoSound	50	2	2491549983
2491561406	Triggered	1	 PureTone-5kHz	50	2	2491561406
2491564149	Triggered	6	 NoSound	50	2	2491564149
2491572301	Triggered	1	 PureTone-5kHz	50	2	2491572301
2491575381	Triggered	6	 NoSound	50	2	2491575381
2491583539	Triggered	1	 PureTone-5kHz	50	2	2491583539
2491586605	Triggered	4	 NoSound	50	2	2491586605
2491601444	Triggered	1	 PureTone-5kHz	50	2	2491601444
2491605054	Triggered	5	 PureTone-5kHz	50	2	2491605054
2491608128	Triggered	8	 NoSound	50	2	2491608128
2491614818	Triggered	5	 PureTone-5kHz	50	2	2491614818
2491641687	Triggered	8	 NoSound	50	2	2491641687
2491648767	Triggered	5	 PureTone-5kHz	50	2	2491648767
2491652845	Triggered	8	 NoSound	50	2	2491652845
2491662335	Triggered	6	 NoSound	50	2	2491662335
2491668218	Triggered	5	 PureTone-5kHz	50	2	2491668218
2491671030	Triggered	2	 NoSound	50	2	2491671030
2491680382	Triggered	5	 PureTone-5kHz	50	2	2491680382
2491683793	Triggered	1	 PureTone-5kHz	50	2	2491683793
2491686602	Triggered	6	 NoSound	50	2	2491686602
2491700769	Triggered	1	 PureTone-5kHz	50	2	2491700769
2491703779	Triggered	6	 NoSound	50	2	2491703779
2491714544	Triggered	1	 PureTone-5kHz	50	2	2491714544
2491717479	Triggered	6	 NoSound	50	2	2491717479
2491727979	Triggered	1	 PureTone-5kHz	50	2	2491727979
2491731119	Triggered	4	 NoSound	50	2	2491731119
2491737535	Triggered	1	 PureTone-5kHz	50	2	2491737535
2491741143	Triggered	5	 PureTone-5kHz	50	2	2491741143
2491743949	Triggered	8	 NoSound	50	2	2491743949
2491756386	Triggered	5	 PureTone-5kHz	50	2	2491756386
2491759254	Triggered	8	 NoSound	50	2	2491759254
2491772291	Triggered	5	 PureTone-5kHz	50	2	2491772291
2491775231	Triggered	8	 NoSound	50	2	2491775231
2491787862	Triggered	5	 PureTone-5kHz	50	2	2491787862
2491790605	Triggered	8	 NoSound	50	2	2491790605
2491804114	Triggered	5	 PureTone-5kHz	50	2	2491804114
2491807715	Triggered	1	 PureTone-5kHz	50	2	2491807715
2491810590	Triggered	6	 NoSound	50	2	2491810590
2491817145	Triggered	1	 PureTone-5kHz	50	2	2491817145
2491821691	Triggered	6	 NoSound	50	2	2491821691
2491828237	Triggered	1	 PureTone-5kHz	50	2	2491828237
2491831444	Triggered	6	 NoSound	50	2	2491831444
2491838327	Triggered	1	 PureTone-5kHz	50	2	2491838327
2491841205	Triggered	4	 NoSound	50	2	2491841205
2491855371	Triggered	1	 PureTone-5kHz	50	2	2491855371
2491859934	Triggered	5	 PureTone-5kHz	50	2	2491859934
2491862926	Triggered	2	 NoSound	50	2	2491862926
2491877230	Triggered	5	 PureTone-5kHz	50	2	2491877230
2491880303	Triggered	2	 NoSound	50	2	2491880303
2491892669	Triggered	5	 PureTone-5kHz	50	2	2491892669
2491895876	Triggered	2	 NoSound	50	2	2491895876
2491910717	Triggered	5	 PureTone-5kHz	50	2	2491910717
2491914526	Triggered	8	 NoSound	50	2	2491914526
2491920013	Triggered	5	 PureTone-5kHz	50	2	2491920013
2491941465	Triggered	1	 PureTone-5kHz	50	2	2491941465
2491944611	Triggered	6	 NoSound	50	2	2491944611
2491952826	Triggered	1	 PureTone-5kHz	50	2	2491952826
2491955968	Triggered	6	 NoSound	50	2	2491955968
2491961789	Triggered	1	 PureTone-5kHz	50	2	2491961789
2491965058	Triggered	6	 NoSound	50	2	2491965058
2491971342	Triggered	1	 PureTone-5kHz	50	2	2491971342
2491974284	Triggered	4	 NoSound	50	2	2491974284
2491988987	Triggered	1	 PureTone-5kHz	50	2	2491988987
2491992669	Triggered	5	 PureTone-5kHz	50	2	2491992669
2491995670	Triggered	2	 NoSound	50	2	2491995670
2492007634	Triggered	5	 PureTone-5kHz	50	2	2492007634
2492010713	Triggered	2	 NoSound	50	2	2492010713
2492025688	Triggered	5	 PureTone-5kHz	50	2	2492025688
2492028631	Triggered	2	 NoSound	50	2	2492028631
2492041925	Triggered	5	 PureTone-5kHz	50	2	2492041925
2492045074	Triggered	2	 NoSound	50	2	2492045074
2492059972	Triggered	5	 PureTone-5kHz	50	2	2492059972
2492064051	Triggered	1	 PureTone-5kHz	50	2	2492064051
2492067193	Triggered	4	 NoSound	50	2	2492067193
2492079424	Triggered	1	 PureTone-5kHz	50	2	2492079424
2492082569	Triggered	4	 NoSound	50	2	2492082569
2492095603	Triggered	1	 PureTone-5kHz	50	2	2492095603
2492098471	Triggered	4	 NoSound	50	2	2492098471
2492114051	Triggered	1	 PureTone-5kHz	50	2	2492114051
