Ver1.3	148547634	StartFile	6/30/2020	4:34:51 PM	E:\BehavioralExperiments\Gerald\RawData\063020\SoundData.txt	148547634
148885098	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	148885098
148965561	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	148965561
149026388	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	149026388
149072896	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	149072896
149209895	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	149209895
149351464	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	149351464
149480401	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	149480401
149500134	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	149500134
149542191	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	149542191
149786162	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	149786162
149914687	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	149914687
150055586	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	150055586
150078689	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	150078689
150282953	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	150282953
150332771	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	150332771
150532883	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	150532883
150626740	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	150626740
150999167	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	150999167
151164443	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	151164443
151940285	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	151940285
