Ver1.2	494235607	StartFile	3/19/2020	11:51:31 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\031920\SoundData.txt	494235607
494567361	Triggered	8	 NoSound	50	2	494567361
494573289	Triggered	5	 Modulated Tone	25	2	494573289
494578765	Triggered	8	 NoSound	50	2	494578765
494586183	Triggered	4	 NoSound	50	2	494586183
494591667	Triggered	3	 NoSound	50	2	494591667
494594211	Triggered	2	 NoSound	50	2	494594211
494601624	Triggered	5	 Modulated Tone	25	2	494601624
494605500	Triggered	8	 NoSound	50	2	494605500
494613856	Triggered	5	 Modulated Tone	25	2	494613856
494622611	Triggered	8	 NoSound	50	2	494622611
494631375	Triggered	5	 Modulated Tone	25	2	494631375
494635378	Triggered	2	 NoSound	50	2	494635378
494644803	Triggered	5	 Modulated Tone	25	2	494644803
494648479	Triggered	2	 NoSound	50	2	494648479
494656238	Triggered	5	 Modulated Tone	25	2	494656238
494660042	Triggered	2	 NoSound	50	2	494660042
494666993	Triggered	5	 Modulated Tone	25	2	494666993
494670202	Triggered	2	 NoSound	50	2	494670202
494676151	Triggered	4	 NoSound	50	2	494676151
494681497	Triggered	5	 Modulated Tone	25	2	494681497
494684907	Triggered	2	 NoSound	50	2	494684907
494691260	Triggered	5	 Modulated Tone	25	2	494691260
494694737	Triggered	2	 NoSound	50	2	494694737
494704831	Triggered	5	 Modulated Tone	25	2	494704831
494708236	Triggered	8	 NoSound	50	2	494708236
494713850	Triggered	5	 Modulated Tone	25	2	494713850
494718260	Triggered	2	 NoSound	50	2	494718260
494724613	Triggered	5	 Modulated Tone	25	2	494724613
494727751	Triggered	8	 NoSound	50	2	494727751
494731495	Triggered	6	 NoSound	50	2	494731495
494737848	Triggered	5	 Modulated Tone	25	2	494737848
494742458	Triggered	1	 Modulated Tone	25	2	494742458
494746205	Triggered	6	 NoSound	50	2	494746205
494753418	Triggered	1	 Modulated Tone	25	2	494753418
494756832	Triggered	6	 NoSound	50	2	494756832
494763445	Triggered	1	 Modulated Tone	25	2	494763445
494766721	Triggered	6	 NoSound	50	2	494766721
494774011	Triggered	1	 Modulated Tone	25	2	494774012
494777754	Triggered	4	 NoSound	50	2	494777754
494789448	Triggered	1	 Modulated Tone	25	2	494789448
494792789	Triggered	4	 NoSound	50	2	494792789
494805088	Triggered	1	 Modulated Tone	25	2	494805088
494807893	Triggered	4	 NoSound	50	2	494807893
494818521	Triggered	1	 Modulated Tone	25	2	494818521
494821068	Triggered	4	 NoSound	50	2	494821068
494832426	Triggered	1	 Modulated Tone	25	2	494832426
494834765	Triggered	4	 NoSound	50	2	494834765
494846468	Triggered	1	 Modulated Tone	25	2	494846468
494848807	Triggered	4	 NoSound	50	2	494848807
494859896	Triggered	1	 Modulated Tone	25	2	494859896
494862905	Triggered	4	 NoSound	50	2	494862905
494873665	Triggered	1	 Modulated Tone	25	2	494873665
494876477	Triggered	4	 NoSound	50	2	494876477
494887367	Triggered	1	 Modulated Tone	25	2	494887367
494890045	Triggered	4	 NoSound	50	2	494890045
494900736	Triggered	1	 Modulated Tone	25	2	494900736
494904346	Triggered	5	 Modulated Tone	25	2	494904346
494907221	Triggered	8	 NoSound	50	2	494907221
494918315	Triggered	5	 Modulated Tone	25	2	494918315
494921660	Triggered	8	 NoSound	50	2	494921660
494933154	Triggered	5	 Modulated Tone	25	2	494933154
494936162	Triggered	8	 NoSound	50	2	494936162
494946922	Triggered	5	 Modulated Tone	25	2	494946922
494950064	Triggered	8	 NoSound	50	2	494950064
494961025	Triggered	5	 Modulated Tone	25	2	494961025
494964037	Triggered	8	 NoSound	50	2	494964037
494974731	Triggered	5	 Modulated Tone	25	2	494974731
494978072	Triggered	8	 NoSound	50	2	494978072
494989504	Triggered	5	 Modulated Tone	25	2	494989504
494992849	Triggered	2	 NoSound	50	2	494992849
494998925	Triggered	5	 Modulated Tone	25	2	494998925
495002467	Triggered	2	 NoSound	50	2	495002467
495009086	Triggered	5	 Modulated Tone	25	2	495009086
495013234	Triggered	2	 NoSound	50	2	495013234
495020180	Triggered	5	 Modulated Tone	25	2	495020180
495023923	Triggered	8	 NoSound	50	2	495023923
495035220	Triggered	5	 Modulated Tone	25	2	495035220
495038227	Triggered	8	 NoSound	50	2	495038227
495050392	Triggered	5	 Modulated Tone	25	2	495050392
495053869	Triggered	8	 NoSound	50	2	495053869
495065102	Triggered	5	 Modulated Tone	25	2	495065102
495069040	Triggered	1	 Modulated Tone	25	2	495069040
495072187	Triggered	6	 NoSound	50	2	495072187
495080544	Triggered	1	 Modulated Tone	25	2	495080544
495083887	Triggered	6	 NoSound	50	2	495083887
495091504	Triggered	1	 Modulated Tone	25	2	495091504
495094775	Triggered	6	 NoSound	50	2	495094775
495101192	Triggered	1	 Modulated Tone	25	2	495101192
495104132	Triggered	4	 NoSound	50	2	495104132
495116030	Triggered	1	 Modulated Tone	25	2	495116030
495119175	Triggered	4	 NoSound	50	2	495119175
495130003	Triggered	1	 Modulated Tone	25	2	495130003
495133074	Triggered	4	 NoSound	50	2	495133074
495144973	Triggered	1	 Modulated Tone	25	2	495144973
495147919	Triggered	4	 NoSound	50	2	495147919
495158677	Triggered	1	 Modulated Tone	25	2	495158677
495161884	Triggered	4	 NoSound	50	2	495161884
495173518	Triggered	1	 Modulated Tone	25	2	495173518
495176057	Triggered	4	 NoSound	50	2	495176057
495187354	Triggered	1	 Modulated Tone	25	2	495187354
495190695	Triggered	4	 NoSound	50	2	495190695
495201118	Triggered	1	 Modulated Tone	25	2	495201118
495204403	Triggered	4	 NoSound	50	2	495204403
495215023	Triggered	1	 Modulated Tone	25	2	495215023
495218297	Triggered	4	 NoSound	50	2	495218297
495230129	Triggered	1	 Modulated Tone	25	2	495230129
495234405	Triggered	5	 Modulated Tone	25	2	495234405
495237616	Triggered	8	 NoSound	50	2	495237616
495249718	Triggered	5	 Modulated Tone	25	2	495249718
495253053	Triggered	8	 NoSound	50	2	495253053
495264617	Triggered	5	 Modulated Tone	25	2	495264617
495267963	Triggered	8	 NoSound	50	2	495267963
495279791	Triggered	5	 Modulated Tone	25	2	495279791
495283067	Triggered	8	 NoSound	50	2	495283067
495294230	Triggered	5	 Modulated Tone	25	2	495294230
495297909	Triggered	8	 NoSound	50	2	495297909
495308735	Triggered	5	 Modulated Tone	25	2	495308735
495312277	Triggered	8	 NoSound	50	2	495312277
495323507	Triggered	5	 Modulated Tone	25	2	495323507
495327182	Triggered	2	 NoSound	50	2	495327182
495334407	Triggered	5	 Modulated Tone	25	2	495334407
495340951	Triggered	2	 NoSound	50	2	495340951
495348569	Triggered	5	 Modulated Tone	25	2	495348569
495353516	Triggered	2	 NoSound	50	2	495353516
495362014	Triggered	5	 Modulated Tone	25	2	495362014
495366017	Triggered	8	 NoSound	50	2	495366017
495381722	Triggered	5	 Modulated Tone	25	2	495381722
495385466	Triggered	8	 NoSound	50	2	495385466
495398165	Triggered	5	 Modulated Tone	25	2	495398165
495401717	Triggered	8	 NoSound	50	2	495401717
495414274	Triggered	5	 Modulated Tone	25	2	495414274
495418953	Triggered	1	 Modulated Tone	25	2	495418953
495421700	Triggered	4	 NoSound	50	2	495421700
495430720	Triggered	1	 Modulated Tone	25	2	495430720
495434393	Triggered	4	 NoSound	50	2	495434393
495444419	Triggered	1	 Modulated Tone	25	2	495444419
495448564	Triggered	4	 NoSound	50	2	495448564
495456989	Triggered	1	 Modulated Tone	25	2	495456989
495461269	Triggered	6	 NoSound	50	2	495461269
495469686	Triggered	1	 Modulated Tone	25	2	495469686
495475501	Triggered	6	 NoSound	50	2	495475501
495497091	Triggered	8	 NoSound	50	2	495497091
495504844	Triggered	1	 Modulated Tone	25	2	495504844
495518012	Triggered	4	 NoSound	50	2	495518012
495529241	Triggered	1	 Modulated Tone	25	2	495529241
495533384	Triggered	6	 NoSound	50	2	495533384
495539400	Triggered	1	 Modulated Tone	25	2	495539400
495545282	Triggered	4	 NoSound	50	2	495545282
495550500	Triggered	3	 NoSound	50	2	495550500
495551631	Triggered	2	 NoSound	50	2	495551631
495556919	Triggered	6	 NoSound	50	2	495556919
495568943	Triggered	1	 Modulated Tone	25	2	495568943
495573558	Triggered	6	 NoSound	50	2	495573558
495578706	Triggered	5	 Modulated Tone	25	2	495578706
495661385	Triggered	1	 Modulated Tone	25	2	495661385
495665328	Triggered	4	 NoSound	50	2	495665328
495676629	Triggered	1	 Modulated Tone	25	2	495676629
495681371	Triggered	4	 NoSound	50	2	495681371
495690194	Triggered	1	 Modulated Tone	25	2	495690194
495696008	Triggered	4	 NoSound	50	2	495696008
495705031	Triggered	1	 Modulated Tone	25	2	495705031
495711113	Triggered	5	 Modulated Tone	25	2	495711113
495714794	Triggered	8	 NoSound	50	2	495714794
495726756	Triggered	5	 Modulated Tone	25	2	495726756
495730501	Triggered	8	 NoSound	50	2	495730501
495743607	Triggered	5	 Modulated Tone	25	2	495743607
495747477	Triggered	8	 NoSound	50	2	495747477
495752221	Triggered	6	 NoSound	50	2	495752221
495759312	Triggered	5	 Modulated Tone	25	2	495759312
495764654	Triggered	2	 NoSound	50	2	495764654
495774885	Triggered	5	 Modulated Tone	25	2	495774885
495779162	Triggered	2	 NoSound	50	2	495779162
495788315	Triggered	5	 Modulated Tone	25	2	495788315
495792660	Triggered	2	 NoSound	50	2	495792660
495800683	Triggered	5	 Modulated Tone	25	2	495800683
495805360	Triggered	2	 NoSound	50	2	495805360
495810440	Triggered	3	 NoSound	50	2	495810440
495811709	Triggered	4	 NoSound	50	2	495811709
495815988	Triggered	5	 Modulated Tone	25	2	495815988
495820532	Triggered	2	 NoSound	50	2	495820532
495829829	Triggered	5	 Modulated Tone	25	2	495829829
495833902	Triggered	2	 NoSound	50	2	495833902
495841320	Triggered	5	 Modulated Tone	25	2	495841320
495844931	Triggered	8	 NoSound	50	2	495844931
