Ver1.2	2739292400	StartFile	4/14/2020	11:29:08 AM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041420A\SoundData.txt	2739292400
2740648249	Triggered	1	 Modulated Tone	25	2	2740648249
2740651392	Triggered	4	 NoSound	50	2	2740651392
2740662420	Triggered	1	 Modulated Tone	25	2	2740662420
2740666030	Triggered	6	 NoSound	50	2	2740666030
2740673983	Triggered	1	 Modulated Tone	25	2	2740673983
2740677058	Triggered	6	 NoSound	50	2	2740677058
2740683614	Triggered	1	 Modulated Tone	25	2	2740683614
2740686683	Triggered	6	 NoSound	50	2	2740686683
2740693172	Triggered	1	 Modulated Tone	25	2	2740693172
2740696244	Triggered	6	 NoSound	50	2	2740696244
2740702592	Triggered	1	 Modulated Tone	25	2	2740702592
2740706804	Triggered	6	 NoSound	50	2	2740706804
2740726053	Triggered	1	 Modulated Tone	25	2	2740726053
2740730339	Triggered	5	 Modulated Tone	25	2	2740730339
2740733673	Triggered	2	 NoSound	50	2	2740733673
2740745771	Triggered	5	 Modulated Tone	25	2	2740745771
2740749385	Triggered	2	 NoSound	50	2	2740749385
2740761679	Triggered	5	 Modulated Tone	25	2	2740761679
2740764960	Triggered	2	 NoSound	50	2	2740764960
2740776919	Triggered	5	 Modulated Tone	25	2	2740776919
2740780930	Triggered	2	 NoSound	50	2	2740780930
2740794040	Triggered	5	 Modulated Tone	25	2	2740794040
2740797307	Triggered	2	 NoSound	50	2	2740797307
2740809472	Triggered	5	 Modulated Tone	25	2	2740809472
2740813013	Triggered	2	 NoSound	50	2	2740813013
2740829260	Triggered	5	 Modulated Tone	25	2	2740829260
2740832465	Triggered	2	 NoSound	50	2	2740832465
2740845364	Triggered	5	 Modulated Tone	25	2	2740845364
2740848782	Triggered	2	 NoSound	50	2	2740848782
2740861674	Triggered	5	 Modulated Tone	25	2	2740861674
2740865024	Triggered	2	 NoSound	50	2	2740865024
2740878720	Triggered	5	 Modulated Tone	25	2	2740878720
2740882929	Triggered	1	 Modulated Tone	25	2	2740882929
2740886345	Triggered	4	 NoSound	50	2	2740886345
2740902514	Triggered	1	 Modulated Tone	25	2	2740902514
2740905788	Triggered	4	 NoSound	50	2	2740905788
2740924102	Triggered	1	 Modulated Tone	25	2	2740924102
2740927311	Triggered	4	 NoSound	50	2	2740927311
