Ver1.3	3804103	StartFile	6/2/2020	2:31:15 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\060220\SoundData.txt	3804103
4080349	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4080349
4080550	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	4080550
4097441	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	4097441
4097644	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	4097644
4103211	Triggered	4,	 NoSound	40	2	4103211
4112242	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	4112242
4112443	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	4112443
4116690	Triggered	6,	 NoSound	40	2	4116690
4124810	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	4124810
4125011	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	4125011
4136422	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4136422
4136636	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-13kHz	40	2	4136636
4140513	Triggered	8,	 NoSound	40	2	4140513
4151946	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4151946
4152148	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	4152148
4155614	Triggered	2,	 NoSound	40	2	4155614
4170836	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4170836
4171036	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	4171036
4174266	Triggered	2,	 NoSound	40	2	4174266
4186539	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4186539
4186740	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	4186740
4189849	Triggered	2,	 NoSound	40	2	4189849
4196287	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4196287
4196487	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	4196487
4199596	Triggered	8,	 NoSound	40	2	4199596
4206517	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	4206517
4206728	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	4206728
4212050	Triggered	2,	 NoSound	40	2	4212050
