Ver1.3	770273395	StartFile	1/2/2021	11:34:29 AM	E:\BehavioralExperiments\Coco\RawData\010221\SoundData.txt	770273395
770772595	Triggered	2,37,38,39,40,41,	 NoSound	40	2	770772595
770772798	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	770772798
770802338	Triggered	8,52,53,54,55,56,	 NoSound	40	2	770802338
770802539	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	770802539
770886827	Triggered	4,42,43,44,45,46,	 NoSound	40	2	770886827
770887027	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	770887027
770933749	Triggered	6,47,48,49,50,51,	 NoSound	40	2	770933749
770964907	Triggered	2,37,38,39,40,41,	 NoSound	40	2	770964907
770965108	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	770965108
771046174	Triggered	8,52,53,54,55,56,	 NoSound	40	2	771046174
771046376	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	771046376
771141155	Triggered	6,47,48,49,50,51,	 NoSound	40	2	771141155
771141356	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	771141356
771379578	Triggered	2,37,38,39,40,41,	 NoSound	40	2	771379578
771388332	Triggered	4,42,43,44,45,46,	 NoSound	40	2	771388332
771388535	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	771388535
771402771	Triggered	2,37,38,39,40,41,	 NoSound	40	2	771402771
771469212	Triggered	4,42,43,44,45,46,	 NoSound	40	2	771469212
771474091	Triggered	2,37,38,39,40,41,	 NoSound	40	2	771474091
771495612	Triggered	6,47,48,49,50,51,	 NoSound	40	2	771495612
771495812	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	771495812
772205462	Triggered	2,37,38,39,40,41,	 NoSound	40	2	772205462
772205664	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	772205664
772260606	Triggered	6,47,48,49,50,51,	 NoSound	40	2	772260606
772260806	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	772260806
772290751	Triggered	2,37,38,39,40,41,	 NoSound	40	2	772290751
772724081	Triggered	4,42,43,44,45,46,	 NoSound	40	2	772724081
772724282	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	772724282
772760509	Triggered	6,47,48,49,50,51,	 NoSound	40	2	772760509
772760711	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	772760711
772789919	Triggered	2,37,38,39,40,41,	 NoSound	40	2	772789919
772790121	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	772790121
773043846	Triggered	4,42,43,44,45,46,	 NoSound	40	2	773043846
773044048	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	773044048
773074728	Triggered	2,37,38,39,40,41,	 NoSound	40	2	773074728
773074929	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	773074929
773088632	Triggered	8,52,53,54,55,56,	 NoSound	40	2	773088632
773088832	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	773088832
