Ver1.3	433349789	StartFile	7/30/2020	12:26:48 PM	E:\BehavioralExperiments\Gerald\RawData\073020\SoundData.txt	433349789
433607827	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433607827
433617516	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433617516
433626300	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433626300
433637671	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433637671
433645854	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433645854
433654218	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433654218
433662039	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433662039
433671244	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433671244
433682675	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433682675
433690858	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433690858
433698378	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433698378
433706200	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433706200
433722820	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433722820
433735561	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433735561
433744045	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433744045
433751143	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433751143
433760350	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433760350
433769074	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433769074
433777677	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433777677
433786822	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433786822
433794162	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433794162
433803969	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433803969
433812513	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433812513
433822201	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433822201
433830683	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433830683
433842656	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433842656
433850959	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433850959
433857758	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433857758
433865460	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433865460
433872198	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433872198
433880802	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433880802
433889045	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433889045
433898008	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433898008
433906612	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433906612
433917693	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433917693
433929234	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433929234
433937898	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	433937898
433953782	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433953782
433964191	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433964191
433973516	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	433973516
433982120	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	433982120
433992289	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	433992289
434001373	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	434001373
434025319	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	434025319
434034058	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	434034058
434045474	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	434045474
434052995	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	434052995
434069541	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	434069541
434080612	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	434080612
434089456	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	434089456
434101433	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	434101433
434111777	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	434111777
434127670	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	434127670
434137226	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	434137226
434147455	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	434147455
434155638	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	434155638
434164723	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	434164723
434178259	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	434178259
434189512	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	434189512
