Ver1.2	11124449	StartFile	4/16/2020	7:58:03 PM	E:\BehavioralExperiments\Hachi\RawData\041620\SoundData.txt	11124449
12905418	Triggered	5	 Modulated Tone	25	2	12905418
12908698	Triggered	2	 NoSound	50	2	12908698
12925938	Triggered	5	 Modulated Tone	25	2	12925938
12928947	Triggered	2	 NoSound	50	2	12928947
12946203	Triggered	5	 Modulated Tone	25	2	12946203
12948938	Triggered	2	 NoSound	50	2	12948938
12965315	Triggered	5	 Modulated Tone	25	2	12965315
12968120	Triggered	2	 NoSound	50	2	12968120
12983292	Triggered	5	 Modulated Tone	25	2	12983292
12986161	Triggered	2	 NoSound	50	2	12986161
13001468	Triggered	5	 Modulated Tone	25	2	13001468
13004283	Triggered	2	 NoSound	50	2	13004283
13020251	Triggered	5	 Modulated Tone	25	2	13020251
13022926	Triggered	2	 NoSound	50	2	13022926
13037439	Triggered	5	 Modulated Tone	25	2	13037439
13040376	Triggered	2	 NoSound	50	2	13040376
13053737	Triggered	5	 Modulated Tone	25	2	13053737
13057683	Triggered	1	 Modulated Tone	25	2	13057683
13060428	Triggered	4	 NoSound	50	2	13060428
13068648	Triggered	1	 Modulated Tone	25	2	13068648
13072655	Triggered	4	 NoSound	50	2	13072655
13079941	Triggered	1	 Modulated Tone	25	2	13079941
13082745	Triggered	4	 NoSound	50	2	13082745
13089831	Triggered	1	 Modulated Tone	25	2	13089831
13092779	Triggered	6	 NoSound	50	2	13092779
13103206	Triggered	1	 Modulated Tone	25	2	13103206
13135082	Triggered	6	 NoSound	50	2	13135082
13145913	Triggered	1	 Modulated Tone	25	2	13145913
13148990	Triggered	6	 NoSound	50	2	13148990
13159077	Triggered	1	 Modulated Tone	25	2	13159077
13162227	Triggered	6	 NoSound	50	2	13162227
13172580	Triggered	1	 Modulated Tone	25	2	13172580
13175923	Triggered	6	 NoSound	50	2	13175923
13187955	Triggered	1	 Modulated Tone	25	2	13187955
13191368	Triggered	6	 NoSound	50	2	13191368
13210015	Triggered	1	 Modulated Tone	25	2	13210015
13214756	Triggered	5	 Modulated Tone	25	2	13214756
13218032	Triggered	8	 NoSound	50	2	13218032
13233609	Triggered	5	 Modulated Tone	25	2	13233609
13237284	Triggered	8	 NoSound	50	2	13237284
13251929	Triggered	5	 Modulated Tone	25	2	13251929
13254867	Triggered	8	 NoSound	50	2	13254867
13268163	Triggered	5	 Modulated Tone	25	2	13268163
13271105	Triggered	8	 NoSound	50	2	13271105
13284212	Triggered	5	 Modulated Tone	25	2	13284212
13287619	Triggered	8	 NoSound	50	2	13287619
13300788	Triggered	5	 Modulated Tone	25	2	13300788
13303724	Triggered	8	 NoSound	50	2	13303724
13317428	Triggered	5	 Modulated Tone	25	2	13317428
13321367	Triggered	8	 NoSound	50	2	13321367
13335939	Triggered	5	 Modulated Tone	25	2	13335939
13339081	Triggered	8	 NoSound	50	2	13339081
13352180	Triggered	5	 Modulated Tone	25	2	13352180
13355390	Triggered	8	 NoSound	50	2	13355390
13366892	Triggered	5	 Modulated Tone	25	2	13366892
13430920	Triggered	1	 Modulated Tone	25	2	13430920
13434863	Triggered	4	 NoSound	50	2	13434863
13465145	Triggered	1	 Modulated Tone	25	2	13465145
13469026	Triggered	4	 NoSound	50	2	13469026
13478714	Triggered	1	 Modulated Tone	25	2	13478714
13485336	Triggered	4	 NoSound	50	2	13485336
