Ver1.3	1021512753	StartFile	11/2/2020	11:49:04 AM	E:\BehavioralExperiments\Bobo\RawData\110220\SoundData.txt	1021512753
1021969234	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021969234
1021969436	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1021969436
1022018090	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022018090
1022031866	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022031866
1022032067	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1022032067
1022076990	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022076990
1022088663	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1022088663
1022088863	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1022088863
1022193652	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022193652
1022228668	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1022228668
1022228881	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1022228881
1022570289	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022570289
1022900418	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022900418
1022900632	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1022900632
1023092167	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1023092167
1023092371	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1023092371
1023737445	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1023737445
1023737646	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1023737646
1023766624	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1023766624
1023766825	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1023766825
1023785636	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1023785636
1023785838	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1023785838
1023900613	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1023900613
1023900818	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1023900818
1023962468	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1023962468
1023962670	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1023962670
1024060594	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1024060594
1024060795	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1024060795
1024074072	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1024074072
1024074286	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1024074286
1024185077	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1024185077
1024185280	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1024185280
1024278815	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1024278815
1024279016	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1024279016
1024865071	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1024865071
1024865272	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1024865272
1024895213	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1024895213
1024895415	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1024895415
1024937689	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1024937689
1024937891	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1024937891
1024969818	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1024969818
1024976556	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1024976556
1024976759	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1024976759
1025122579	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025122579
1025132025	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1025132025
1025132225	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1025132225
1025143034	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025143034
1025148510	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1025148510
1025148725	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1025148725
1025203261	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025203261
1025210846	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1025210846
1025211047	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1025211047
1025237437	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025237437
1025237640	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1025237640
1025255665	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1025255665
1025255868	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1025255868
1025298986	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025298986
1025299190	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1025299190
1025303678	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1025303678
1025303879	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1025303879
1025330391	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025330391
1025330593	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1025330593
1025337792	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1025337792
1025337993	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1025337993
1025360654	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025360654
1025360868	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1025360868
1025366854	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1025366854
1025367056	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1025367056
1025395852	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025395852
1025396054	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1025396054
1025401327	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1025401327
1025401527	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1025401527
1025464019	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025464019
1025464220	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1025464220
1025468052	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1025468052
1025468253	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1025468253
1025569432	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1025569432
1025569634	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1025569634
1025659918	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1025659918
1026415842	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1026415842
1026416042	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1026416042
1026432868	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1026432868
1026453866	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1026453866
1026454066	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1026454066
1026692003	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1026692003
1027106364	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1027106364
1027106566	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1027106566
1027122789	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1027122789
1027179706	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1027179706
1027179908	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1027179908
1027193603	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1027193603
1027193807	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1027193807
1027216045	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1027216045
1027216247	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1027216247
1027242699	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1027242699
1027242902	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1027242902
1027255695	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1027255695
1027255896	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1027255896
