Ver1.3	734905617	StartFile	3/19/2021	9:37:58 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\031921\SoundData.txt	734905617
735310729	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735310729
735310930	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	735310930
735344891	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735344891
735351368	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735351368
735351570	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	735351570
735360325	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735360325
735360527	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	735360527
735364602	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735364602
735364804	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	735364804
735371823	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735371823
735372025	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	735372025
735383653	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735383653
735387262	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735387262
735394481	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735394481
735394685	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	735394685
735400027	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735400027
735400228	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735400228
735406244	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735406244
735406458	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	735406458
735411659	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735411659
735444212	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735444212
735444416	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	735444416
735449691	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735449691
735449892	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735449893
735463193	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735463193
735463395	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	735463395
735469209	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735469209
735472884	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735472884
735473087	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	735473087
735477967	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735477967
735478168	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735478168
735489328	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735489328
735489529	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	735489529
735495411	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735495411
735495623	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735495623
735537587	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735537587
735537788	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	735537788
735552626	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735552626
735552831	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	735552831
735564994	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735564994
735565196	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	735565196
735568267	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735568267
735568472	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	735568472
735579296	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735579296
735579498	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	735579498
735595873	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735595873
735601085	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735601085
735601287	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	735601287
735612582	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735612582
735612786	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	735612786
735616326	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735616326
735616528	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	735616528
735627221	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735627221
735627425	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	735627425
735630228	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735630228
735630440	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	735630440
735636177	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735636177
735636381	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	735636381
735639586	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735639586
735639788	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	735639788
735651550	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735651550
735651752	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	735651752
735654359	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735654359
735654560	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	735654560
735665121	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735665121
735665323	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	735665323
735667993	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735667993
735668195	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	735668195
735678623	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735678623
735678825	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	735678825
735682298	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735682298
735682500	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	735682500
735693132	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735693132
735693334	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	735693334
735705024	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735705024
735708234	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735708234
735708436	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	735708436
735720263	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735720263
735720465	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	735720465
735724675	Triggered	4,42,43,44,45,46,	 NoSound	40	2	735724675
735729888	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735729888
735730089	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	735730089
735743657	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735743657
735747067	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735747067
735747267	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735747267
735752280	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735752280
735752496	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	735752496
735755890	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735755890
735756101	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735756101
735762506	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735762506
735762710	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	735762710
735766584	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735766584
735766785	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735766785
735773736	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735773736
735773939	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	735773939
735776543	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735776543
735776744	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735776744
735784096	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735784096
735784299	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	735784299
735787841	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735787841
735788042	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735788042
735795526	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735795526
735795728	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	735795728
735798869	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735798869
735799069	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735799069
735808494	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735808494
735808697	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	735808697
735812705	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735812705
735812905	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	735812905
735818653	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735818653
735818854	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	735818854
735836768	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735836768
735842049	Triggered	4,42,43,44,45,46,	 NoSound	40	2	735842049
735842252	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	735842252
735856084	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735856084
735856286	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	735856286
735859627	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735859627
735859830	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	735859830
735871258	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735871258
735871460	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	735871460
735885427	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735885427
735885629	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735885629
735892913	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735892913
735893118	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	735893118
735896523	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735896523
735920118	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735920118
735920322	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	735920322
735924596	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735924596
735928078	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735928078
735928283	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	735928283
735934088	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735934088
735934289	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735934289
735940771	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735940771
735940974	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	735940974
735944649	Triggered	2,37,38,39,40,41,	 NoSound	40	2	735944649
735948859	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735948859
735949061	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	735949061
735954274	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735954274
735954486	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735954486
735961224	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735961224
735961426	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	735961426
735965437	Triggered	8,52,53,54,55,56,	 NoSound	40	2	735965437
735965638	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	735965638
735973324	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	735973324
735973525	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	735973525
735991904	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	735991904
735996316	Triggered	6,47,48,49,50,51,	 NoSound	40	2	735996316
736007880	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	736007880
736008083	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	736008083
736013495	Triggered	4,42,43,44,45,46,	 NoSound	40	2	736013495
736013699	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	736013699
736027731	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	736027731
736027932	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	736027932
736042637	Triggered	8,52,53,54,55,56,	 NoSound	40	2	736042637
736042842	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	736042842
736055939	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	736055939
736056143	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	736056143
736058747	Triggered	8,52,53,54,55,56,	 NoSound	40	2	736058747
736058950	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	736058950
736071853	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	736071853
