Ver1.3	163961835	StartFile	7/27/2020	9:37:00 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\072720A\SoundData.txt	163961835
164340902	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	164340902
164341104	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	164341104
164355274	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	164355274
164376661	Triggered	4,42,43,44,45,46,	 NoSound	40	2	164376661
164376863	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	164376863
164407279	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	164407279
164407484	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	164407484
164412957	Triggered	6,47,48,49,50,51,	 NoSound	40	2	164412957
164419975	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	164419975
164420178	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	164420178
164424455	Triggered	4,42,43,44,45,46,	 NoSound	40	2	164424455
164424656	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	164424656
164441432	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	164441432
164441635	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	164441635
164445710	Triggered	4,42,43,44,45,46,	 NoSound	40	2	164445710
164445912	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	164445912
164463235	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	164463235
164463438	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	164463438
164467231	Triggered	4,42,43,44,45,46,	 NoSound	40	2	164467231
164467433	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	164467433
164485414	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	164485414
164485617	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	164485617
