Ver1.3	763810486	StartFile	12/18/2020	2:34:49 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\121820\SoundData.txt	763810486
764555214	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764555214
764562166	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764562166
764581884	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764581884
764582085	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764582085
764591910	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764591910
764592114	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	764592114
764595988	Triggered	4,42,43,44,45,46,	 NoSound	40	2	764595988
764596199	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	764596199
764603206	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764603206
764603411	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	764603411
764608219	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764608219
764608420	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764608420
764620057	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764620057
764620258	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	764620258
764624260	Triggered	4,42,43,44,45,46,	 NoSound	40	2	764624260
764624461	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	764624461
764631948	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764631948
764632150	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	764632150
764636292	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764636292
764636492	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764636492
764648860	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764648860
764649062	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	764649062
764653804	Triggered	4,42,43,44,45,46,	 NoSound	40	2	764653804
764654005	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	764654005
764663095	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764663095
764663307	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	764663307
764667040	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764667040
764667240	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	764667240
764676128	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764676128
764676329	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	764676329
764686361	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764686361
764690500	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764690500
764690701	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764690701
764705739	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764705739
764709282	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764709282
764709485	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764709485
764720112	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764720112
764723387	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764723387
764723588	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764723588
764736085	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764736085
764736288	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	764736288
764739428	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764739428
764739630	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764739630
764752661	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764752661
764752865	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	764752865
764756873	Triggered	2,37,38,39,40,41,	 NoSound	40	2	764756873
764757074	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	764757074
764768570	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764768570
764768773	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	764768773
764772314	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764772314
764772515	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764772515
764784278	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764784278
764784481	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	764784481
764788020	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764788020
764788222	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764788222
764799852	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764799852
764800053	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	764800053
764803660	Triggered	2,37,38,39,40,41,	 NoSound	40	2	764803661
764803862	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	764803862
764814023	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764814023
