Ver1.3	42855613	StartFile	6/29/2020	11:13:19 AM	E:\BehavioralExperiments\Twenty\RawData\062920\SoundData.txt	42855613
43893798	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	43893798
44287764	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	44287764
44465012	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	44465012
44504240	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	44504240
44593587	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	44593587
44691837	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	44691837
45359017	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	45359017
45434647	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	45434647
45998280	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	45998280
46449586	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	46449586
