Ver1.2	2225699723	StartFile	4/8/2020	12:49:15 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\040820\Run 2\SoundData.txt	2225699723
2226647090	Triggered	1	 PureTone-5kHz	50	2	2226647090
2226651101	Triggered	5	 PureTone-5kHz	50	2	2226651101
2226653841	Triggered	2	 NoSound	50	2	2226653841
2226660324	Triggered	5	 PureTone-5kHz	50	2	2226660324
2226664401	Triggered	1	 PureTone-5kHz	50	2	2226664401
2226672890	Triggered	2	 NoSound	50	2	2226672890
2226678773	Triggered	5	 PureTone-5kHz	50	2	2226678773
2226682583	Triggered	2	 NoSound	50	2	2226682583
2226691072	Triggered	5	 PureTone-5kHz	50	2	2226691072
2226693815	Triggered	8	 NoSound	50	2	2226693815
2226707648	Triggered	5	 PureTone-5kHz	50	2	2226707648
2226716540	Triggered	1	 PureTone-5kHz	50	2	2226716540
2226719278	Triggered	6	 NoSound	50	2	2226719278
2226727371	Triggered	1	 PureTone-5kHz	50	2	2226727371
2226730708	Triggered	6	 NoSound	50	2	2226730708
2226737859	Triggered	1	 PureTone-5kHz	50	2	2226737859
2226741134	Triggered	6	 NoSound	50	2	2226741134
2226748688	Triggered	1	 PureTone-5kHz	50	2	2226748688
2226751562	Triggered	4	 NoSound	50	2	2226751562
2226759249	Triggered	1	 PureTone-5kHz	50	2	2226759249
2226763259	Triggered	5	 PureTone-5kHz	50	2	2226763259
2226765933	Triggered	8	 NoSound	50	2	2226765933
2226779901	Triggered	5	 PureTone-5kHz	50	2	2226779901
2226782777	Triggered	8	 NoSound	50	2	2226782777
2226793874	Triggered	5	 PureTone-5kHz	50	2	2226793874
2226796613	Triggered	8	 NoSound	50	2	2226796613
2226807842	Triggered	5	 PureTone-5kHz	50	2	2226807842
2226810581	Triggered	8	 NoSound	50	2	2226810581
2226821544	Triggered	5	 PureTone-5kHz	50	2	2226821544
2226825355	Triggered	1	 PureTone-5kHz	50	2	2226825355
2226828762	Triggered	6	 NoSound	50	2	2226828762
2226833910	Triggered	1	 PureTone-5kHz	50	2	2226833910
2226838386	Triggered	5	 PureTone-5kHz	50	2	2226838386
2226852758	Triggered	4	 NoSound	50	2	2226852758
2226865593	Triggered	6	 NoSound	50	2	2226865593
2226871006	Triggered	1	 PureTone-5kHz	50	2	2226871006
2226875218	Triggered	6	 NoSound	50	2	2226875218
2226879497	Triggered	1	 PureTone-5kHz	50	2	2226879497
2226882307	Triggered	4	 NoSound	50	2	2226882307
2226892462	Triggered	1	 PureTone-5kHz	50	2	2226892462
2226899079	Triggered	5	 PureTone-5kHz	50	2	2226899079
2226901819	Triggered	8	 NoSound	50	2	2226901819
