Ver1.3	99893873	StartFile	7/23/2020	12:41:15 PM	E:\BehavioralExperiments\Gerald\RawData\072320\SoundData.txt	99893873
100055372	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100055372
100071676	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100071676
100087440	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100087440
100165414	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100165414
100183526	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100183526
100218000	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100218000
100233342	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100233342
100242487	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100242487
100251393	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100251393
100265530	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100265530
100277383	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100277383
100291461	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100291461
100299644	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100299644
100310776	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100310776
100321364	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100321364
100331231	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100331231
100340739	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100340739
100350906	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100350906
100360833	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100360833
100372939	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100372939
100413118	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100413118
100428767	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100428767
100441636	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100441636
100451331	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100451331
100462214	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100462214
100470035	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100470035
100477857	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100477857
100492836	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100492836
100505834	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100505834
100521837	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100521837
100530561	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100530561
100545963	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100545963
100554386	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100554386
100563052	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100563052
100571654	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100571654
100582077	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100582077
100590425	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100590425
100600773	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100600773
100643191	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100643191
100657450	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	100657450
100673576	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100673576
100687955	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100687955
100712323	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	100712323
100724968	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	100724968
100747519	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	100747519
101091605	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	101091605
101105024	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	101105024
101135046	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	101135046
101148703	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	101148703
101789528	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	101789528
101804509	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	101804509
101822499	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	101822499
101835916	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	101835916
101849220	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	101849220
101866962	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	101866962
101880560	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	101880560
101892713	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	101892713
101924841	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	101924841
101943372	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	101943372
101957511	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	101957511
102028026	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	102028026
102042106	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	102042106
102055943	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	102055943
102078867	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	102078867
102097337	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	102097337
102114303	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	102114303
102194805	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	102194805
102221578	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	102221578
102264717	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	102264717
102316643	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	102316643
102331441	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	102331441
