Ver1.3	944670413	StartFile	1/4/2021	12:01:06 PM	E:\BehavioralExperiments\Bobo\RawData\010421\SoundData.txt	944670413
945045424	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945045424
945055231	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945055231
945061374	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945061374
945061575	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945061575
945072078	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945072078
945083509	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945083509
945089645	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945089645
945100115	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945100115
945100325	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945100325
945114435	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945114435
945121293	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945121293
945121495	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945121495
945133934	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945133934
945134134	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945134134
945143554	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945143554
945148127	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945148127
945148328	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945148328
945157754	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945157754
945157954	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945157954
945163830	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945163830
945169666	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945169666
945176886	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945176886
945177086	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945177086
945188859	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945188859
945189059	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945189059
945197403	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945197403
945197603	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945197603
945204623	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945204623
945204824	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945204824
945209858	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945209858
945210058	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945210058
945218160	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945218160
945218361	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945218361
945225379	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945225379
945225581	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945225581
945232239	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945232239
945237660	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945237660
945237860	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945237860
945242710	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945242710
945242910	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945242910
945249087	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945249087
945249288	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945249288
945258892	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945258892
945263826	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945263826
945264029	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945264029
945296135	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945296135
945302272	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945302272
945302472	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945302472
945312983	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945312983
945320561	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945320561
945320762	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945320762
945325618	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945325618
945325819	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945325819
945332776	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945332776
945353534	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945353534
945353734	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945353734
945358647	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945358647
945358848	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	945358848
945367012	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945367012
945367212	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945367212
945374351	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945374351
945380849	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945380849
945386745	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945386745
945386946	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945386946
945394266	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945394266
945400101	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945400101
945400302	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945400302
945408585	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945408585
945408785	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945408785
945416045	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945416045
945416245	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	945416245
945425130	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945425130
945425330	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945425330
945431940	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945431940
945437646	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945437646
945442698	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945442698
945442900	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945442900
945452026	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945452026
945457440	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945457440
945457640	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945457640
945464419	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945464419
945472601	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945472601
945472802	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945472802
945480002	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945480002
945485477	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945485477
945485679	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945485679
945493721	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945493721
945493921	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945493921
945499375	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945499375
945499575	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945499575
945509423	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945509423
945509624	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	945509624
945520134	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945520134
945520345	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945520345
945528496	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945528496
945533489	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945533489
945533692	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945533692
945543717	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945543717
945543917	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945543917
945549673	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945549673
945555209	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945555209
945559841	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945559841
945565017	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945565017
945565218	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945565218
945574281	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945574281
945574481	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945574481
945584872	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945584872
945585073	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945585073
945596663	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945596663
945601657	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945601657
945601858	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945601858
945611282	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945611282
945617060	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945617060
945617262	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945617262
945628009	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945628009
945631318	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945631318
945631519	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945631519
945639020	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945639020
945639221	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945639221
945645938	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945645938
945646139	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945646139
945652317	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945652317
945652518	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945652518
945665553	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945665553
945665753	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945665753
945672291	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945672291
945672492	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945672492
945678548	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945678548
945678748	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945678748
945685527	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945685527
945689739	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945689739
945689939	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945689939
945696958	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945696958
945697159	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945697159
945707128	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945707128
945707328	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945707328
945715069	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945715069
945720314	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945720314
945720514	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945720514
945729449	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945729449
945729649	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945729649
945741663	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945741663
945741863	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945741863
945746776	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945746776
945746978	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945746978
945755079	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945755079
945755280	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945755280
945768858	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945768858
945769059	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945769059
945776920	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945776920
945782755	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945782755
945788954	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945788954
945789154	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	945789154
945802552	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945802552
945802753	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	945802753
945808207	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945808207
945808408	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945808408
945820059	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945820059
945820260	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945820260
945831431	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945831431
945831643	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945831643
945840455	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945840455
945840656	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945840656
945850141	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945850141
945850341	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	945850341
945863919	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945863919
945864121	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945864121
945874149	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945874149
945874351	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	945874351
945882751	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945882751
945882952	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945882952
945896169	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945896169
945899659	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945899659
945899859	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945899859
945905253	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945905253
945905453	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	945905453
945915481	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945915481
945915683	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	945915683
945924868	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945924868
945925069	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	945925069
945935757	Triggered	2,37,38,39,40,41,	 NoSound	40	2	945935757
945935957	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	945935957
945941412	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945941412
945947790	Triggered	8,52,53,54,55,56,	 NoSound	40	2	945947790
945947990	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	945947990
945954771	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945954771
945954971	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	945954971
946002662	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946002662
946002862	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	946002862
946010302	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946010302
946010503	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	946010503
946020290	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946020290
946020491	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946020491
946031240	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946031240
