Ver1.2	1915309991	StartFile	4/4/2020	10:36:05 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\040420\SoundData.txt	1915309991
1915540866	Triggered	6	 NoSound	50	2	1915540866
1915549561	Triggered	5	 PureTone-5kHz	50	2	1915549561
1915553043	Triggered	2	 NoSound	50	2	1915553043
1915557186	Triggered	3	 NoSound	50	2	1915557186
1915558389	Triggered	4	 NoSound	50	2	1915558389
1915568878	Triggered	5	 PureTone-5kHz	50	2	1915568878
1915572222	Triggered	2	 NoSound	50	2	1915572222
1915579973	Triggered	6	 NoSound	50	2	1915579973
1915584383	Triggered	7	 NoSound	50	2	1915584383
1915585653	Triggered	8	 NoSound	50	2	1915585653
1915593546	Triggered	5	 PureTone-5kHz	50	2	1915593546
1915596556	Triggered	2	 NoSound	50	2	1915596556
1915601300	Triggered	5	 PureTone-5kHz	50	2	1915601300
1915604571	Triggered	8	 NoSound	50	2	1915604571
1915615666	Triggered	5	 PureTone-5kHz	50	2	1915615666
1915619276	Triggered	1	 PureTone-5kHz	50	2	1915619276
1915622083	Triggered	6	 NoSound	50	2	1915622083
1915635786	Triggered	1	 PureTone-5kHz	50	2	1915635786
1915638595	Triggered	6	 NoSound	50	2	1915638595
1915649423	Triggered	1	 PureTone-5kHz	50	2	1915649423
1915652230	Triggered	6	 NoSound	50	2	1915652230
1915662325	Triggered	1	 PureTone-5kHz	50	2	1915662325
1915665329	Triggered	6	 NoSound	50	2	1915665329
1915674887	Triggered	1	 PureTone-5kHz	50	2	1915674887
1915678103	Triggered	5	 PureTone-5kHz	50	2	1915678103
1915681039	Triggered	2	 NoSound	50	2	1915681039
1915689524	Triggered	5	 PureTone-5kHz	50	2	1915689524
1915692274	Triggered	2	 NoSound	50	2	1915692274
1915702224	Triggered	5	 PureTone-5kHz	50	2	1915702224
1915705445	Triggered	2	 NoSound	50	2	1915705445
1915721746	Triggered	5	 PureTone-5kHz	50	2	1915721746
1915724550	Triggered	8	 NoSound	50	2	1915724550
1915736246	Triggered	5	 PureTone-5kHz	50	2	1915736246
1915738792	Triggered	8	 NoSound	50	2	1915738792
1915744941	Triggered	1	 PureTone-5kHz	50	2	1915744941
1915748077	Triggered	4	 NoSound	50	2	1915748077
1915754695	Triggered	1	 PureTone-5kHz	50	2	1915754695
1915757905	Triggered	4	 NoSound	50	2	1915757905
1915765925	Triggered	1	 PureTone-5kHz	50	2	1915765925
1915768730	Triggered	4	 NoSound	50	2	1915768730
1915774548	Triggered	1	 PureTone-5kHz	50	2	1915774548
1915777290	Triggered	6	 NoSound	50	2	1915777290
1915784238	Triggered	1	 PureTone-5kHz	50	2	1915784238
1915790662	Triggered	4	 NoSound	50	2	1915790662
1915795001	Triggered	5	 PureTone-5kHz	50	2	1915795001
1915797745	Triggered	2	 NoSound	50	2	1915797745
1915809972	Triggered	5	 PureTone-5kHz	50	2	1915809972
1915812712	Triggered	2	 NoSound	50	2	1915812712
1915817926	Triggered	5	 PureTone-5kHz	50	2	1915817926
1915820933	Triggered	2	 NoSound	50	2	1915820933
1915826147	Triggered	5	 PureTone-5kHz	50	2	1915826147
1915829700	Triggered	8	 NoSound	50	2	1915829700
1915838049	Triggered	1	 PureTone-5kHz	50	2	1915838049
1915841388	Triggered	5	 PureTone-5kHz	50	2	1915841388
1915844194	Triggered	8	 NoSound	50	2	1915844194
1915851949	Triggered	1	 PureTone-5kHz	50	2	1915851949
1915854694	Triggered	6	 NoSound	50	2	1915854694
1915861309	Triggered	1	 PureTone-5kHz	50	2	1915861309
1915864179	Triggered	6	 NoSound	50	2	1915864179
1915866988	Triggered	7	 NoSound	50	2	1915866988
1915868057	Triggered	8	 NoSound	50	2	1915868057
1915872201	Triggered	1	 PureTone-5kHz	50	2	1915872201
1915875544	Triggered	6	 NoSound	50	2	1915875544
1915881161	Triggered	2	 NoSound	50	2	1915881161
1915893056	Triggered	1	 PureTone-5kHz	50	2	1915893056
1915895795	Triggered	4	 NoSound	50	2	1915895795
1915910906	Triggered	1	 PureTone-5kHz	50	2	1915910906
1915913915	Triggered	5	 PureTone-5kHz	50	2	1915913915
1915916317	Triggered	8	 NoSound	50	2	1915916317
1915925139	Triggered	5	 PureTone-5kHz	50	2	1915925139
1915927754	Triggered	8	 NoSound	50	2	1915927754
1915935499	Triggered	5	 PureTone-5kHz	50	2	1915935499
1915937974	Triggered	8	 NoSound	50	2	1915937974
1915949338	Triggered	8	 NoSound	50	2	1915949338
1915954081	Triggered	5	 PureTone-5kHz	50	2	1915954081
1915957424	Triggered	2	 NoSound	50	2	1915957424
1915963244	Triggered	5	 PureTone-5kHz	50	2	1915963244
1915966180	Triggered	1	 PureTone-5kHz	50	2	1915966180
1915968852	Triggered	6	 NoSound	50	2	1915968852
1915977750	Triggered	1	 PureTone-5kHz	50	2	1915977750
1915980484	Triggered	6	 NoSound	50	2	1915980484
1915987909	Triggered	1	 PureTone-5kHz	50	2	1915987909
1915990775	Triggered	6	 NoSound	50	2	1915990775
1915998329	Triggered	1	 PureTone-5kHz	50	2	1915998329
1916001070	Triggered	4	 NoSound	50	2	1916001070
1916007153	Triggered	1	 PureTone-5kHz	50	2	1916007153
1916010696	Triggered	5	 PureTone-5kHz	50	2	1916010696
1916013102	Triggered	8	 NoSound	50	2	1916013102
1916025608	Triggered	5	 PureTone-5kHz	50	2	1916025608
1916028144	Triggered	8	 NoSound	50	2	1916028144
1916039103	Triggered	5	 PureTone-5kHz	50	2	1916039103
1916041374	Triggered	8	 NoSound	50	2	1916041374
1916052009	Triggered	5	 PureTone-5kHz	50	2	1916052009
1916054274	Triggered	8	 NoSound	50	2	1916054274
1916065372	Triggered	5	 PureTone-5kHz	50	2	1916065372
1916067577	Triggered	8	 NoSound	50	2	1916067577
1916071722	Triggered	1	 PureTone-5kHz	50	2	1916071722
1916074267	Triggered	4	 NoSound	50	2	1916074267
1916087162	Triggered	1	 PureTone-5kHz	50	2	1916087162
1916089903	Triggered	4	 NoSound	50	2	1916089903
1916096126	Triggered	1	 PureTone-5kHz	50	2	1916096127
1916098458	Triggered	4	 NoSound	50	2	1916098458
1916104607	Triggered	1	 PureTone-5kHz	50	2	1916104607
1916107146	Triggered	6	 NoSound	50	2	1916107146
1916116972	Triggered	1	 PureTone-5kHz	50	2	1916116972
1916120047	Triggered	5	 PureTone-5kHz	50	2	1916120047
1916123255	Triggered	2	 NoSound	50	2	1916123255
1916131210	Triggered	5	 PureTone-5kHz	50	2	1916131210
1916133955	Triggered	2	 NoSound	50	2	1916133955
1916138428	Triggered	5	 PureTone-5kHz	50	2	1916138428
1916144179	Triggered	2	 NoSound	50	2	1916144179
1916149056	Triggered	5	 PureTone-5kHz	50	2	1916149056
1916151599	Triggered	8	 NoSound	50	2	1916151599
1916158546	Triggered	5	 PureTone-5kHz	50	2	1916158546
1916161489	Triggered	1	 PureTone-5kHz	50	2	1916161489
1916163965	Triggered	6	 NoSound	50	2	1916163965
1916172531	Triggered	7	 NoSound	50	2	1916172531
1916173797	Triggered	8	 NoSound	50	2	1916173797
1916180807	Triggered	1	 PureTone-5kHz	50	2	1916180807
1916184013	Triggered	6	 NoSound	50	2	1916184013
1916189962	Triggered	1	 PureTone-5kHz	50	2	1916189962
1916192905	Triggered	6	 NoSound	50	2	1916192905
1916198789	Triggered	1	 PureTone-5kHz	50	2	1916198789
1916201869	Triggered	4	 NoSound	50	2	1916201869
1916213424	Triggered	1	 PureTone-5kHz	50	2	1916213424
1916216900	Triggered	5	 PureTone-5kHz	50	2	1916216900
1916219640	Triggered	2	 NoSound	50	2	1916219640
1916227393	Triggered	5	 PureTone-5kHz	50	2	1916227393
1916230267	Triggered	2	 NoSound	50	2	1916230267
1916237088	Triggered	5	 PureTone-5kHz	50	2	1916237088
1916240026	Triggered	2	 NoSound	50	2	1916240026
1916247048	Triggered	5	 PureTone-5kHz	50	2	1916247048
1916249852	Triggered	8	 NoSound	50	2	1916249852
1916255935	Triggered	5	 PureTone-5kHz	50	2	1916255935
1916259218	Triggered	1	 PureTone-5kHz	50	2	1916259218
1916261956	Triggered	6	 NoSound	50	2	1916261956
1916269770	Triggered	1	 PureTone-5kHz	50	2	1916269770
1916272978	Triggered	6	 NoSound	50	2	1916272978
1916279668	Triggered	1	 PureTone-5kHz	50	2	1916279668
1916282673	Triggered	6	 NoSound	50	2	1916282673
1916289759	Triggered	1	 PureTone-5kHz	50	2	1916289759
1916292563	Triggered	4	 NoSound	50	2	1916292563
1916321043	Triggered	1	 PureTone-5kHz	50	2	1916321043
1916324512	Triggered	5	 PureTone-5kHz	50	2	1916324512
1916327261	Triggered	2	 NoSound	50	2	1916327261
1916338353	Triggered	5	 PureTone-5kHz	50	2	1916338353
1916341225	Triggered	2	 NoSound	50	2	1916341225
1916356068	Triggered	5	 PureTone-5kHz	50	2	1916356068
1916359139	Triggered	2	 NoSound	50	2	1916359139
1916369633	Triggered	5	 PureTone-5kHz	50	2	1916369633
1916373244	Triggered	2	 NoSound	50	2	1916373244
1916383804	Triggered	5	 PureTone-5kHz	50	2	1916383804
1916387278	Triggered	1	 PureTone-5kHz	50	2	1916387278
1916389824	Triggered	4	 NoSound	50	2	1916389824
1916405794	Triggered	1	 PureTone-5kHz	50	2	1916405794
1916408334	Triggered	4	 NoSound	50	2	1916408334
1916423706	Triggered	1	 PureTone-5kHz	50	2	1916423706
1916426051	Triggered	4	 NoSound	50	2	1916426051
1916442091	Triggered	1	 PureTone-5kHz	50	2	1916442091
1916444692	Triggered	4	 NoSound	50	2	1916444692
1916459130	Triggered	1	 PureTone-5kHz	50	2	1916459130
1916462939	Triggered	5	 PureTone-5kHz	50	2	1916462939
1916465480	Triggered	8	 NoSound	50	2	1916465480
1916483663	Triggered	6	 NoSound	50	2	1916483663
1916494297	Triggered	5	 PureTone-5kHz	50	2	1916494297
1916497430	Triggered	8	 NoSound	50	2	1916497430
1916504915	Triggered	1	 PureTone-5kHz	50	2	1916504915
1916511536	Triggered	5	 PureTone-5kHz	50	2	1916511536
1916517222	Triggered	8	 NoSound	50	2	1916517222
1916532254	Triggered	5	 PureTone-5kHz	50	2	1916532254
1916535263	Triggered	2	 NoSound	50	2	1916535263
1916545087	Triggered	5	 PureTone-5kHz	50	2	1916545087
1916548102	Triggered	2	 NoSound	50	2	1916548102
1916553046	Triggered	3	 NoSound	50	2	1916553046
1916554311	Triggered	4	 NoSound	50	2	1916554311
1916573768	Triggered	1	 PureTone-5kHz	50	2	1916573768
1916576838	Triggered	6	 NoSound	50	2	1916576838
1916587867	Triggered	1	 PureTone-5kHz	50	2	1916587867
1916590540	Triggered	6	 NoSound	50	2	1916590540
1916600633	Triggered	1	 PureTone-5kHz	50	2	1916600633
1916603374	Triggered	6	 NoSound	50	2	1916603374
1916612529	Triggered	1	 PureTone-5kHz	50	2	1916612529
1916615611	Triggered	4	 NoSound	50	2	1916615611
1916628504	Triggered	1	 PureTone-5kHz	50	2	1916628504
1916631915	Triggered	5	 PureTone-5kHz	50	2	1916631915
1916634723	Triggered	8	 NoSound	50	2	1916634723
1916644947	Triggered	5	 PureTone-5kHz	50	2	1916644947
1916647421	Triggered	8	 NoSound	50	2	1916647421
1916657114	Triggered	5	 PureTone-5kHz	50	2	1916657114
1916659719	Triggered	8	 NoSound	50	2	1916659719
1916668743	Triggered	5	 PureTone-5kHz	50	2	1916668743
1916671485	Triggered	8	 NoSound	50	2	1916671485
1916681248	Triggered	5	 PureTone-5kHz	50	2	1916681248
1916684852	Triggered	1	 PureTone-5kHz	50	2	1916684852
1916687726	Triggered	4	 NoSound	50	2	1916687726
1916694543	Triggered	1	 PureTone-5kHz	50	2	1916694543
1916698823	Triggered	4	 NoSound	50	2	1916698823
1916705907	Triggered	1	 PureTone-5kHz	50	2	1916705907
1916712200	Triggered	5	 PureTone-5kHz	50	2	1916712200
1916715465	Triggered	4	 NoSound	50	2	1916715465
1916719810	Triggered	1	 PureTone-5kHz	50	2	1916719810
1916722554	Triggered	6	 NoSound	50	2	1916722554
1916732716	Triggered	1	 PureTone-5kHz	50	2	1916732716
1916738131	Triggered	5	 PureTone-5kHz	50	2	1916738131
1916741004	Triggered	8	 NoSound	50	2	1916741004
1916751292	Triggered	5	 PureTone-5kHz	50	2	1916751292
1916754099	Triggered	8	 NoSound	50	2	1916754099
1916761323	Triggered	5	 PureTone-5kHz	50	2	1916761323
1916764125	Triggered	8	 NoSound	50	2	1916764125
1916770345	Triggered	5	 PureTone-5kHz	50	2	1916770345
1916773755	Triggered	2	 NoSound	50	2	1916773755
1916784379	Triggered	5	 PureTone-5kHz	50	2	1916784379
1916787653	Triggered	1	 PureTone-5kHz	50	2	1916787653
1916790200	Triggered	6	 NoSound	50	2	1916790200
1916799351	Triggered	1	 PureTone-5kHz	50	2	1916799351
1916801897	Triggered	7	 NoSound	50	2	1916801897
1916802899	Triggered	6	 NoSound	50	2	1916802899
1916810582	Triggered	1	 PureTone-5kHz	50	2	1916810582
1916813386	Triggered	6	 NoSound	50	2	1916813386
1916821742	Triggered	1	 PureTone-5kHz	50	2	1916821742
1916824682	Triggered	6	 NoSound	50	2	1916824682
1916832644	Triggered	1	 PureTone-5kHz	50	2	1916832644
1916838792	Triggered	5	 PureTone-5kHz	50	2	1916838792
1916841661	Triggered	8	 NoSound	50	2	1916841661
1916847274	Triggered	5	 PureTone-5kHz	50	2	1916847274
1916852159	Triggered	8	 NoSound	50	2	1916852159
1916858043	Triggered	1	 PureTone-5kHz	50	2	1916858043
1916861582	Triggered	5	 PureTone-5kHz	50	2	1916861582
1916869334	Triggered	8	 NoSound	50	2	1916869334
1916872678	Triggered	7	 NoSound	50	2	1916872678
1916874614	Triggered	6	 NoSound	50	2	1916874614
1916886911	Triggered	5	 PureTone-5kHz	50	2	1916886911
1916889720	Triggered	2	 NoSound	50	2	1916889720
1916901082	Triggered	5	 PureTone-5kHz	50	2	1916901082
1916904289	Triggered	1	 PureTone-5kHz	50	2	1916904289
1916906898	Triggered	6	 NoSound	50	2	1916906898
1916913521	Triggered	1	 PureTone-5kHz	50	2	1916913521
1916916529	Triggered	6	 NoSound	50	2	1916916529
1916925077	Triggered	1	 PureTone-5kHz	50	2	1916925077
1916928023	Triggered	6	 NoSound	50	2	1916928023
1916935437	Triggered	1	 PureTone-5kHz	50	2	1916935437
1916938383	Triggered	6	 NoSound	50	2	1916938383
1916944193	Triggered	1	 PureTone-5kHz	50	2	1916944193
1916947738	Triggered	5	 PureTone-5kHz	50	2	1916947738
1916950416	Triggered	2	 NoSound	50	2	1916950416
1916957363	Triggered	5	 PureTone-5kHz	50	2	1916957363
1916960372	Triggered	2	 NoSound	50	2	1916960372
1916967590	Triggered	5	 PureTone-5kHz	50	2	1916967590
1916970662	Triggered	2	 NoSound	50	2	1916970662
