Ver1.3	486570652	StartFile	11/16/2020	9:40:07 AM	E:\BehavioralExperiments\Bobo\RawData\111620\SoundData.txt	486570652
487939283	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	487939283
487939483	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	487939483
487983930	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487983930
487988609	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487988609
487988809	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487988809
488010399	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488010399
488014275	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488014275
488014475	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488014475
488023232	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488023232
488027710	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488027710
488027911	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488027911
488038807	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488038807
488042951	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488042951
488043152	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488043152
488051708	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488051708
488051910	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	488051910
488056118	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488056118
488056319	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488056319
488070890	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488070890
488071095	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	488071095
488074834	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488074834
488075035	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488075035
488083456	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488083456
488083660	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	488083660
488087332	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488087332
488087535	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488087535
488096624	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488096624
488096828	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	488096828
488100701	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488100701
488100901	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488100901
488109523	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488109523
488109725	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	488109725
488113534	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488113534
488113735	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488113735
488122091	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488122091
488122292	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	488122292
488126501	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488126501
488126702	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488126702
488136461	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488136461
488136662	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	488136662
488158384	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488158384
488163397	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488163397
488163599	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488163599
488183917	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488183917
488188396	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488188397
488188598	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488188598
488199625	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488199625
488205507	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488205507
488205708	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	488205708
488223153	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488223153
488228507	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488228507
488228709	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	488228709
488242739	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488242739
488242955	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	488242955
488247951	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488247951
488248153	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488248153
488259982	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488259982
488260185	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	488260185
488264730	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488264730
488264931	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488264931
488284447	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488284447
488284648	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	488284648
488289326	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488289326
488289527	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488289527
488301959	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488301959
488302160	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	488302160
488306504	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488306504
488306707	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488306707
488319004	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488319004
488319206	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	488319206
488323750	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488323750
488323953	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488323953
488334845	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488334845
488335047	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	488335047
488340058	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488340058
488340259	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	488340259
488348079	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488348079
488348280	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	488348280
488360043	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488360043
488363987	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488363987
488364188	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488364188
488373411	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488373411
488377756	Triggered	4,42,43,44,45,46,	 NoSound	40	2	488377756
488377969	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	488377969
488389587	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488389587
488394533	Triggered	4,42,43,44,45,46,	 NoSound	40	2	488394533
488394735	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	488394735
488408840	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488408840
488412580	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488412580
488412781	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488412781
488421403	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488421403
488421608	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	488421608
488425683	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488425683
488425884	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488425884
488433702	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488433702
488433905	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	488433905
488437712	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488437712
488437912	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488437912
488447472	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488447472
488447674	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	488447674
488451549	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488451549
488451750	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488451750
488460305	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488460305
488460507	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	488460507
488464851	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488464851
488465051	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488465051
488473607	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488473607
488473809	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	488473809
488477617	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488477617
488477818	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488477818
488486306	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488486306
488486509	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	488486509
488490584	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488490584
488490785	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	488490785
488499542	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488499542
488499743	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	488499743
488513580	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488513580
488513785	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	488513785
488524005	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488524005
488528148	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488528148
488528349	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	488528349
488536439	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488536439
488540514	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488540514
488540714	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	488540714
488549338	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488549338
488554016	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488554016
488554217	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	488554217
488567050	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488567050
488567255	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	488567255
488571193	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488571193
488571395	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	488571395
488582223	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488582223
488582439	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	488582439
488586768	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488586768
488586970	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	488586970
488597395	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488597395
488597609	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	488597609
488602416	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488602416
488602618	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	488602618
488615242	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488615242
488615443	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	488615443
488621125	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488621125
488621327	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	488621327
488633357	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488633357
488633570	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	488633570
488639505	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488639505
488639707	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	488639707
488646256	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488646256
488646458	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	488646458
488651203	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488651203
488651405	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	488651405
488661429	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488661429
488661631	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	488661631
488700945	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488700945
488705143	Triggered	4,42,43,44,45,46,	 NoSound	40	2	488705143
488705343	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	488705343
488715503	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488715503
488719713	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488719713
488719916	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488719916
488775193	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488775193
488779743	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488779743
488779945	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488779945
488795245	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488795245
488799255	Triggered	4,42,43,44,45,46,	 NoSound	40	2	488799255
488799456	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	488799456
488809483	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488809483
488809699	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	488809699
488813627	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488813627
488813829	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488813829
488825658	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488825658
488825862	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	488825862
488829869	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488829869
488830072	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488830072
488842636	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488842636
488842840	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	488842840
488846854	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488846854
488847056	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488847056
488866029	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488866029
488866232	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	488866232
488871376	Triggered	4,42,43,44,45,46,	 NoSound	40	2	488871376
488871576	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	488871576
488878595	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488878595
488878796	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	488878796
488883074	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488883074
488883275	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488883275
488897644	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488897644
488897859	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	488897859
488901856	Triggered	6,47,48,49,50,51,	 NoSound	40	2	488901856
488902058	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	488902058
488913352	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	488913352
488913554	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	488913554
488929260	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488929260
488934073	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488934073
488934275	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488934275
488946773	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488946773
488950382	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488950382
488950584	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	488950584
488958272	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488958272
488962213	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488962213
488962414	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	488962414
488970303	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488970303
488974313	Triggered	2,37,38,39,40,41,	 NoSound	40	2	488974313
488974515	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	488974515
488990220	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	488990220
