Ver1.3	918207321	StartFile	7/9/2020	2:22:31 PM	E:\BehavioralExperiments\Gerald\RawData\070920\SoundData.txt	918207321
918530728	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	918530728
918577794	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	918577794
918786012	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	918786012
918803100	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	918803100
918874877	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	918874877
918887813	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	918887813
918900989	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	918900989
918908450	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	918908450
918935224	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	918935224
918953455	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	918953455
919101161	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919101161
919154167	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919154167
919172577	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919172577
919188883	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919188883
919199534	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919199534
919211264	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919211264
919240566	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919240566
919269204	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919269204
919280697	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919280697
919413551	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919413551
919422568	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919422568
919433577	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919433577
919460111	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919460111
919467932	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919467932
919545125	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919545125
919554572	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919554572
919577494	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919577494
919592723	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919592723
919607576	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919607576
919627913	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919627913
919787052	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919787052
919808592	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919808592
919819902	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919819902
919826761	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919826761
919852874	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919852874
919864978	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919864978
919874775	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919874775
919888191	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919888191
919898118	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919898118
919912438	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	919912438
919923688	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	919923688
919930909	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	919930909
919937286	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	919937286
920789054	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	920789054
920922682	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	920922682
921556578	EndFile	Thursday, July 9, 2020	3:18:20 PM	EndFile	EndFile	921556578
