Ver1.3	165711430	StartFile	11/9/2020	1:25:23 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\110920\SoundData.txt	165711430
166120617	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166120617
166120819	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	166120819
166130707	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166130707
166134184	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166134184
166142806	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166142806
166146817	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166146817
166169079	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166169079
166176762	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166176762
166201827	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166201827
166202030	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	166202030
166206239	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166206239
166214928	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166214928
166215130	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	166215130
166228831	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166228831
166233378	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166233378
166233580	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	166233580
166248149	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166248149
166251423	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166251423
166251624	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	166251624
166266663	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166266663
166269471	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166269471
166269673	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	166269673
166283240	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166283240
166283441	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	166283441
166286248	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166286248
166286450	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	166286450
166300085	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166300085
166300298	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	166300298
166323545	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166323545
166326421	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166326421
166326622	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	166326622
166342661	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166342661
166345468	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166345468
166345670	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	166345670
166357367	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166357367
166361978	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166361978
166362180	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	166362180
166373343	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166373343
166373545	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	166373545
166376150	Triggered	6,47,48,49,50,51,	 NoSound	40	2	166376150
166376352	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	166376352
166388983	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	166388983
166389184	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	166389184
166404021	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166404021
166422468	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166422468
166425743	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166425743
166436839	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166436839
166440990	Triggered	8,52,53,54,55,56,	 NoSound	40	2	166440990
166448135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166448135
166448347	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	166448347
166452416	Triggered	2,37,38,39,40,41,	 NoSound	40	2	166452416
166452617	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	166452617
166464781	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	166464781
166464982	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	166464982
