Ver1.2	251098021	StartFile	4/19/2020	2:37:36 PM	E:\BehavioralExperiments\Tianqi\Horizon\RawData\041920A\SoundData.txt	251098021
252068934	Triggered	6	 NoSound	50	2	252068934
252077226	Triggered	1	 Modulated Tone	25	2	252077226
252080897	Triggered	6	 NoSound	50	2	252080897
252088858	Triggered	1	 Modulated Tone	25	2	252088858
252092192	Triggered	4	 NoSound	50	2	252092192
252098276	Triggered	1	 Modulated Tone	25	2	252098276
252103491	Triggered	6	 NoSound	50	2	252103491
252112781	Triggered	1	 Modulated Tone	25	2	252112781
252116530	Triggered	6	 NoSound	50	2	252116530
252127019	Triggered	1	 Modulated Tone	25	2	252127019
252131096	Triggered	6	 NoSound	50	2	252131096
252139788	Triggered	1	 Modulated Tone	25	2	252139788
252143532	Triggered	6	 NoSound	50	2	252143532
252151950	Triggered	1	 Modulated Tone	25	2	252151950
252155759	Triggered	6	 NoSound	50	2	252155759
252164182	Triggered	1	 Modulated Tone	25	2	252164182
252167725	Triggered	6	 NoSound	50	2	252167725
252172339	Triggered	5	 Modulated Tone	25	2	252172339
252175083	Triggered	8	 NoSound	50	2	252175083
252183632	Triggered	5	 Modulated Tone	25	2	252183632
252186373	Triggered	8	 NoSound	50	2	252186373
252195530	Triggered	5	 Modulated Tone	25	2	252195530
252198739	Triggered	8	 NoSound	50	2	252198739
252205890	Triggered	5	 Modulated Tone	25	2	252205890
252208968	Triggered	2	 NoSound	50	2	252208968
252220133	Triggered	5	 Modulated Tone	25	2	252220133
252223541	Triggered	8	 NoSound	50	2	252223541
252230088	Triggered	5	 Modulated Tone	25	2	252230088
252233027	Triggered	2	 NoSound	50	2	252233027
252244264	Triggered	5	 Modulated Tone	25	2	252244264
252247738	Triggered	2	 NoSound	50	2	252247738
252258897	Triggered	5	 Modulated Tone	25	2	252258897
252262109	Triggered	2	 NoSound	50	2	252262109
252272135	Triggered	5	 Modulated Tone	25	2	252272135
252276675	Triggered	2	 NoSound	50	2	252276675
252287571	Triggered	5	 Modulated Tone	25	2	252287571
252291517	Triggered	1	 Modulated Tone	25	2	252291517
252294930	Triggered	4	 NoSound	50	2	252294930
252300268	Triggered	1	 Modulated Tone	25	2	252300268
252306553	Triggered	5	 Modulated Tone	25	2	252306553
252310496	Triggered	4	 NoSound	50	2	252310496
252312567	Triggered	3	 NoSound	50	2	252312567
252314110	Triggered	2	 NoSound	50	2	252314110
252319320	Triggered	1	 Modulated Tone	25	2	252319320
252323263	Triggered	4	 NoSound	50	2	252323263
252327540	Triggered	1	 Modulated Tone	25	2	252327540
252330619	Triggered	6	 NoSound	50	2	252330619
252342114	Triggered	1	 Modulated Tone	25	2	252342114
252345989	Triggered	6	 NoSound	50	2	252345989
252352678	Triggered	1	 Modulated Tone	25	2	252352678
252356550	Triggered	6	 NoSound	50	2	252356550
252362631	Triggered	1	 Modulated Tone	25	2	252362631
252366377	Triggered	6	 NoSound	50	2	252366377
252373394	Triggered	1	 Modulated Tone	25	2	252373394
252377544	Triggered	6	 NoSound	50	2	252377544
252385626	Triggered	1	 Modulated Tone	25	2	252385626
252389910	Triggered	4	 NoSound	50	2	252389910
252395194	Triggered	1	 Modulated Tone	25	2	252395194
252399468	Triggered	5	 Modulated Tone	25	2	252399468
252402608	Triggered	2	 NoSound	50	2	252402608
252408218	Triggered	5	 Modulated Tone	25	2	252408218
252437226	Triggered	2	 NoSound	50	2	252437226
252444249	Triggered	5	 Modulated Tone	25	2	252444249
252449993	Triggered	2	 NoSound	50	2	252449993
252455878	Triggered	5	 Modulated Tone	25	2	252455878
252459216	Triggered	8	 NoSound	50	2	252459216
252473186	Triggered	5	 Modulated Tone	25	2	252473186
