Ver1.2	457775165	StartFile	2/20/2020	9:50:27 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\022020\SoundData.txt	457775165
459355404	Triggered	1	 Modulated Tone	25	2	459355404
459363020	Triggered	4	 NoSound	50	2	459363020
459368767	Triggered	1	 Modulated Tone	25	2	459368767
459372781	Triggered	6	 NoSound	50	2	459372781
459383205	Triggered	1	 Modulated Tone	25	2	459383205
459389692	Triggered	6	 NoSound	50	2	459389692
459400317	Triggered	1	 Modulated Tone	25	2	459400317
459406264	Triggered	6	 NoSound	50	2	459406264
459417031	Triggered	1	 Modulated Tone	25	2	459417031
459423643	Triggered	6	 NoSound	50	2	459423643
459433937	Triggered	1	 Modulated Tone	25	2	459433937
459458334	Triggered	6	 NoSound	50	2	459458334
459470097	Triggered	1	 Modulated Tone	25	2	459470097
459475111	Triggered	6	 NoSound	50	2	459475111
459486606	Triggered	1	 Modulated Tone	25	2	459486606
459500110	Triggered	5	 Modulated Tone	25	2	459500110
459503654	Triggered	8	 NoSound	50	2	459503654
459515419	Triggered	5	 Modulated Tone	25	2	459515419
459518759	Triggered	8	 NoSound	50	2	459518759
459522572	Triggered	5	 Modulated Tone	25	2	459522572
459525375	Triggered	2	 NoSound	50	2	459525375
459542621	Triggered	5	 Modulated Tone	25	2	459542621
459545694	Triggered	8	 NoSound	50	2	459545694
459549504	Triggered	5	 Modulated Tone	25	2	459549504
459552446	Triggered	2	 NoSound	50	2	459552446
459562741	Triggered	5	 Modulated Tone	25	2	459562741
459566550	Triggered	2	 NoSound	50	2	459566550
459577854	Triggered	5	 Modulated Tone	25	2	459577854
459585531	Triggered	2	 NoSound	50	2	459585531
459596226	Triggered	5	 Modulated Tone	25	2	459596226
459601709	Triggered	2	 NoSound	50	2	459601709
459639674	Triggered	5	 Modulated Tone	25	2	459639674
459644820	Triggered	2	 NoSound	50	2	459644820
459655852	Triggered	5	 Modulated Tone	25	2	459655852
459660127	Triggered	2	 NoSound	50	2	459660127
459671694	Triggered	5	 Modulated Tone	25	2	459671694
459675900	Triggered	2	 NoSound	50	2	459675900
459687664	Triggered	5	 Modulated Tone	25	2	459687664
459693547	Triggered	2	 NoSound	50	2	459693547
459703975	Triggered	5	 Modulated Tone	25	2	459703975
459719548	Triggered	1	 Modulated Tone	25	2	459719548
459722823	Triggered	6	 NoSound	50	2	459722823
459729239	Triggered	1	 Modulated Tone	25	2	459729239
459732648	Triggered	4	 NoSound	50	2	459732648
459746216	Triggered	1	 Modulated Tone	25	2	459746216
459750629	Triggered	6	 NoSound	50	2	459750629
459756110	Triggered	1	 Modulated Tone	25	2	459756110
459762927	Triggered	5	 Modulated Tone	25	2	459762927
459766269	Triggered	6	 NoSound	50	2	459766269
459771417	Triggered	8	 NoSound	50	2	459771417
459775365	Triggered	1	 Modulated Tone	25	2	459775365
459778904	Triggered	4	 NoSound	50	2	459778904
459790198	Triggered	1	 Modulated Tone	25	2	459790198
459795278	Triggered	4	 NoSound	50	2	459795278
459806648	Triggered	1	 Modulated Tone	25	2	459806648
459813058	Triggered	4	 NoSound	50	2	459813058
459823422	Triggered	1	 Modulated Tone	25	2	459823422
459832107	Triggered	4	 NoSound	50	2	459832107
459852293	Triggered	1	 Modulated Tone	25	2	459852293
459858982	Triggered	4	 NoSound	50	2	459858982
459870474	Triggered	1	 Modulated Tone	25	2	459870474
459880505	Triggered	4	 NoSound	50	2	459880505
