Ver1.3	1395830690	StartFile	8/10/2020	3:48:09 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\081020B\SoundData.txt	1395830690
1395998015	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1395998015
1395998216	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1395998216
1396008278	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396008278
1396011697	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1396011697
1396011898	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1396011898
1396024339	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396024339
1396024541	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1396024541
1396027882	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396027883
1396028084	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1396028084
1396036245	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396036245
1396036446	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1396036446
1396051346	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396051346
1396051549	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1396051549
1396059770	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396059770
1396059973	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1396059973
1396062839	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396062839
1396067425	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396067425
1396067628	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1396067628
1396071744	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396071744
1396071944	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1396071944
1396079692	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396079692
1396079894	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1396079894
1396082881	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396082881
1396086243	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396086243
1396086445	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1396086445
1396089973	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396089973
1396090174	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1396090174
1396098335	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396098335
1396098537	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1396098537
1396102066	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396102066
1396102267	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1396102267
1396109767	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396109767
1396109968	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1396109968
1396113138	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396113138
1396113338	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1396113338
1396120236	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396120236
1396120437	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1396120437
1396135878	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396135878
1396138948	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396138948
1396139149	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1396139149
1396151162	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396151162
1396151363	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1396151363
1396153990	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396153990
1396154190	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1396154190
1396165842	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396165842
1396166043	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1396166043
1396177514	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396177514
1396180281	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396180281
1396180482	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1396180482
1396187035	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396187035
1396187238	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1396187238
1396189969	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396189969
1396190183	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396190183
1396200933	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396200933
1396201136	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1396201136
1396203628	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396203628
1396203828	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396203828
1396216392	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396216392
1396216593	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1396216593
1396219389	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396219389
1396219590	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396219590
1396230881	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396230881
1396231082	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1396231082
1396233408	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396233408
1396233608	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396233608
1396244727	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396244727
1396244929	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1396244929
1396247306	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396247306
1396247507	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396247507
1396257595	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396257595
1396257796	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1396257796
1396260302	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396260302
1396260503	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396260503
1396273900	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396273900
1396274100	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1396274100
1396288761	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396288761
1396291228	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396291228
1396291428	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1396291428
1396298748	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396298748
1396298964	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1396298964
1396302184	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396302184
1396302385	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1396302385
1396311082	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396311082
1396311283	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1396311283
1396321792	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396321792
1396324812	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396324812
1396325013	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1396325013
1396334487	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396334487
1396334689	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1396334689
1396337074	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396337074
1396337276	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1396337276
1396354101	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396354101
1396354302	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1396354302
1396356688	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396356688
1396356890	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1396356890
1396370947	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396370947
1396371164	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1396371164
1396373534	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396373534
1396373735	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1396373735
1396388996	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396388996
1396389198	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1396389198
1396391644	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396391644
1396391846	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1396391846
1396405844	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396405844
1396406046	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1396406046
1396408371	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396408371
1396408572	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1396408572
1396422268	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396422268
1396422470	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1396422470
1396424796	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396424796
1396424998	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1396424998
1396438875	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396438875
1396439075	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1396439075
1396450125	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396450125
1396452592	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396452592
1396452794	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1396452794
1396461496	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396461496
1396461698	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1396461698
1396464625	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396464625
1396464826	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1396464826
1396472808	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396472808
1396473008	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1396473008
1396483637	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396483637
1396486646	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396486646
1396486846	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396486846
1396500424	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396500424
1396500626	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1396500626
1396503011	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396503011
1396503212	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396503212
1396522083	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396522083
1396522285	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1396522285
1396524972	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396524972
1396525174	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396525174
1396535983	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396535983
1396536185	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1396536185
1396538870	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396538870
1396539072	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396539072
1396550062	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396550062
1396550265	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1396550265
1396552648	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396552648
1396552849	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396552849
1396564742	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396564742
1396564943	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1396564943
1396567569	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396567569
1396567770	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396567770
1396578639	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396578639
1396578842	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1396578842
1396581528	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396581528
1396581728	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1396581728
1396602524	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396602524
1396602724	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1396602724
1396616183	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396616183
1396619071	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1396619071
1396619271	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1396619271
1396629118	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396629118
1396629320	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1396629320
1396632669	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1396632669
1396632884	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1396632884
1396647229	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1396647229
1396647430	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1396647430
1396667925	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396667925
1396671055	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396671055
1396671269	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1396671269
1396681523	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396681523
1396681724	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1396681724
1396685554	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396685554
1396685755	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1396685755
1396693737	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396693737
1396693939	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1396693939
1396696993	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396696993
1396697194	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1396697194
1396706252	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396706252
1396706454	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1396706454
1396710343	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1396710343
1396715817	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396715817
1396716020	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1396716020
1396721534	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396721534
1396721735	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1396721735
1396732844	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396732844
1396733046	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1396733046
1396737726	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1396737726
1396737927	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1396737927
1396769002	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1396769002
1396769203	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1396769203
