Ver1.3	1857150942	StartFile	7/20/2020	11:11:34 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072020\SoundData.txt	1857150942
1857550792	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857550792
1857550993	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1857550993
1857621306	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1857621306
1857634844	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1857634844
1857635046	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1857635046
1857667094	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1857667094
1857667296	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1857667296
1857673170	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1857673170
1857673372	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1857673372
1857690017	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1857690017
1857690219	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1857690219
1857706863	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857706863
1857707068	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1857707068
1857727680	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857727680
1857727895	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1857727895
1857733697	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1857733697
1857733898	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1857733898
1857745430	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857745430
1857745648	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1857745648
1857751145	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1857751145
1857751347	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1857751347
1857762997	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857762997
1857763200	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1857763200
1857769076	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857769076
1857769278	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1857769278
1857787493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857787493
1857787695	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1857787695
1857792059	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857792059
1857792261	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1857792261
1857810176	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857810176
1857810378	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1857810378
1857814559	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857814559
1857814762	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1857814762
1857830142	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857830142
1857830344	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1857830344
1857834715	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857834715
1857834916	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1857834916
1857853848	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857853848
1857854049	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1857854049
1857869310	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1857869310
1857874365	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1857874365
1857874565	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1857874565
1857885435	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1857885435
1857885649	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1857885649
1857890369	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1857890369
1857900598	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1857900598
1857900799	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1857900799
1857913051	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857913051
1857917805	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857917805
1857918006	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1857918006
1857927130	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857927130
1857927333	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1857927333
1857932131	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857932131
1857932332	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1857932332
1857941990	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857941990
1857942194	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1857942194
1857946624	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857946624
1857946824	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1857946824
1857959439	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857959439
1857959643	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1857959643
1857963771	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857963771
1857963972	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1857963972
1857973397	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857973397
1857973599	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1857973599
1857978211	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857978211
1857978411	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1857978411
1857986695	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1857986695
1857986897	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1857986897
1857991688	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1857991688
1857991889	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1857991889
1858000653	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858000653
1858000855	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1858000855
1858005826	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1858005826
1858006028	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	1858006028
1858018703	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858018703
1858018903	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1858018903
1858030255	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1858030255
1858035007	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1858035007
1858035207	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1858035207
1858045537	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1858045537
1858045738	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1858045738
1858050590	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1858050590
1858050793	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1858050793
1858062984	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1858062984
1858063186	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1858063186
1858075379	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858075379
1858080191	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1858080191
1858080394	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	1858080394
1858093368	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858093368
1858093572	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1858093572
1858098002	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1858098002
1858098205	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1858098205
1858110636	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858110636
1858110840	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1858110840
1858114547	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1858114547
1858114748	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1858114748
1858129414	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858129414
1858129616	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1858129616
1858133379	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1858133379
1858133581	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1858133581
1858147880	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858147880
1858148082	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1858148082
1858152391	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1858152391
1858152593	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1858152593
1858165387	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858165387
1858165589	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1858165589
1858169177	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1858169177
1858169381	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1858169381
1858184038	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858184038
1858184239	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1858184239
1858188250	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1858188250
1858188453	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1858188453
1858202208	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1858202208
1858202409	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1858202409
1858214181	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1858214181
1858219175	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1858219175
1858219377	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1858219377
1858231147	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1858231147
