Ver1.3	143604283	StartFile	11/12/2020	10:24:01 AM	E:\BehavioralExperiments\Twenty\Horizon\RawData\111220\SoundData.txt	143604283
143871342	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	143871342
143871545	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	143871545
143916705	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	143916705
143926640	Triggered	4,42,43,44,45,46,	 NoSound	40	2	143926640
143934275	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	143934275
143941614	Triggered	4,42,43,44,45,46,	 NoSound	40	2	143941614
143954009	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	143954009
143972239	Triggered	4,42,43,44,45,46,	 NoSound	40	2	143972239
143983614	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	143983614
143983818	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	143983818
143987341	Triggered	6,47,48,49,50,51,	 NoSound	40	2	143987341
143987542	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	143987542
143995282	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	143995282
143995485	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	143995485
143998772	Triggered	6,47,48,49,50,51,	 NoSound	40	2	143998772
143998973	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	143998973
144005330	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144005330
144005533	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	144005533
144009902	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144009902
144010103	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	144010103
144018152	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144018152
144018355	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	144018355
144022540	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144022540
144022741	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	144022741
144029156	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144029156
144029358	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	144029358
144033127	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144033127
144033328	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	144033328
144040655	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144040655
144040857	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	144040857
144044258	Triggered	4,42,43,44,45,46,	 NoSound	40	2	144044258
144048469	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144048469
144048669	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	144048669
144066708	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144066708
144070009	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144070009
144070210	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	144070210
144080117	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144080117
144083726	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144083726
144083928	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	144083929
144092697	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144092697
144095821	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144095821
144096023	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	144096023
144105219	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144105219
144105421	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	144105421
144108398	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144108398
144108599	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	144108599
144117179	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144117179
144117381	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	144117381
144131498	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144131498
144131703	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144131703
144139807	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144139807
144143291	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144143291
144143507	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144143507
144152135	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144152135
144155143	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144155143
144155344	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144155344
144163265	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144163265
144163468	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	144163468
144166214	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144166214
144166416	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144166416
144189138	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144189138
144189342	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	144189342
144191965	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144191965
144192166	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144192166
144199847	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144199847
144200049	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	144200049
144202914	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144202914
144203115	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144203115
144211458	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144211458
144211662	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	144211662
144214470	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144214470
144214671	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144214671
144221566	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144221566
144221769	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	144221769
144224636	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144224636
144224838	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144224838
144231493	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144231493
144231695	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	144231695
144235105	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144235105
144235307	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144235307
144242444	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144242444
144242644	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	144242644
144257606	Triggered	8,52,53,54,55,56,	 NoSound	40	2	144257606
144257809	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	144257809
144264043	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144264043
144267472	Triggered	8,52,53,54,55,56,	 NoSound	40	2	144267472
144267674	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	144267674
144273550	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144273550
144277219	Triggered	8,52,53,54,55,56,	 NoSound	40	2	144277219
144277421	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	144277421
144284680	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144284680
144284882	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	144284882
144288049	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144288049
144288262	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	144288262
144297195	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144297195
144297396	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	144297396
144310012	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144310012
144312658	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144312658
144312862	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144312862
144323848	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144323848
144326254	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144326254
144326468	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144326468
144336844	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144336844
144339672	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144339672
144339875	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144339875
144350440	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144350440
144350644	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	144350644
144353210	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144353210
144353411	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144353411
144364339	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144364339
144364544	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	144364544
144367348	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144367348
144367549	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144367549
144378721	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144378721
144378926	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	144378926
144381366	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144381366
144381568	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144381568
144393461	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144393461
144393664	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	144393664
144396227	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144396227
144396431	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144396431
144406756	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144406756
144406959	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	144406959
144409345	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144409345
144409547	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144409547
144421977	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144421977
144422180	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	144422180
144424626	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144424626
144424828	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	144424828
144436237	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144436237
144436439	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	144436439
144461989	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144461989
144465237	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144465237
144465438	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	144465438
144472338	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144472338
144475586	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144475586
144475787	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	144475787
144481663	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144481663
144484853	Triggered	2,37,38,39,40,41,	 NoSound	40	2	144484853
144485053	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	144485053
144490086	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144490086
144490288	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	144490288
144494059	Triggered	8,52,53,54,55,56,	 NoSound	40	2	144494059
144494262	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	144494262
144503864	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	144503864
144504065	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	144504065
144515778	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144515778
144518244	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144518244
144518445	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144518445
144526367	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144526367
144528953	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144528953
144529166	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144529166
144536415	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144536415
144539302	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144539302
144539503	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144539503
144550734	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144550734
144550936	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	144550936
144553390	Triggered	6,47,48,49,50,51,	 NoSound	40	2	144553390
144553592	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	144553592
144561148	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	144561148
